source,target,type
1,112,outandin
1,540,outandin
1,1162,outandin
1,1376,outandin
1,1447,outandin
1,1541,outandin
1,1557,outandin
112,28,outandin
112,61,outandin
112,93,outandin
112,110,outandin
112,174,outandin
112,223,outandin
112,775,incoming
112,1354,outandin
112,1478,outandin
112,1519,outandin
540,272,outandin
540,1162,outandin
540,1386,incoming
540,1473,outandin
540,1486,outandin
540,1487,outandin
540,1517,outandin
1162,309,outgoing
1162,522,outgoing
1162,882,outandin
1162,894,outandin
1162,1034,outandin
1162,1286,outandin
1162,1317,outandin
1162,1368,outandin
1162,1386,outandin
1162,1449,outandin
1376,80,outandin
1376,186,outandin
1376,309,outandin
1376,522,outandin
1376,546,outandin
1376,664,outandin
1376,781,outandin
1376,905,outandin
1376,1443,outandin
1447,35,outandin
1447,280,outandin
1447,1383,outandin
1541,1317,outandin
1557,35,outandin
1557,1548,incoming
3,439,outandin
439,62,outandin
439,309,outandin
439,1489,outandin
4,935,outandin
935,7,outandin
6,280,outandin
6,687,outandin
6,1386,incoming
280,7,outandin
280,35,outandin
280,387,outandin
280,905,outandin
280,1217,outandin
280,1422,outandin
280,1436,outandin
280,1456,outandin
280,1464,outandin
280,1473,outandin
280,1490,outandin
280,1491,outandin
280,1493,outandin
280,1531,outandin
687,1348,outandin
1386,7,outandin
1386,167,outandin
1386,204,outandin
1386,309,outandin
1386,350,outandin
1386,465,outandin
1386,469,outandin
1386,545,outandin
1386,546,incoming
1386,705,outandin
1386,722,outandin
1386,725,outandin
1386,786,incoming
1386,832,outandin
1386,894,outandin
1386,1028,outandin
1386,1094,outandin
1386,1317,outandin
1386,1352,outandin
1386,1353,outandin
1386,1379,outandin
1386,1392,outandin
1386,1394,outandin
1386,1404,outandin
1386,1412,outandin
1386,1413,outandin
1386,1456,outandin
1386,1457,outandin
1386,1464,outandin
1386,1469,outandin
1386,1473,outandin
1386,1479,outandin
1386,1486,outandin
1386,1488,outandin
1386,1490,outandin
1386,1502,outandin
1386,1507,outandin
1386,1508,outandin
1386,1510,outandin
1386,1511,outandin
1386,1512,incoming
1386,1513,outandin
1386,1516,outandin
1386,1522,incoming
1386,1524,outandin
1386,1525,outandin
1386,1528,outandin
1386,1536,incoming
1386,1546,outandin
1386,1553,outandin
7,23,outandin
7,235,outandin
7,417,outgoing
7,465,outandin
7,522,outandin
7,1034,outandin
7,1413,outandin
7,1428,outandin
417,905,outandin
417,1005,outandin
417,1422,outandin
417,1475,outandin
465,882,outgoing
465,1217,outandin
465,1352,outandin
465,1383,outandin
465,1556,outandin
522,757,outgoing
1034,468,outandin
1034,832,outgoing
1034,1217,outandin
1034,1348,outandin
1413,1217,outandin
1413,1513,outandin
1413,1529,outandin
13,468,outandin
