node,centrality,community,density,eign,betwness,closeness,volatility,name,type
9,1,0,0.0162484863845005,0.0128807951550124,0.0,0.2900441204680606,0.3333333333333333,User_9,outandin
16,1,0,0.0162484863845005,0.0032876088968421,0.0,0.2710648978128361,0.3333333333333333,User_16,outandin
46,1,0,0.0162484863845005,0.0027559654352186,0.0,0.24609375,0.3333333333333333,User_46,outandin
55,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_55,outandin
66,1,0,0.0162484863845005,0.004783055911884,0.0,0.26517011574886,0.3333333333333333,User_66,outandin
71,1,0,0.0162484863845005,0.0128807951550124,0.0,0.2900441204680606,0.3333333333333333,User_71,outandin
74,1,0,0.0162484863845005,0.0128807951550124,0.0,0.2900441204680606,0.3333333333333333,User_74,outandin
83,1,0,0.0162484863845005,0.0055466765091324,0.0,0.266713706121009,0.3333333333333333,User_83,outandin
86,1,0,0.0162484863845005,0.0055466765091324,0.0,0.266713706121009,0.3333333333333333,User_86,outandin
99,1,0,0.0162484863845005,0.000946346425699,0.0,0.2235363690124187,0.3333333333333333,User_99,outandin
103,1,0,0.0162484863845005,0.0004923865140643,0.0,0.228364295423652,0.3333333333333333,User_103,outandin
106,1,0,0.0162484863845005,0.0015265311030639,0.0,0.2367308595584781,0.3333333333333333,User_106,outandin
116,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_116,outandin
131,1,0,0.0162484863845005,0.0011224028701833,0.0,0.2465753424657534,0.3333333333333333,User_131,outandin
133,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,1.0,User_133,outandin
140,1,0,0.0162484863845005,0.0055466765091324,0.0,0.266713706121009,0.3333333333333333,User_140,outandin
145,1,0,0.0162484863845005,0.0128807951550124,0.0,0.2900441204680606,0.3333333333333333,User_145,outandin
168,1,0,0.0162484863845005,0.0055466765091324,0.0,0.266713706121009,0.3333333333333333,User_168,outandin
169,1,0,0.0162484863845005,0.005856742094337,0.0,0.2605548854041013,1.0,User_169,outandin
170,1,0,0.0162484863845005,0.00320401981007,0.0,0.2437530227309366,0.3333333333333333,User_170,outandin
172,1,0,0.0162484863845005,0.0077513954220355,0.0,0.2697110239029611,0.3333333333333333,User_172,outandin
175,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_175,outandin
182,1,0,0.0162484863845005,0.0007079957333346,0.0,0.2191621974199159,0.3333333333333333,User_182,outandin
188,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,1.0,User_188,outandin
189,1,0,0.0162484863845005,0.0050104431875075,0.0,0.2605997931747673,0.3333333333333333,User_189,incoming
190,1,0,0.0162484863845005,0.0050104431875075,0.0,0.2605997931747673,0.3333333333333333,User_190,outandin
192,1,0,0.0162484863845005,0.0036507126517859,0.0,0.2508294625082946,0.3333333333333333,User_192,incoming
195,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_195,outandin
196,1,0,0.0162484863845005,0.0030136404712968,0.0,0.2515806988352745,0.3333333333333333,User_196,outandin
205,1,0,0.0162484863845005,0.0038756977110177,0.0,0.2697110239029611,0.3333333333333333,User_205,outandin
210,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_210,outandin
213,1,0,0.0162484863845005,0.0077513954220355,0.0,0.2697110239029611,0.3333333333333333,User_213,outandin
220,1,0,0.0162484863845005,0.000388493618368,0.0,0.2175852640667722,0.3333333333333333,User_220,outandin
232,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_232,outandin
247,1,0,0.0162484863845005,0.0128807951550124,0.0,0.2900441204680606,0.3333333333333333,User_247,outandin
252,1,0,0.0162484863845005,0.0077513954220355,0.0,0.2697110239029611,0.3333333333333333,User_252,outandin
255,1,0,0.0162484863845005,0.0077513954220355,0.0,0.2697110239029611,0.3333333333333333,User_255,incoming
291,1,0,0.0162484863845005,0.000656991995239,0.0,0.2295778924992408,0.3333333333333333,User_291,outandin
294,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_294,outandin
311,1,0,0.0162484863845005,0.0128807951550124,0.0,0.2900441204680606,0.3333333333333333,User_311,outandin
326,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_326,outandin
354,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_354,outandin
368,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_368,outandin
370,1,0,0.0162484863845005,0.0014528594407063,0.0,0.2343822663152999,0.3333333333333333,User_370,outandin
388,1,0,0.0162484863845005,0.0007079957333346,0.0,0.2191621974199159,0.3333333333333333,User_388,outandin
403,1,0,0.0162484863845005,0.0022980109115891,0.0,0.2520840280093364,0.3333333333333333,User_403,outandin
429,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_429,outandin
442,1,0,0.0162484863845005,0.0128807951550124,0.0,0.2900441204680606,0.3333333333333333,User_442,outandin
473,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_473,outandin
486,1,0,0.0162484863845005,0.0128807951550124,0.0,0.2900441204680606,1.0,User_486,outandin
498,1,0,0.0162484863845005,0.0212856348731298,0.0,0.2984014209591474,0.3333333333333333,User_498,incoming
505,1,0,0.0162484863845005,0.0128807951550124,0.0,0.2900441204680606,0.3333333333333333,User_505,outandin
