source,target,weight
0,18,18
0,14,26
0,8,19
0,13,18
0,5,19
0,4,14
0,7,26
0,10,13
0,15,17
0,1,14
15,18,8
5,18,2
10,18,3
7,18,7
13,18,6
8,18,7
4,18,2
4,14,11
3,14,21
5,14,14
7,8,8
3,8,27
13,15,12
3,13,12
5,7,8
5,10,3
5,15,7
4,10,4
4,7,8
6,7,6
7,10,6
3,7,12
7,15,14
4,8,8
8,14,24
6,8,9
5,8,8
8,13,18
1,7,6
7,13,10
10,14,6
1,10,6
6,10,2
3,10,9
8,10,5
10,15,5
1,5,5
5,6,1
3,5,4
1,15,4
3,15,7
1,14,9
1,4,3
1,13,7
4,13,11
13,14,18
10,13,6
5,13,3
0,3,10
4,15,5
14,15,21
8,15,9
14,18,9
7,14,3
1,18,3
3,4,2
1,3,4
0,6,3
4,5,1
1,8,3
6,14,5
3,18,1
