source,target,weight
0,0,0
0,1,0
0,2,0
0,3,50
0,4,90
0,5,0
0,6,0
0,7,0
0,8,31
0,9,34
0,10,41
0,11,21
0,12,71
0,13,15
0,14,110
0,15,129
0,16,100
0,17,25
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
3,0,50
3,1,0
3,2,0
3,3,0
3,4,99
3,5,0
3,6,0
3,7,0
3,8,29
3,9,32
3,10,31
3,11,15
3,12,81
3,13,10
3,14,97
3,15,79
3,16,106
3,17,14
4,0,90
4,1,0
4,2,0
4,3,99
4,4,0
4,5,0
4,6,0
4,7,0
4,8,103
4,9,92
4,10,108
4,11,56
4,12,268
4,13,7
4,14,174
4,15,141
4,16,392
4,17,51
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,0
7,16,0
7,17,0
8,0,31
8,1,0
8,2,0
8,3,29
8,4,103
8,5,0
8,6,0
8,7,0
8,8,0
8,9,23
8,10,39
8,11,8
8,12,55
8,13,5
8,14,58
8,15,44
8,16,84
8,17,47
9,0,34
9,1,0
9,2,0
9,3,32
9,4,92
9,5,0
9,6,0
9,7,0
9,8,23
9,9,0
9,10,28
9,11,10
9,12,85
9,13,7
9,14,104
9,15,91
9,16,103
9,17,12
10,0,41
10,1,0
10,2,0
10,3,31
10,4,108
10,5,0
10,6,0
10,7,0
10,8,39
10,9,28
10,10,0
10,11,19
10,12,94
10,13,3
10,14,89
10,15,60
10,16,143
10,17,33
11,0,21
11,1,0
11,2,0
11,3,15
11,4,56
11,5,0
11,6,0
11,7,0
11,8,8
11,9,10
11,10,19
11,11,0
11,12,47
11,13,5
11,14,43
11,15,32
11,16,64
11,17,7
12,0,71
12,1,0
12,2,0
12,3,81
12,4,268
12,5,0
12,6,0
12,7,0
12,8,55
12,9,85
12,10,94
12,11,47
12,12,0
12,13,16
12,14,203
12,15,87
12,16,175
12,17,25
13,0,15
13,1,0
13,2,0
13,3,10
13,4,7
13,5,0
13,6,0
13,7,0
13,8,5
13,9,7
13,10,3
13,11,5
13,12,16
13,13,0
13,14,25
13,15,13
13,16,5
13,17,4
14,0,110
14,1,0
14,2,0
14,3,97
14,4,174
14,5,0
14,6,0
14,7,0
14,8,58
14,9,104
14,10,89
14,11,43
14,12,203
14,13,25
14,14,0
14,15,187
14,16,156
14,17,23
15,0,129
15,1,0
15,2,0
15,3,79
15,4,141
15,5,0
15,6,0
15,7,0
15,8,44
15,9,91
15,10,60
15,11,32
15,12,87
15,13,13
15,14,187
15,15,0
15,16,263
15,17,32
16,0,100
16,1,0
16,2,0
16,3,106
16,4,392
16,5,0
16,6,0
16,7,0
16,8,84
16,9,103
16,10,143
16,11,64
16,12,175
16,13,5
16,14,156
16,15,263
16,16,0
16,17,46
17,0,25
17,1,0
17,2,0
17,3,14
17,4,51
17,5,0
17,6,0
17,7,0
17,8,47
17,9,12
17,10,33
17,11,7
17,12,25
17,13,4
17,14,23
17,15,32
17,16,46
17,17,0
