source,target,weight
0,16,100
0,3,50
0,4,90
0,10,41
0,15,129
0,9,34
0,8,31
0,13,15
0,11,21
0,12,71
0,14,110
3,16,106
12,16,175
9,16,103
14,16,156
13,16,5
16,17,46
0,17,25
3,4,99
3,9,32
3,12,81
3,13,10
3,15,79
4,9,92
4,14,174
4,12,268
10,16,143
10,17,33
4,10,108
4,17,51
4,15,141
4,16,392
14,15,187
12,15,87
9,15,91
15,16,263
8,15,44
13,15,13
10,15,60
9,14,104
9,12,85
9,13,7
11,15,32
15,17,32
8,14,58
8,12,55
8,9,23
8,16,84
3,8,29
4,8,103
8,10,39
9,11,10
9,17,12
9,10,28
13,14,25
11,13,5
4,13,7
12,13,16
8,13,5
10,13,3
3,11,15
11,16,64
11,14,43
4,11,56
11,17,7
10,11,19
11,12,47
8,11,8
10,12,94
12,14,203
12,17,25
3,14,97
10,14,89
8,17,47
3,17,14
3,10,31
14,17,23
13,17,4
