community,density
0,0.05706214689265537
1,0.025394279604383854
2,0.19047619047619047
3,0.03840245775729647
4,0.13333333333333333
5,0.022649279341111873
6,0.06554621848739496
7,0.046462063086104004
8,0.046153846153846156
9,0.03533026113671275
10,1.0
11,1.0
12,0.6666666666666666
13,0.044081632653061226
14,0.08695652173913043
15,1.0
16,0.6666666666666666
17,1.0
18,1.0
19,0.049494949494949494
20,1.0
21,1.0
22,1.0
23,1.0
24,0.6666666666666666
25,1.0
26,1.0
27,0.16483516483516483
28,1.0
29,0.049494949494949494
30,1.0
31,0.09486166007905138
32,1.0
33,1.0
34,1.0
35,0.5
36,1.0
