community,density
0,0.11724137931034483
1,0.11522048364153627
2,1.0
3,0.0
4,0.10377358490566038
5,0.33064516129032256
40,0.14039408866995073
7,1.0
8,0.14839424141749724
9,1.0
10,0.35714285714285715
11,0.3181818181818182
12,0.3076923076923077
13,0.0590990990990991
14,1.0
15,0.1408199643493761
16,1.0
17,0.0
18,0.24183006535947713
19,0.08536585365853659
20,0.41818181818181815
21,0.13356562137049943
22,0.8333333333333334
23,1.0
24,1.0
25,0.6
26,1.0
27,0.6666666666666666
28,1.0
29,0.23976608187134502
30,0.13010204081632654
31,1.0
32,0.7
33,1.0
34,1.0
35,1.0
36,1.0
37,0.225
38,0.0
39,1.0
41,1.0
42,0.13333333333333333
43,1.0
44,1.0
45,1.0
46,0.8333333333333334
47,0.6190476190476191
48,1.0
49,1.0
50,0.6666666666666666
51,1.0
52,0.6666666666666666
53,0.8666666666666667
54,1.0
55,0.47619047619047616
56,0.6666666666666666
57,0.0
58,1.0
59,0.6
60,1.0
61,0.6
62,0.38095238095238093
63,0.0
64,1.0
65,0.2878787878787879
66,1.0
67,0.6666666666666666
68,1.0
69,1.0
70,1.0
71,0.4444444444444444
72,1.0
73,0.0
74,1.0
75,1.0
76,1.0
77,0.5714285714285714
78,1.0
79,1.0
80,1.0
81,1.0
82,0.0
83,1.0
84,0.0
85,0.5777777777777777
86,1.0
87,0.5
88,0.41818181818181815
89,0.0
90,1.0
91,0.6060606060606061
92,1.0
93,0.6666666666666666
94,1.0
95,0.8222222222222222
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,0.5714285714285714
104,1.0
105,1.0
106,0.22875816993464052
107,1.0
108,0.2571428571428571
109,1.0
110,0.9166666666666666
111,0.0
112,1.0
113,0.0
114,1.0
115,0.0
116,0.0
117,0.0
118,1.0
119,0.5714285714285714
120,0.0
121,1.0
122,0.6666666666666666
123,1.0
124,1.0
125,0.7333333333333333
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,0.0
132,1.0
133,0.7619047619047619
134,1.0
135,1.0
136,0.0
137,0.6666666666666666
138,0.0
139,0.0
140,0.0
141,0.0
142,1.0
143,0.6666666666666666
144,0.3333333333333333
145,1.0
146,1.0
147,1.0
148,0.6666666666666666
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,0.0
157,1.0
158,1.0
159,1.0
160,0.0
161,1.0
162,1.0
163,0.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,0.0
175,1.0
176,1.0
177,1.0
178,0.0
179,0.0
180,1.0
181,1.0
182,1.0
183,1.0
6,1.0
