community,h_degree
0,14
1,20
2,1
3,0
4,26
5,30
6,1
7,2
8,18
9,1
10,7
11,8
12,10
13,36
14,3
15,19
16,2
17,0
18,9
19,18
20,8
21,27
22,3
23,2
24,1
25,4
26,4
27,2
28,4
29,12
30,47
31,1
32,4
33,3
34,2
35,2
36,1
37,9
38,0
39,1
40,12
41,2
42,15
43,8
44,4
45,4
46,3
47,6
48,3
49,6
50,3
51,1
52,3
53,5
54,1
55,6
56,3
57,0
58,2
59,5
60,1
61,5
62,5
63,0
64,4
65,6
66,2
67,3
68,2
69,1
70,3
71,8
72,4
73,0
74,1
75,6
76,3
77,6
78,1
79,1
80,2
81,7
82,0
83,2
84,0
85,9
86,2
87,4
88,10
89,0
90,1
91,12
92,1
93,3
94,2
95,9
96,1
97,1
98,2
99,2
100,3
101,1
102,1
103,7
104,2
105,4
106,11
107,1
108,10
109,3
110,8
111,0
112,3
113,0
114,4
115,0
116,0
117,0
118,1
119,7
120,0
121,1
122,2
123,1
124,2
125,5
126,2
127,1
128,3
129,1
130,2
131,0
132,2
133,6
134,3
135,1
136,0
137,3
138,0
139,0
140,0
141,0
142,1
143,2
144,10
145,1
146,2
147,2
148,3
149,2
150,6
151,1
152,1
153,2
154,3
155,1
156,0
157,2
158,2
159,2
160,0
161,1
162,2
163,0
164,1
165,5
166,3
167,2
168,1
169,1
170,5
171,2
172,1
173,1
174,0
175,4
176,7
177,1
178,0
179,0
180,2
181,1
182,4
183,3
