source,target,type
0,13,incoming
0,36,incoming
0,106,incoming
0,156,incoming
0,157,incoming
0,161,incoming
0,565,outandin
13,89,incoming
13,144,incoming
36,39,incoming
36,106,incoming
36,156,incoming
36,157,incoming
36,193,outandin
106,39,incoming
106,193,incoming
106,234,incoming
106,275,outandin
156,157,outandin
156,565,outandin
157,565,outandin
2,144,incoming
144,109,incoming
144,139,incoming
144,140,incoming
144,141,incoming
144,142,incoming
144,146,incoming
144,148,incoming
144,151,incoming
144,153,incoming
144,155,incoming
144,158,incoming
144,159,incoming
144,163,incoming
144,164,incoming
144,165,incoming
144,166,incoming
144,168,incoming
144,228,incoming
144,516,outandin
144,965,incoming
39,61,outandin
39,88,outandin
39,134,outandin
39,135,outandin
39,938,outandin
88,913,outandin
134,961,outandin
135,962,outandin
109,148,incoming
109,151,incoming
109,153,incoming
109,155,incoming
109,159,incoming
148,139,incoming
148,141,incoming
148,146,incoming
148,149,incoming
148,150,incoming
148,151,incoming
148,155,incoming
148,159,outandin
148,168,incoming
148,190,incoming
148,199,incoming
148,252,outandin
148,309,incoming
148,963,incoming
148,966,outandin
148,967,incoming
151,150,incoming
151,153,incoming
151,159,incoming
151,963,incoming
153,155,incoming
153,159,outandin
155,146,outandin
155,965,incoming
159,168,outandin
121,964,outandin
130,137,incoming
130,958,incoming
137,958,incoming
136,853,outandin
138,145,incoming
138,149,outandin
138,160,incoming
138,162,incoming
138,169,incoming
138,963,incoming
145,149,outandin
145,154,incoming
145,167,incoming
145,963,incoming
149,160,outandin
149,162,outandin
149,963,incoming
160,150,incoming
160,162,incoming
160,963,incoming
162,963,incoming
169,963,incoming
963,143,incoming
963,147,incoming
963,150,incoming
963,152,incoming
963,154,incoming
963,167,incoming
139,141,outandin
141,142,incoming
166,199,incoming
166,252,incoming
