source,target,weight
0,0,0
0,1,0
0,2,7
0,3,0
0,4,0
0,5,0
0,6,5
0,7,3
0,8,0
1,0,0
1,1,0
1,2,107
1,3,0
1,4,0
1,5,0
1,6,0
1,7,1
1,8,0
2,0,7
2,1,107
2,2,0
2,3,332
2,4,93
2,5,43
2,6,1078
2,7,535
2,8,162
3,0,0
3,1,0
3,2,332
3,3,0
3,4,0
3,5,0
3,6,20
3,7,24
3,8,0
4,0,0
4,1,0
4,2,93
4,3,0
4,4,0
4,5,0
4,6,0
4,7,90
4,8,0
5,0,0
5,1,0
5,2,43
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
6,0,5
6,1,0
6,2,1078
6,3,20
6,4,0
6,5,0
6,6,0
6,7,135
6,8,10
7,0,3
7,1,1
7,2,535
7,3,24
7,4,90
7,5,0
7,6,135
7,7,0
7,8,0
8,0,0
8,1,0
8,2,162
8,3,0
8,4,0
8,5,0
8,6,10
8,7,0
8,8,0
