source,target,weight
1,3,64
1,19,11
1,4,3
1,6,227
1,34,217
1,30,45
3,6,55
3,40,27
3,5,97
3,34,101
0,3,41
3,11,42
3,39,22
3,7,35
3,31,5
3,8,13
3,14,20
3,41,13
3,12,5
19,34,13
19,30,11
6,19,18
12,19,4
4,18,5
4,7,5
4,14,5
4,20,1
4,6,24
4,34,39
6,18,40
6,34,293
6,23,32
6,40,82
6,38,81
6,11,66
6,39,131
2,6,137
6,12,44
6,41,93
6,30,54
6,7,55
6,10,2
6,14,180
6,26,18
1,2,58
1,39,51
1,7,82
1,12,2
1,14,101
18,34,23
2,30,28
0,30,4
14,30,51
11,30,34
30,41,18
30,31,9
13,30,29
14,34,194
2,34,104
34,39,107
15,34,138
0,34,140
34,41,131
16,34,80
13,34,50
8,34,48
26,34,48
1,13,35
1,38,21
9,13,2
7,13,5
13,39,16
0,13,16
13,40,7
13,17,2
13,14,22
1,9,59
1,24,21
6,8,75
6,9,44
6,13,40
6,16,44
6,31,8
6,32,74
28,38,4
9,38,48
7,38,4
38,39,23
34,38,53
19,38,2
32,38,9
11,38,29
14,39,122
14,23,5
5,14,65
0,14,29
7,14,49
18,39,5
28,39,16
2,39,56
7,39,16
11,39,42
9,39,22
39,41,46
5,39,71
8,39,15
0,39,39
22,39,3
16,39,18
26,39,19
23,34,45
23,41,28
23,40,3
13,23,4
5,23,60
0,23,4
23,38,3
5,18,19
5,34,118
2,5,43
5,30,17
5,11,26
1,5,30
5,6,108
5,31,2
5,8,19
5,32,2
5,24,1
5,28,8
0,5,35
5,41,20
5,16,28
5,26,2
5,38,62
5,27,13
4,5,1
0,2,26
0,7,96
0,28,26
0,19,8
0,15,58
0,20,10
0,9,71
0,41,11
6,20,6
6,22,22
6,28,60
14,18,6
14,19,8
14,26,15
9,14,30
14,15,67
14,32,40
14,41,71
2,7,63
7,34,109
7,31,2
7,23,4
7,15,70
7,20,29
7,37,9
30,34,55
9,34,143
0,6,71
6,15,50
7,11,151
7,9,49
1,28,68
8,14,38
0,8,23
8,18,2
23,32,4
6,27,3
18,23,1
18,30,13
18,26,9
9,18,1
18,38,6
12,18,1
3,30,12
30,40,16
8,30,45
30,38,5
26,30,4
15,30,31
30,39,29
9,30,31
16,30,4
12,30,10
7,30,24
4,30,5
2,26,12
1,26,11
7,26,1
21,26,6
11,34,100
9,12,43
9,31,2
9,19,3
9,15,14
14,38,16
6,21,1
12,34,23
12,14,5
12,13,2
12,15,6
5,7,74
4,38,1
4,22,6
4,39,1
11,18,3
7,18,4
18,20,1
11,40,41
11,14,49
0,11,59
1,11,65
9,11,87
11,41,41
11,20,42
11,22,2
11,16,33
2,11,81
11,37,5
11,15,51
7,24,5
7,40,11
7,22,6
20,34,41
20,28,1
3,20,3
14,20,12
2,20,6
20,40,2
20,22,1
20,39,22
1,20,31
20,41,3
15,20,1
14,24,15
14,16,29
14,31,30
1,41,43
0,1,86
1,29,17
1,15,41
1,27,1
25,30,2
6,29,15
0,29,10
5,19,8
2,19,7
19,39,2
15,19,6
16,19,2
19,41,1
5,15,41
1,16,17
1,32,66
0,31,7
0,16,31
2,28,91
15,39,41
15,21,5
15,32,5
15,41,36
15,31,53
15,16,43
15,18,6
15,38,14
13,15,18
1,40,64
1,18,4
2,16,31
16,24,10
16,31,5
16,38,5
16,41,25
0,38,26
38,41,15
13,38,2
34,40,61
21,34,6
32,34,31
34,37,4
31,34,13
40,41,17
9,41,17
24,41,5
7,41,5
18,41,1
8,41,3
25,41,2
13,41,4
16,28,8
16,32,1
9,16,17
13,32,8
13,18,2
9,29,17
29,39,3
22,28,7
28,34,72
28,37,2
0,22,21
3,22,1
22,34,11
9,22,8
14,22,3
22,41,2
15,22,5
3,9,45
5,9,17
2,9,26
0,40,8
0,18,2
0,26,1
3,13,9
3,16,24
3,28,7
3,38,30
3,26,4
12,16,1
12,41,1
8,12,11
2,12,4
14,37,7
14,40,58
14,29,11
3,32,31
11,13,18
13,28,3
13,16,2
2,38,7
30,32,15
7,32,31
0,32,1
8,32,21
2,3,28
2,37,8
2,36,3
1,37,14
1,8,14
1,22,4
1,36,3
28,40,5
14,28,11
3,35,3
16,37,2
16,20,4
7,16,18
3,15,12
8,15,14
2,15,40
15,23,20
15,37,8
39,40,55
15,40,12
8,40,8
38,40,29
24,40,2
18,40,1
16,40,7
9,40,19
26,38,1
25,39,1
2,41,26
2,13,5
2,14,10
2,29,7
0,37,1
7,28,17
7,33,3
31,41,5
7,8,56
11,23,11
3,23,1
29,34,6
15,28,7
15,29,11
2,17,3
2,8,39
15,17,1
5,17,7
5,29,7
2,40,10
32,40,2
33,40,1
29,40,1
31,40,1
17,28,1
8,16,3
5,13,1
11,19,3
8,38,13
34,35,1
8,9,85
25,34,10
9,24,3
9,28,10
9,37,4
24,34,10
8,20,16
12,20,19
20,33,5
9,20,73
5,20,19
20,38,3
11,28,15
28,41,7
18,28,4
28,32,2
21,28,1
26,28,3
8,31,2
8,11,16
32,41,18
21,41,3
37,39,2
31,39,1
5,37,2
6,37,25
37,41,21
36,37,3
36,41,3
7,36,1
28,36,1
34,36,8
6,36,2
9,32,4
11,32,1
17,32,6
32,39,1
22,40,1
1,23,3
15,25,1
26,41,9
33,34,13
17,34,4
2,23,3
1,33,1
1,31,11
14,33,5
8,33,11
33,38,7
12,33,1
33,37,1
0,33,1
9,33,10
15,33,1
0,24,13
2,31,8
2,32,3
8,17,1
16,17,1
5,12,1
12,23,8
8,24,3
8,29,2
0,25,1
16,21,1
26,31,8
29,30,5
29,41,1
11,29,14
7,12,1
14,27,2
6,17,2
2,25,3
1,25,3
7,19,7
21,32,5
16,26,1
16,29,1
11,17,3
8,22,7
7,29,9
21,39,1
6,24,20
27,30,4
27,39,6
21,30,2
13,21,1
13,19,33
7,21,3
8,21,4
19,20,1
7,17,6
8,26,1
9,26,4
17,39,1
17,30,1
14,17,5
17,40,1
9,17,2
8,37,1
14,25,1
6,25,10
20,21,1
14,21,1
4,37,5
32,37,8
