source,target,type
0,32,outgoing
0,118,outandin
0,470,outandin
0,569,
0,605,outgoing
0,732,
0,752,outandin
0,790,outandin
32,19,outgoing
32,24,outandin
32,143,
32,170,outgoing
32,197,outgoing
32,214,outandin
32,236,outgoing
32,249,outgoing
32,280,
32,293,outgoing
32,365,outgoing
32,380,outgoing
32,381,outgoing
32,418,outgoing
32,432,outgoing
32,433,outandin
32,569,incoming
32,580,outgoing
32,718,
32,777,outgoing
32,791,outgoing
32,843,outgoing
32,862,
32,977,
118,14,outandin
118,107,outandin
118,365,outandin
118,553,outandin
118,732,incoming
470,6,
470,189,outgoing
470,193,outandin
470,410,outandin
470,502,outandin
470,550,outandin
470,569,
470,605,outgoing
470,789,
569,6,
569,65,incoming
569,78,
569,90,incoming
569,127,
569,159,incoming
569,228,
569,249,
569,280,outandin
569,290,outandin
569,295,
569,333,
569,409,
569,415,
569,482,
569,502,
569,530,outandin
569,538,
569,599,
569,605,
569,693,
569,710,
569,749,outgoing
569,767,incoming
569,772,outandin
569,847,outandin
569,862,
569,951,
569,976,
569,990,outandin
569,991,
605,228,
605,249,outgoing
605,333,outgoing
605,377,
605,502,outgoing
605,506,outgoing
605,710,outgoing
605,789,
605,862,outgoing
605,921,
732,6,outandin
752,75,outandin
752,120,
752,191,outgoing
752,193,outandin
752,233,outandin
752,318,outandin
752,415,outandin
752,416,incoming
752,612,outandin
752,808,outandin
752,927,incoming
790,2,
790,48,outandin
790,52,outgoing
790,119,outandin
790,126,
790,149,outandin
790,168,
790,294,outgoing
790,306,outandin
790,388,outandin
790,465,outandin
790,516,
790,519,outandin
790,532,outgoing
790,630,outandin
790,662,outandin
790,664,outandin
790,700,
790,761,outgoing
790,812,
790,823,outgoing
790,956,
1,303,outandin
1,309,
1,310,outandin
1,324,incoming
1,548,outandin
303,46,outandin
303,69,outandin
303,103,
303,223,outandin
303,310,outandin
303,343,outgoing
303,399,outandin
303,514,outandin
303,663,
303,780,outandin
303,788,outandin
303,853,outandin
303,950,
303,1001,outandin
309,38,incoming
309,939,outandin
310,103,outgoing
310,322,incoming
310,368,outandin
310,462,outandin
310,586,
310,735,outandin
324,38,incoming
324,75,outandin
324,125,
324,139,outgoing
324,369,outandin
324,388,
324,477,incoming
324,534,
324,591,
324,612,incoming
324,638,
324,676,incoming
324,951,outandin
548,42,outgoing
548,46,outandin
548,164,
548,299,outandin
548,322,incoming
548,368,outandin
548,399,outandin
548,420,outgoing
548,638,incoming
548,853,outgoing
548,879,
2,61,incoming
2,77,
2,135,incoming
2,231,
2,344,outandin
2,499,outandin
2,532,outgoing
2,540,outandin
2,664,outandin
2,700,
2,715,outandin
2,840,outandin
2,846,outandin
61,6,outandin
61,16,outandin
61,19,outandin
61,53,outandin
61,75,outandin
61,120,outandin
61,127,outandin
61,189,outandin
61,193,outandin
61,233,outandin
61,272,outgoing
61,293,outandin
61,306,outgoing
61,334,outgoing
61,338,outandin
61,365,outandin
61,377,incoming
61,398,outandin
61,443,outgoing
61,450,
61,517,outandin
61,522,outgoing
61,534,outandin
61,602,outgoing
61,607,incoming
61,662,outgoing
61,687,incoming
61,692,outgoing
61,700,outandin
61,711,outandin
61,716,outandin
61,718,
61,724,outandin
61,742,outgoing
61,754,outandin
61,772,outandin
61,802,outgoing
61,843,outandin
61,900,
61,926,outgoing
61,991,
77,168,
77,260,
77,294,outandin
77,356,outgoing
77,369,incoming
77,439,
77,556,
77,575,
77,782,outandin
77,912,
135,4,
135,5,outandin
135,65,
135,75,outgoing
135,82,
135,159,outgoing
135,248,outandin
135,290,outandin
135,292,
135,341,outandin
135,362,outandin
135,364,outandin
135,371,
135,405,
135,450,outandin
135,462,outandin
135,502,outandin
135,528,outandin
135,530,outandin
135,531,incoming
135,534,outandin
135,581,
135,594,outandin
135,607,incoming
135,628,
135,692,outgoing
135,703,
135,718,outandin
135,720,
135,742,outgoing
135,765,outandin
135,772,outgoing
135,812,
135,834,outandin
135,851,incoming
135,870,
135,915,outandin
135,920,outandin
135,922,incoming
135,923,outandin
135,936,
135,942,
135,973,outandin
135,980,outandin
231,170,outandin
231,245,
231,540,
231,582,outandin
231,607,
231,624,outgoing
231,698,
231,736,outandin
231,738,
231,819,outandin
231,873,outgoing
231,923,outandin
231,987,
344,67,
344,165,
344,200,
344,373,outgoing
344,543,
344,838,outandin
