source,target,weight
0,0,0
0,1,313
0,2,72
0,3,133
0,4,1
0,5,148
0,6,251
0,7,305
0,8,57
0,9,248
0,10,0
0,11,201
0,12,0
0,13,47
0,14,95
0,15,151
0,16,134
0,17,0
0,18,2
0,19,17
0,20,34
0,21,0
0,22,61
0,23,16
0,24,26
0,25,3
0,26,2
0,27,0
0,28,75
0,29,17
0,30,68
0,31,19
0,32,3
0,33,1
0,34,461
0,35,0
0,36,0
0,37,9
0,38,72
0,39,102
0,40,30
0,41,48
1,0,313
1,1,0
1,2,200
1,3,232
1,4,17
1,5,96
1,6,877
1,7,323
1,8,22
1,9,199
1,10,0
1,11,219
1,12,9
1,13,139
1,14,298
1,15,126
1,16,45
1,17,0
1,18,14
1,19,22
1,20,89
1,21,1
1,22,6
1,23,14
1,24,35
1,25,5
1,26,42
1,27,5
1,28,230
1,29,43
1,30,178
1,31,30
1,32,301
1,33,1
1,34,834
1,35,5
1,36,3
1,37,39
1,38,111
1,39,203
1,40,188
1,41,133
2,0,72
2,1,200
2,2,0
2,3,67
2,4,9
2,5,132
2,6,362
2,7,137
2,8,119
2,9,102
2,10,2
2,11,210
2,12,15
2,13,8
2,14,69
2,15,133
2,16,102
2,17,5
2,18,4
2,19,18
2,20,15
2,21,0
2,22,7
2,23,8
2,24,1
2,25,8
2,26,44
2,27,0
2,28,251
2,29,15
2,30,74
2,31,24
2,32,8
2,33,0
2,34,290
2,35,0
2,36,6
2,37,36
2,38,28
2,39,195
2,40,11
2,41,95
3,0,133
3,1,232
3,2,67
3,3,0
3,4,1
3,5,279
3,6,213
3,7,90
3,8,37
3,9,170
3,10,0
3,11,180
3,12,19
3,13,20
3,14,74
3,15,39
3,16,58
3,17,0
3,18,0
3,19,2
3,20,5
3,21,0
3,22,7
3,23,4
3,24,2
3,25,1
3,26,9
3,27,0
3,28,24
3,29,1
3,30,66
3,31,13
3,32,81
3,33,0
3,34,381
3,35,4
3,36,0
3,37,3
3,38,71
3,39,52
3,40,88
3,41,39
4,0,1
4,1,17
4,2,9
4,3,1
4,4,0
4,5,1
4,6,72
4,7,13
4,8,1
4,9,3
4,10,0
4,11,1
4,12,2
4,13,0
4,14,15
4,15,0
4,16,0
4,17,0
4,18,12
4,19,4
4,20,1
4,21,0
4,22,7
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,15
4,31,0
4,32,0
4,33,0
4,34,110
4,35,0
4,36,0
4,37,34
4,38,1
4,39,5
4,40,2
4,41,2
5,0,148
5,1,96
5,2,132
5,3,279
5,4,1
5,5,0
5,6,352
5,7,191
5,8,58
5,9,112
5,10,0
5,11,96
5,12,2
5,13,4
5,14,180
5,15,173
5,16,47
5,17,43
5,18,22
5,19,38
5,20,42
5,21,2
5,22,5
5,23,178
5,24,2
5,25,0
5,26,5
5,27,46
5,28,46
5,29,39
5,30,57
5,31,11
5,32,17
5,33,0
5,34,504
5,35,0
5,36,0
5,37,5
5,38,204
5,39,209
5,40,10
5,41,60
6,0,251
6,1,877
6,2,362
6,3,213
6,4,72
6,5,352
6,6,0
6,7,266
6,8,209
6,9,193
6,10,3
6,11,299
6,12,261
6,13,100
6,14,623
6,15,129
6,16,199
6,17,12
6,18,140
6,19,59
6,20,20
6,21,2
6,22,43
6,23,97
6,24,52
6,25,15
6,26,95
6,27,16
6,28,163
6,29,39
6,30,158
6,31,20
6,32,271
6,33,0
6,34,1126
6,35,13
6,36,19
6,37,56
6,38,298
6,39,369
6,40,272
6,41,264
7,0,305
7,1,323
7,2,137
7,3,90
7,4,13
7,5,191
7,6,266
7,7,0
7,8,123
7,9,132
7,10,0
7,11,561
7,12,17
7,13,26
7,14,140
7,15,240
7,16,42
7,17,11
7,18,9
7,19,13
7,20,63
7,21,3
7,22,15
7,23,12
7,24,6
7,25,1
7,26,9
7,27,0
7,28,86
7,29,38
7,30,83
7,31,24
7,32,65
7,33,16
7,34,347
7,35,1
7,36,1
7,37,69
7,38,14
7,39,37
7,40,28
7,41,18
8,0,57
8,1,22
8,2,119
8,3,37
8,4,1
8,5,58
8,6,209
8,7,123
8,8,0
8,9,251
8,10,0
8,11,46
8,12,37
8,13,1
8,14,87
8,15,26
8,16,15
8,17,3
8,18,3
8,19,0
8,20,48
8,21,42
8,22,20
8,23,0
8,24,8
8,25,0
8,26,8
8,27,0
8,28,7
8,29,4
8,30,122
8,31,2
8,32,73
8,33,40
8,34,161
8,35,0
8,36,0
8,37,9
8,38,40
8,39,58
8,40,22
8,41,15
9,0,248
9,1,199
9,2,102
9,3,170
9,4,3
9,5,112
9,6,193
9,7,132
9,8,251
9,9,0
9,10,0
9,11,310
9,12,153
9,13,31
9,14,170
9,15,41
9,16,46
9,17,5
9,18,13
9,19,31
9,20,238
9,21,5
9,22,29
9,23,0
9,24,9
9,25,0
9,26,24
9,27,0
9,28,23
9,29,49
9,30,59
9,31,18
9,32,24
9,33,33
9,34,552
9,35,0
9,36,0
9,37,18
9,38,133
9,39,109
9,40,62
9,41,59
10,0,0
10,1,0
10,2,2
10,3,0
10,4,0
10,5,0
10,6,3
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
10,20,0
10,21,0
10,22,0
10,23,0
10,24,0
10,25,0
10,26,0
10,27,0
10,28,0
10,29,0
10,30,0
10,31,0
10,32,0
10,33,0
10,34,0
10,35,0
10,36,0
10,37,0
10,38,0
10,39,0
10,40,0
10,41,0
11,0,201
11,1,219
11,2,210
