source,target,type
0,6,incoming
0,32,outgoing
0,78,incoming
0,118,
0,178,incoming
0,189,incoming
0,228,incoming
0,249,incoming
0,295,incoming
0,333,
0,365,outandin
0,409,incoming
0,470,
0,502,incoming
0,538,incoming
0,569,
0,599,incoming
0,605,
0,693,incoming
0,705,outandin
0,710,incoming
0,716,outandin
0,732,
0,767,incoming
0,808,outandin
0,862,incoming
0,976,incoming
0,991,incoming
6,29,outandin
6,178,incoming
6,189,
6,237,outandin
6,248,outgoing
6,249,
6,333,
6,365,outandin
6,414,outandin
6,470,outgoing
6,506,
6,569,
6,670,
6,693,incoming
32,19,outgoing
32,24,
32,61,incoming
32,90,
32,127,outgoing
32,143,
32,159,
32,170,outgoing
32,189,
32,197,
32,236,outgoing
32,249,
32,280,
32,293,
32,316,incoming
32,337,incoming
32,365,outgoing
32,380,outgoing
32,381,outgoing
32,418,outgoing
32,432,outgoing
32,433,
32,502,
32,530,outgoing
32,534,incoming
32,569,outgoing
32,572,
32,680,outandin
32,693,
32,716,incoming
32,718,
32,724,incoming
32,731,
32,777,outgoing
32,791,
32,840,outgoing
32,843,outgoing
32,851,outgoing
32,862,
32,870,outandin
32,883,outandin
32,891,
32,915,
32,920,outgoing
32,977,
78,169,incoming
78,178,incoming
78,422,outandin
78,502,
78,506,
78,569,
78,599,incoming
78,702,outandin
78,710,
78,767,outandin
78,951,outgoing
78,976,incoming
118,5,incoming
118,107,
118,335,
118,365,
118,502,incoming
118,532,
118,553,outgoing
118,732,
118,862,incoming
178,2,incoming
178,53,outandin
178,90,incoming
178,120,incoming
178,159,incoming
178,228,incoming
178,231,incoming
178,249,incoming
178,295,incoming
178,333,incoming
178,339,incoming
178,409,incoming
178,470,incoming
178,482,incoming
178,502,incoming
178,538,incoming
178,569,outandin
178,599,incoming
178,605,incoming
178,607,incoming
178,693,incoming
178,710,incoming
178,752,incoming
178,767,incoming
178,862,incoming
178,976,incoming
178,991,incoming
189,24,outandin
189,29,outandin
189,38,incoming
189,61,
189,90,outgoing
189,91,outandin
189,114,
189,127,
189,181,
189,193,outandin
189,201,
189,208,outandin
189,214,outgoing
189,236,
189,239,outgoing
189,249,
189,293,incoming
189,334,outandin
189,362,outandin
189,365,
189,377,
189,410,
189,462,outgoing
189,470,
189,502,incoming
189,506,
189,546,
189,569,outgoing
189,595,
189,607,
189,609,outgoing
189,652,
189,716,
189,718,
189,724,
189,729,incoming
189,896,outandin
189,904,
189,951,incoming
189,969,
189,977,
189,1004,
228,24,outandin
228,333,
228,335,outgoing
228,470,outgoing
228,502,
228,569,
228,599,outandin
228,605,
228,693,
228,724,outandin
249,29,incoming
249,280,incoming
249,333,
249,409,outgoing
249,410,outgoing
249,470,outgoing
249,502,
249,506,
249,569,
249,605,
249,607,outandin
249,693,
249,716,
249,789,outandin
249,1004,outgoing
295,569,
333,16,outgoing
333,19,incoming
333,29,incoming
333,184,outgoing
333,362,outandin
333,409,
333,470,
333,502,
333,506,incoming
333,538,
333,569,
333,599,
333,605,
333,607,incoming
333,693,
333,710,
333,743,
333,767,
333,783,incoming
333,862,
409,506,
409,569,
409,599,
409,862,outandin
470,502,outgoing
470,538,outgoing
470,546,outandin
470,569,
470,605,
470,693,
470,789,
470,862,outgoing
502,24,outandin
502,56,outandin
502,61,incoming
502,90,outgoing
502,159,
502,167,outandin
502,185,
502,214,outgoing
502,231,
502,239,outgoing
502,248,outgoing
502,293,incoming
502,316,incoming
502,334,
502,356,outgoing
502,362,outgoing
502,377,outandin
502,388,outandin
502,462,outandin
502,519,incoming
502,538,
502,565,outandin
502,569,
502,591,
502,599,
502,605,
502,607,
502,687,
502,693,
502,700,
502,710,
502,718,
502,724,
502,746,outgoing
502,772,outgoing
502,789,outandin
502,851,
502,862,
502,935,outandin
502,951,
538,184,outandin
538,239,outgoing
538,362,incoming
538,569,
538,693,
538,832,outandin
538,862,outgoing
538,951,incoming
569,2,incoming
569,65,outgoing
569,90,outgoing
569,107,outgoing
569,127,outgoing
569,135,outandin
569,159,outgoing
569,188,outgoing
569,193,outandin
569,214,
569,293,outgoing
569,316,outandin
569,334,outandin
569,339,outgoing
569,356,outgoing
569,410,outandin
569,415,outgoing
569,482,outgoing
569,599,
569,605,
569,607,
569,687,outandin
569,693,
569,710,
569,718,outgoing
569,767,
569,847,outgoing
569,862,
569,976,
569,990,outgoing
569,991,
599,91,outandin
599,122,outandin
599,362,outandin
599,506,
599,605,incoming
599,693,
599,710,
599,767,incoming
599,789,outandin
605,29,outandin
605,293,
605,377,outgoing
605,506,
605,670,outgoing
605,693,
605,700,outgoing
605,710,
605,789,
605,862,
605,951,incoming
693,13,outandin
693,90,incoming
693,122,
693,293,outandin
693,528,outandin
693,572,incoming
693,710,incoming
693,789,outandin
693,862,incoming
693,890,outandin
705,90,outandin
705,102,outandin
710,184,
710,423,
710,607,outandin
710,767,incoming
710,779,incoming
710,832,incoming
710,862,outandin
716,16,outgoing
716,61,
716,114,outandin
716,127,
716,149,
716,236,
716,293,incoming
716,377,
716,423,outgoing
716,471,outandin
716,597,outandin
716,607,outgoing
716,700,outandin
716,718,
716,724,
716,777,outgoing
716,866,
716,883,incoming
716,896,outandin
716,980,
732,16,outandin
732,29,outgoing
732,90,outandin
732,127,outgoing
767,29,outandin
808,5,incoming
808,29,
808,107,
808,335,
808,468,outandin
808,506,
808,553,outgoing
808,670,
808,876,outandin
808,898,outgoing
862,19,outgoing
862,90,
862,157,outandin
862,167,outgoing
862,184,outandin
862,293,incoming
862,482,outandin
862,495,
862,519,outandin
862,572,
862,638,outgoing
862,669,outandin
862,977,outgoing
991,61,
991,280,outandin
991,654,
991,712,incoming
991,718,outandin
991,858,
1,103,outandin
1,106,outgoing
1,303,outgoing
1,309,
1,310,
1,324,outgoing
103,46,outandin
103,139,outandin
103,164,
103,303,
103,310,
103,368,
103,378,outandin
103,423,
103,514,
103,612,outgoing
103,663,outandin
103,780,
103,832,
103,950,
103,951,outandin
106,139,
106,229,outgoing
106,322,outandin
106,402,outgoing
106,510,outandin
106,622,outandin
106,634,outgoing
106,638,incoming
106,740,
106,780,outgoing
106,788,
106,828,outgoing
106,832,
106,950,outandin
106,1001,outgoing
303,343,outgoing
303,368,
303,832,outgoing
303,950,
309,38,
309,97,
309,514,outandin
309,780,outandin
309,832,incoming
310,46,incoming
310,322,
310,329,outandin
310,334,incoming
310,343,
310,368,
310,477,
310,534,outandin
310,586,
310,612,incoming
324,38,
324,139,
324,172,outandin
324,214,
324,239,
324,362,
324,402,outgoing
324,415,incoming
324,477,
324,534,
324,591,
324,612,
324,622,incoming
324,638,
2,4,outandin
2,30,outandin
2,38,outgoing
2,52,outgoing
2,58,outgoing
2,61,
2,77,
2,119,
2,126,
2,151,outandin
2,168,
2,231,
2,236,outgoing
2,248,outandin
2,251,outandin
2,260,incoming
2,272,outgoing
2,283,outandin
2,322,outgoing
2,334,incoming
2,335,
2,356,outandin
2,416,
2,469,outandin
2,500,outandin
2,526,incoming
2,530,incoming
2,602,outandin
2,680,incoming
2,700,
2,746,outandin
2,749,outgoing
2,769,outandin
2,772,outandin
2,782,outgoing
2,790,
2,812,
2,814,outandin
2,838,outandin
2,866,incoming
2,868,outgoing
2,891,outandin
2,923,
2,953,incoming
2,983,outgoing
4,135,
4,362,outgoing
4,371,
4,581,outandin
4,585,
4,638,outandin
4,720,
4,771,
4,848,incoming
30,52,
30,90,incoming
30,104,
30,126,
30,133,outandin
30,166,outgoing
30,168,
30,209,incoming
30,232,incoming
30,256,
30,294,incoming
30,313,
30,356,
30,416,
30,447,outandin
30,472,outgoing
30,648,
30,743,outgoing
30,765,
30,868,
30,908,incoming
30,912,
30,936,
38,42,outandin
38,90,outgoing
38,334,
38,343,incoming
38,388,incoming
38,410,
38,474,incoming
38,591,
38,609,outandin
38,638,
38,790,outandin
38,832,
38,939,
52,45,outgoing
52,66,outgoing
52,126,
52,133,incoming
52,166,
52,168,
52,201,outgoing
52,232,
52,313,outgoing
52,356,
52,416,
52,472,
52,573,outandin
52,586,incoming
52,602,
52,648,outandin
52,743,outandin
52,790,outgoing
52,868,
52,912,
58,338,
58,577,
58,586,
58,818,
58,909,
61,53,
61,90,incoming
61,114,incoming
61,127,
61,135,incoming
61,159,outgoing
61,176,outandin
61,181,
61,193,
61,214,outandin
61,233,
61,272,
61,278,outgoing
61,293,
61,334,
61,343,outgoing
61,356,
61,377,
61,388,
61,393,
61,443,
61,450,
61,457,outgoing
61,517,
61,522,
61,534,
61,546,outandin
61,550,incoming
61,568,incoming
61,591,
61,607,
61,633,outandin
61,659,incoming
61,662,
61,687,
61,692,
61,700,outgoing
61,712,outgoing
61,718,
61,724,
61,790,outandin
61,802,
61,843,
61,851,incoming
61,854,
61,915,
61,980,
77,168,
77,232,
77,260,
77,266,incoming
77,356,
77,416,incoming
77,439,
77,472,outandin
77,556,outgoing
77,575,
77,782,
77,912,
77,949,incoming
119,126,outandin
119,335,outandin
119,465,incoming
119,700,
119,790,
119,812,
126,74,incoming
126,104,incoming
126,133,outandin
126,166,
126,168,
126,232,
126,250,outandin
126,256,outandin
126,294,outgoing
126,313,incoming
126,356,
126,362,outandin
126,416,
126,454,outandin
126,573,outgoing
126,585,outandin
126,586,
126,602,
126,648,
126,700,incoming
126,759,outgoing
126,765,incoming
126,782,incoming
126,790,
126,868,incoming
126,908,outandin
126,912,outandin
126,984,incoming
151,165,outandin
151,253,
151,278,
151,290,
151,316,incoming
151,566,outgoing
151,609,incoming
151,617,incoming
151,923,incoming
168,62,incoming
168,74,incoming
168,90,
168,133,
168,134,outandin
168,166,
168,232,
168,260,
168,266,incoming
168,267,outandin
168,305,
168,313,
168,347,outgoing
168,356,
168,362,
168,416,
168,439,
168,447,incoming
168,472,
168,500,outandin
168,556,incoming
168,557,
168,575,
168,585,outandin
168,586,
168,607,
168,648,incoming
168,699,incoming
168,700,incoming
168,743,outgoing
168,765,
168,782,incoming
168,790,
168,868,
168,885,outgoing
168,912,
168,918,outandin
168,949,incoming
168,956,outandin
168,966,
168,984,
231,28,
231,170,
231,233,incoming
231,245,
231,248,outandin
231,264,incoming
231,329,incoming
231,338,
231,462,outgoing
231,531,outandin
231,540,
231,607,
231,624,
231,646,outandin
231,698,
231,736,
231,738,
231,764,incoming
231,769,outgoing
231,783,outandin
231,819,outgoing
231,830,incoming
231,840,
231,863,outandin
231,867,outandin
231,873,
231,921,outandin
231,923,
231,955,outgoing
231,969,incoming
231,987,
231,994,incoming
236,107,
236,208,
236,335,
236,364,outandin
236,383,outgoing
236,393,outandin
236,506,
236,532,incoming
236,537,
236,690,outandin
236,783,outandin
236,790,outandin
236,977,
236,980,incoming
236,1004,
248,5,outandin
248,16,outandin
248,29,outandin
248,49,outgoing
248,68,outandin
248,75,
248,135,outgoing
248,157,
248,159,outandin
248,173,outandin
248,185,
248,226,outandin
248,245,outandin
248,329,
248,334,outgoing
248,338,outandin
248,364,
248,450,outgoing
248,462,
248,492,outgoing
248,506,
248,530,outgoing
248,540,outandin
248,550,outgoing
248,571,outandin
248,581,outgoing
248,586,outgoing
248,588,outandin
248,591,
248,595,outgoing
248,670,outgoing
248,684,outandin
248,687,outgoing
248,692,
248,696,incoming
248,746,outgoing
248,762,outgoing
248,764,outandin
248,783,outandin
248,789,outandin
248,830,outandin
248,836,outandin
248,840,outandin
248,891,outandin
248,915,outgoing
248,920,
248,921,outandin
248,945,outandin
251,95,
251,245,outandin
251,410,
251,482,
251,506,
251,531,incoming
251,540,incoming
251,873,outandin
251,935,outandin
251,987,
251,994,incoming
260,232,
260,266,incoming
260,356,
260,416,
260,447,outandin
260,472,incoming
260,575,
260,586,incoming
260,762,
260,790,
260,912,
260,949,incoming
272,40,
272,135,outandin
272,187,incoming
272,193,outgoing
272,214,outgoing
272,379,
272,443,incoming
272,450,
272,546,outandin
272,550,outandin
272,568,
272,595,
272,662,
272,703,incoming
272,712,outgoing
272,742,
272,754,
272,772,incoming
272,802,
272,835,outgoing
272,900,
283,90,incoming
283,159,
322,42,incoming
322,64,
322,102,outandin
322,139,outgoing
322,164,
322,223,
322,299,
322,323,outandin
322,334,
322,337,outandin
322,343,
322,368,incoming
322,379,outandin
322,420,incoming
322,460,incoming
322,477,outgoing
322,509,outgoing
322,510,outandin
322,534,
322,591,outgoing
322,638,
322,649,outandin
322,663,
322,706,
322,740,incoming
322,832,outandin
322,853,
322,879,
334,75,
334,120,
334,127,
334,135,incoming
334,147,outgoing
334,159,
334,191,
334,214,
334,220,
334,229,outandin
334,278,incoming
334,356,incoming
334,416,
334,460,outandin
334,462,
334,483,incoming
334,534,
334,550,incoming
334,586,
334,591,
334,607,
334,609,
334,612,
334,617,incoming
334,628,outgoing
334,630,outandin
334,638,
334,671,
334,687,
334,692,
334,718,
334,746,
334,752,outandin
334,772,
334,776,
334,851,outandin
334,890,outandin
334,915,
334,923,
334,987,incoming
334,994,outandin
334,1004,outandin
335,5,
335,29,
335,107,
335,175,
335,201,
335,208,
335,381,
335,385,outgoing
335,440,outgoing
335,464,
335,468,
335,532,
335,537,
335,553,
335,591,outandin
335,643,
335,664,
335,670,
335,687,outandin
335,688,
335,700,incoming
335,726,outandin
335,737,
335,790,outgoing
335,810,
335,839,outandin
335,867,
335,890,outandin
335,898,outgoing
335,923,outandin
335,980,
335,985,
335,1004,
356,62,incoming
356,74,incoming
356,90,
356,120,
356,133,incoming
356,157,
356,166,
356,209,
356,214,incoming
356,232,incoming
356,256,
356,305,
356,313,
356,318,incoming
356,416,
356,450,incoming
356,462,
356,472,
356,500,outgoing
356,505,outandin
356,515,
356,517,
356,530,incoming
356,542,
356,557,incoming
356,573,outgoing
356,574,
356,586,
356,591,outgoing
356,602,
356,607,
356,648,
356,684,
356,687,
356,704,outandin
356,718,
356,743,
356,762,
356,765,
356,770,incoming
356,772,
356,868,
356,912,
356,915,
356,927,incoming
356,984,
416,53,
416,74,incoming
416,90,
416,104,
416,111,outandin
416,112,incoming
416,133,
416,134,outgoing
416,147,
416,157,outandin
416,159,outgoing
416,166,
416,191,incoming
416,193,
416,214,outgoing
416,232,
416,256,
416,257,outandin
416,266,incoming
416,267,
416,294,
416,305,
416,313,
416,326,outandin
416,332,incoming
416,415,
416,435,outandin
416,439,
416,447,incoming
416,454,
416,471,outandin
416,472,
416,500,incoming
416,517,incoming
416,542,outandin
416,546,outandin
416,557,outandin
416,573,
416,575,outandin
416,586,
416,592,outandin
416,602,
416,617,
416,629,outgoing
416,633,outgoing
416,648,
416,674,outandin
416,699,incoming
416,743,incoming
416,759,outgoing
416,762,outgoing
416,765,
416,772,
416,782,
416,833,outgoing
416,854,outgoing
416,868,
416,885,
416,912,
416,923,outandin
416,927,
416,949,incoming
416,984,
416,1003,outandin
469,24,outandin
469,35,
469,141,
469,142,
469,167,
469,188,
469,207,
469,229,
469,241,
469,274,
469,301,
469,406,outandin
469,421,
469,424,
469,427,outandin
469,512,
469,547,
469,585,outandin
469,630,
469,647,outandin
469,795,
469,817,
469,851,
469,954,
469,957,incoming
469,978,
469,988,outgoing
500,62,outandin
500,90,
500,120,incoming
500,157,outandin
500,159,
500,166,
500,294,outandin
500,313,outandin
500,332,
500,435,
500,515,
500,535,outandin
500,546,outgoing
500,550,
500,573,outgoing
500,586,
500,607,incoming
500,692,outandin
500,772,outandin
500,782,
500,984,outandin
526,24,
526,90,
526,160,
526,185,outandin
526,280,
526,360,
526,530,
526,561,outgoing
526,629,
526,630,outandin
526,658,outandin
526,846,outandin
526,891,
530,24,
530,90,incoming
530,135,outgoing
530,157,incoming
530,159,outandin
530,160,
530,214,
530,267,
530,280,
530,360,
530,414,outandin
530,450,incoming
530,493,
530,586,incoming
530,607,outgoing
530,629,
530,630,
530,658,
530,684,incoming
530,685,
530,690,outandin
530,700,outandin
530,718,outgoing
530,742,incoming
530,746,
530,838,incoming
530,846,outandin
530,851,outgoing
530,858,outandin
530,891,
530,915,
602,133,
602,443,
602,450,outandin
602,472,
602,515,outandin
602,586,outgoing
602,648,
602,743,
602,765,
602,868,incoming
602,908,incoming
602,912,
602,984,outandin
680,12,
680,15,
680,284,
680,406,outgoing
680,422,
680,540,outandin
680,584,outgoing
680,707,
680,720,
680,731,
680,790,
680,880,outandin
700,112,
700,170,outandin
700,171,outandin
700,193,outgoing
700,245,outandin
700,267,
700,306,outandin
700,321,outandin
700,337,outandin
700,338,outandin
700,369,outandin
700,377,outandin
700,415,outandin
700,516,outgoing
700,532,
700,540,outandin
700,541,outandin
700,568,outandin
700,595,outgoing
700,607,incoming
700,629,outandin
700,638,
700,662,outandin
700,724,outandin
700,746,outandin
700,761,
700,771,
700,790,
700,812,
700,863,outandin
700,881,
700,890,incoming
700,891,outgoing
700,896,outandin
700,947,outandin
746,56,outgoing
746,79,outandin
746,90,
746,98,outandin
746,135,outgoing
746,157,
746,159,incoming
746,176,incoming
746,191,outandin
746,193,outandin
746,214,
746,221,outgoing
746,223,outandin
746,233,incoming
746,388,incoming
746,413,incoming
746,414,outandin
746,415,outgoing
746,450,
746,517,outgoing
746,531,outandin
746,534,
746,542,
746,550,
746,565,outandin
746,591,
746,592,outandin
746,665,incoming
746,687,incoming
746,692,
746,718,outgoing
746,731,outgoing
746,742,
746,743,outgoing
746,775,
746,776,
746,783,outgoing
746,812,outgoing
746,834,outgoing
746,836,outgoing
746,851,
746,900,incoming
746,915,outgoing
746,920,
746,923,incoming
746,935,
746,963,outandin
746,966,outgoing
746,980,outgoing
749,220,outgoing
749,840,outandin
769,83,
769,86,outgoing
769,90,outandin
769,95,
769,105,outandin
769,120,outgoing
769,135,outandin
769,152,outgoing
769,159,outgoing
769,176,
769,185,outandin
769,229,outgoing
769,233,outgoing
769,242,outgoing
769,292,
769,306,outgoing
769,329,outgoing
769,364,outandin
769,400,outgoing
769,415,outandin
769,443,outgoing
769,506,outandin
769,528,outandin
769,581,outandin
769,659,outgoing
769,660,incoming
769,692,
769,742,
769,771,
769,772,outgoing
769,830,
769,835,outgoing
769,863,
769,865,outandin
769,873,
769,901,outgoing
769,951,outgoing
769,963,outandin
769,983,outandin
769,993,outgoing
772,8,incoming
772,13,
772,53,outandin
772,56,
772,68,outgoing
772,75,
772,82,outandin
772,107,
772,120,
772,135,
772,136,outandin
772,147,outandin
772,150,outgoing
772,157,outandin
772,190,incoming
772,191,outandin
772,203,incoming
772,233,
772,243,outgoing
772,274,outandin
772,280,outandin
772,326,outgoing
772,415,incoming
772,433,outgoing
772,454,
772,517,
772,528,outgoing
772,544,
772,546,outgoing
772,566,
772,581,incoming
772,586,
772,595,incoming
772,609,
772,613,outgoing
772,629,
772,633,
772,640,incoming
772,669,incoming
772,682,incoming
772,684,outgoing
772,687,
772,731,
772,739,outgoing
772,742,
772,775,outgoing
772,783,outgoing
772,789,outandin
772,809,incoming
772,812,outgoing
772,833,incoming
772,843,outandin
772,870,outgoing
772,890,outandin
772,912,
772,915,
772,923,
772,926,outandin
772,927,
772,951,outgoing
772,987,
772,993,outgoing
772,997,
782,45,outgoing
782,66,outgoing
782,74,incoming
