community,density
0,0.024630541871921183
1,0.012755102040816327
2,0.0036231884057971015
3,0.029411764705882353
4,0.0
5,0.017543859649122806
6,0.01366120218579235
7,0.01680672268907563
8,0.0
9,0.015384615384615385
10,0.0
11,0.023391812865497075
12,0.0
13,0.0
14,0.01282051282051282
15,0.013071895424836602
16,0.015789473684210527
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.03571428571428571
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.015151515151515152
32,0.027777777777777776
33,0.0
34,0.010172143974960876
35,0.0
36,0.0
37,0.0
38,0.014705882352941176
39,0.0142602495543672
40,0.030303030303030304
41,0.017316017316017316
