source,target,weight
1,18,17
1,3,474
1,23,19
1,40,236
1,19,16
0,1,598
1,7,305
1,11,128
1,6,639
1,39,281
1,2,156
1,20,18
1,4,15
1,38,134
1,41,199
1,30,262
1,34,682
1,10,8
1,12,15
1,26,50
1,15,249
0,18,59
7,18,19
6,18,90
2,18,12
14,18,25
18,30,27
18,22,8
10,18,2
18,39,15
15,18,16
3,18,3
3,30,59
3,11,44
3,6,174
2,3,39
3,9,229
3,39,92
3,14,101
3,13,26
3,15,84
5,23,163
0,23,88
2,23,15
8,23,2
6,23,128
11,23,32
23,34,148
23,30,4
7,23,36
12,23,11
14,40,140
34,40,243
3,40,88
28,40,25
2,40,17
39,40,152
30,40,100
31,40,4
40,41,74
8,40,17
38,40,167
5,40,25
6,40,281
35,40,12
16,40,67
9,40,45
32,40,7
0,40,53
7,40,41
11,40,98
15,40,39
29,40,7
23,40,9
19,40,11
24,40,6
20,40,6
10,40,1
12,40,6
27,40,1
13,40,5
18,19,1
3,19,4
19,30,32
0,19,65
9,19,49
6,19,45
14,19,12
19,34,27
12,19,8
0,14,106
0,39,140
0,34,328
0,2,225
0,38,96
0,12,76
0,5,179
0,11,254
0,7,439
0,6,480
0,9,301
0,4,55
0,41,147
0,28,55
0,15,180
0,30,138
0,10,60
0,3,130
0,26,66
7,34,349
7,28,158
3,7,68
7,39,113
2,7,77
7,38,16
5,7,233
7,11,404
7,14,190
6,7,403
7,20,75
7,31,12
4,7,9
7,29,51
7,22,32
7,16,93
7,15,337
11,14,130
6,39,374
6,15,136
6,34,911
2,6,302
6,31,15
6,30,114
6,22,23
6,32,229
30,39,74
2,30,98
2,31,49
2,19,16
2,4,4
2,41,57
2,11,151
2,28,153
2,10,11
2,16,58
2,12,6
11,19,4
7,19,12
20,34,231
20,28,7
3,20,5
14,20,135
0,20,44
20,26,2
15,20,8
5,20,9
20,31,50
12,20,37
16,20,44
20,32,8
8,20,70
20,22,2
20,39,33
20,41,7
20,38,14
13,20,3
11,20,54
6,20,23
2,14,51
2,8,81
2,39,91
2,26,26
2,34,188
2,9,53
2,38,29
2,13,8
2,15,216
2,24,4
4,6,6
4,30,18
4,34,6
6,14,631
6,11,205
6,8,247
6,9,108
6,16,101
6,41,236
6,28,274
5,6,234
6,12,37
6,26,40
30,38,29
38,39,59
15,38,38
11,38,50
9,38,56
34,38,358
18,38,12
14,38,121
6,38,293
34,41,357
30,41,29
5,41,89
6,10,5
11,18,2
11,30,55
10,11,5
1,8,20
1,31,49
14,30,156
30,34,241
7,30,78
10,30,1
12,30,14
26,30,9
7,26,6
7,10,5
34,39,313
14,34,460
10,34,2
10,38,4
3,12,13
12,16,4
12,34,43
12,39,1
14,26,87
26,39,89
5,26,4
26,31,62
26,41,25
15,28,22
15,30,100
15,26,3
15,39,109
11,15,136
9,15,33
15,34,442
14,15,311
1,9,289
1,5,247
9,21,17
9,34,360
9,31,25
9,14,286
1,14,349
1,32,155
9,28,98
9,18,12
9,39,139
7,9,102
9,32,48
9,13,26
9,11,159
9,30,32
3,5,199
5,28,30
5,31,5
5,8,30
2,5,46
5,39,136
5,14,173
5,16,53
5,9,63
5,34,487
5,38,104
31,34,21
7,32,17
14,39,775
14,23,26
14,41,178
14,16,63
14,32,42
14,22,46
14,37,45
3,41,32
3,34,404
3,38,55
9,41,79
9,22,25
21,39,10
8,39,31
11,39,77
39,41,158
23,39,9
16,39,97
28,39,76
22,39,16
32,39,34
4,39,7
18,32,2
8,18,1
18,29,1
18,34,64
18,40,1
18,41,5
22,40,8
23,41,67
13,23,25
23,38,9
15,23,99
15,41,117
15,16,163
15,32,17
15,29,15
25,30,7
29,30,13
11,34,176
13,34,82
28,34,192
16,34,114
26,34,213
8,34,238
22,34,32
29,34,43
0,8,80
0,22,37
0,21,1
38,41,63
14,29,79
9,20,237
9,24,12
9,23,8
9,29,44
9,16,37
8,9,248
