node,centrality,community,density,eign,betwness,closeness,volatility,name,type
511,1,0,0.0291005291005291,0.0001344213933871,0.0,0.2537313432835821,0.3684210526315789,dept0#511,outgoing
682,1,0,0.0291005291005291,0.0002506083256633,0.0,0.2477353288696337,0.05263157894736842,dept0#682,
824,1,0,0.0291005291005291,8.901795946826176e-08,0.0,0.2468602825745683,0.42105263157894735,dept0#824,outandin
907,1,0,0.0291005291005291,1.9800906148070405e-08,0.0,0.2027070576861102,0.42105263157894735,dept0#907,
180,2,0,0.0291005291005291,9.418337764695836e-07,0.001592356687898,0.2460876369327073,0.10526315789473684,dept0#180,outgoing
284,2,0,0.0291005291005291,4.7508084651541215e-08,0.0,0.256734693877551,0.0,dept0#284,
814,2,0,0.0291005291005291,1.618309915127218e-06,0.0,0.2658495350803043,0.47368421052631576,dept0#814,outgoing
656,3,0,0.0291005291005291,3.7379356841538217e-06,0.0,0.2968381311939594,0.0,dept0#656,
149,4,0,0.0291005291005291,0.0001141402809574,0.0003404026275937,0.2710038776389487,0.0,dept0#149,
347,4,0,0.0291005291005291,1.7734260001576893e-07,0.000116508049629,0.268001704303366,0.0,dept0#347,
277,5,0,0.0291005291005291,5.6407491731552344e-08,8.262239521729576e-05,0.2732406602953953,0.0,dept0#277,
349,5,0,0.0291005291005291,3.0357868408168893e-05,2.35062177737337e-05,0.2691484809584938,0.21052631578947367,dept0#349,
712,5,0,0.0291005291005291,4.745951278721475e-06,5.864329054587075e-05,0.3289748953974895,0.05263157894736842,dept0#712,
122,6,0,0.0291005291005291,8.13553521342417e-06,0.002744136911831,0.2932400932400932,0.05263157894736842,dept0#122,
191,6,0,0.0291005291005291,1.2555879663178356e-05,0.0015345173454453,0.3124689518132141,0.0,dept0#191,
575,6,0,0.0291005291005291,4.060652524810321e-06,0.0021913873940464,0.272530329289428,0.0,dept0#575,
680,6,0,0.0291005291005291,2.191095126299316e-07,0.0016239384288747,0.2829509671614935,0.0,dept0#680,
344,8,0,0.0291005291005291,1.2676336915611262e-06,0.0010978437094953,0.3024038461538461,0.0,dept0#344,
231,9,0,0.0291005291005291,0.0006946187540504,0.0072832622347377,0.299381247025226,0.0,dept0#231,
278,9,0,0.0291005291005291,6.9702107600072e-06,0.0017058561513449,0.3243940175348118,0.0,dept0#278,
157,11,0,0.0291005291005291,4.1583795361103855e-06,0.0053488216954042,0.3480907581627006,0.0,dept0#157,
857,13,0,0.0291005291005291,4.180072665534516e-06,0.0033832968361601,0.3151302605210421,0.0,dept0#857,
402,16,0,0.0291005291005291,7.281043591246041e-06,0.0245213936513186,0.2818100358422939,0.15789473684210525,dept0#402,
851,16,0,0.0291005291005291,1.26582628250414e-05,0.014730856738099,0.3463656387665198,0.0,dept0#851,
343,17,0,0.0291005291005291,7.278262860331375e-05,0.0219510895624888,0.3063809059912323,0.0,dept0#343,
692,29,0,0.0291005291005291,0.0004414173758559,0.0135520241718754,0.3759713090257023,0.0,dept0#692,
178,38,0,0.0291005291005291,0.0394656157827718,0.0205248249354162,0.378459687123947,0.05263157894736842,dept0#178,
214,74,0,0.0291005291005291,0.0003202822422765,0.1720526986580033,0.4407848633496846,0.0,dept0#214,
18,1,1,0.0121212121212121,1.8702400605024355e-07,0.0,0.2152635181382614,0.631578947368421,dept1#18,outandin
221,1,1,0.0121212121212121,3.363566609239446e-07,0.0,0.2824427480916031,0.5263157894736842,dept1#221,outandin
308,1,1,0.0121212121212121,0.0024107083859232,0.0,0.2286441294074881,0.7894736842105263,dept1#308,incoming
309,1,1,0.0121212121212121,2.0404938250941567e-08,0.0,0.1921784295753131,0.10526315789473684,dept1#309,
317,1,1,0.0121212121212121,1.2019721772372384e-09,0.0,0.1911854103343465,0.3684210526315789,dept1#317,
341,1,1,0.0121212121212121,1.2610937658769565e-07,0.0,0.2681159420289855,0.5789473684210527,dept1#341,
603,1,1,0.0121212121212121,5.1782557040275665e-08,0.0,0.1853816681402888,0.5263157894736842,dept1#603,outgoing
852,1,1,0.0121212121212121,1.096803183623028e-06,0.0,0.3060827250608272,0.5263157894736842,dept1#852,outgoing
872,1,1,0.0121212121212121,5.71390644429518e-08,0.0,0.2439875872769588,0.21052631578947367,dept1#872,
1,2,1,0.0121212121212121,1.1916248001424435e-06,0.001592356687898,0.2378071833648393,0.05263157894736842,dept1#1,
225,2,1,0.0121212121212121,2.1040108727071582e-08,0.0,0.2036917098445596,0.2631578947368421,dept1#225,
226,2,1,0.0121212121212121,1.7784392959676597e-06,0.0,0.2665254237288135,0.47368421052631576,dept1#226,
227,2,1,0.0121212121212121,1.2517692122675556e-08,0.0,0.210016694490818,0.42105263157894735,dept1#227,
916,2,1,0.0121212121212121,5.476891148346913e-07,0.001592356687898,0.2598099958694754,0.5789473684210527,dept1#916,outgoing
17,3,1,0.0121212121212121,1.0041685108726466e-06,1.8097260135476697e-05,0.2639530004196391,0.15789473684210525,dept1#17,
311,3,1,0.0121212121212121,1.8180983194572635e-07,0.0010454891053351,0.2385286310200986,0.0,dept1#311,
