community,density
0,0.023076923076923078
1,0.026850507982583455
2,0.01935483870967742
3,0.05714285714285714
4,0.0
5,0.029239766081871343
6,0.02443064182194617
7,0.023170731707317073
8,0.005263157894736842
9,0.006896551724137931
10,0.0
11,0.004329004329004329
12,0.0
13,0.015151515151515152
14,0.01932367149758454
15,0.01904761904761905
16,0.007905138339920948
17,0.0
18,0.0
19,0.0
20,0.05555555555555555
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.01818181818181818
30,0.006535947712418301
31,0.02564102564102564
32,0.01282051282051282
33,0.0
34,0.01967513154884466
35,0.0
36,0.0
37,0.0
38,0.016666666666666666
39,0.014184397163120567
40,0.038461538461538464
41,0.021538461538461538
