source,target,weight
0,0,0
0,1,677
0,2,252
0,3,150
0,4,74
0,5,149
0,6,416
0,7,437
0,8,156
0,9,205
0,10,16
0,11,146
0,12,158
0,13,32
0,14,143
0,15,103
0,16,106
0,17,28
0,18,33
0,19,46
0,20,23
0,21,8
0,22,18
0,23,51
0,24,0
0,25,0
0,26,17
0,27,0
0,28,17
0,29,41
0,30,132
0,31,14
0,32,18
0,33,0
0,34,410
0,35,0
0,36,0
0,37,22
0,38,59
0,39,121
0,40,39
0,41,88
1,0,677
1,1,0
1,2,238
1,3,305
1,4,29
1,5,116
1,6,500
1,7,316
1,8,30
1,9,292
1,10,8
1,11,58
1,12,13
1,13,135
1,14,300
1,15,155
1,16,148
1,17,5
1,18,14
1,19,18
1,20,35
1,21,2
1,22,2
1,23,26
1,24,0
1,25,7
1,26,20
1,27,5
1,28,35
1,29,67
1,30,181
1,31,393
1,32,376
1,33,0
1,34,590
1,35,0
1,36,3
1,37,59
1,38,199
1,39,181
1,40,210
1,41,113
2,0,252
2,1,238
2,2,0
2,3,45
2,4,4
2,5,82
2,6,304
2,7,200
2,8,83
2,9,93
2,10,25
2,11,51
2,12,2
2,13,8
2,14,102
2,15,158
2,16,88
2,17,15
2,18,6
2,19,19
2,20,13
2,21,4
2,22,5
2,23,14
2,24,0
2,25,15
2,26,29
2,27,14
2,28,74
2,29,64
2,30,129
2,31,31
2,32,21
2,33,0
2,34,378
2,35,0
2,36,2
2,37,35
2,38,35
2,39,104
2,40,29
2,41,99
3,0,150
3,1,305
3,2,45
3,3,0
3,4,0
3,5,144
3,6,211
3,7,104
3,8,40
3,9,269
3,10,0
3,11,6
3,12,0
3,13,98
3,14,172
3,15,57
3,16,96
3,17,0
3,18,21
3,19,0
3,20,11
3,21,0
3,22,2
3,23,2
3,24,1
3,25,2
3,26,3
3,27,0
3,28,6
3,29,2
3,30,54
3,31,7
3,32,70
3,33,0
3,34,353
3,35,6
3,36,0
3,37,20
3,38,28
3,39,58
3,40,53
3,41,46
4,0,74
4,1,29
4,2,4
4,3,0
4,4,0
4,5,0
4,6,28
4,7,5
4,8,1
4,9,5
4,10,1
4,11,4
4,12,8
4,13,0
4,14,11
4,15,0
4,16,1
4,17,0
4,18,10
4,19,2
4,20,0
4,21,0
4,22,0
4,23,1
4,24,1
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,25
4,31,0
4,32,0
4,33,0
4,34,71
4,35,0
4,36,0
4,37,9
4,38,0
4,39,9
4,40,2
4,41,3
5,0,149
5,1,116
5,2,82
5,3,144
5,4,0
5,5,0
5,6,263
5,7,171
5,8,11
5,9,25
5,10,0
5,11,28
5,12,13
5,13,21
5,14,117
5,15,255
5,16,69
5,17,21
5,18,8
5,19,24
5,20,15
5,21,6
5,22,2
5,23,41
5,24,0
5,25,0
5,26,0
5,27,3
5,28,18
5,29,23
5,30,41
5,31,0
5,32,9
5,33,0
5,34,347
5,35,0
5,36,0
5,37,1
5,38,15
5,39,63
5,40,24
5,41,18
6,0,416
6,1,500
6,2,304
6,3,211
6,4,28
6,5,263
6,6,0
6,7,343
6,8,257
6,9,169
6,10,2
6,11,77
6,12,31
6,13,108
6,14,529
6,15,146
6,16,115
6,17,3
6,18,73
6,19,22
6,20,35
6,21,15
6,22,9
6,23,113
6,24,2
6,25,6
6,26,24
6,27,2
6,28,112
6,29,48
6,30,74
6,31,23
6,32,213
6,33,0
6,34,1383
6,35,1
6,36,35
6,37,71
6,38,321
6,39,240
6,40,386
6,41,190
7,0,437
7,1,316
7,2,200
7,3,104
7,4,5
7,5,171
7,6,343
7,7,0
7,8,336
7,9,98
7,10,1
7,11,304
7,12,7
7,13,37
7,14,196
7,15,277
7,16,69
7,17,25
7,18,13
7,19,55
7,20,121
7,21,15
7,22,6
7,23,41
7,24,0
7,25,1
7,26,10
7,27,0
7,28,24
7,29,57
7,30,81
7,31,78
7,32,21
7,33,4
7,34,529
7,35,2
7,36,0
7,37,59
7,38,23
7,39,108
7,40,88
7,41,63
8,0,156
8,1,30
8,2,83
8,3,40
8,4,1
8,5,11
8,6,257
8,7,336
8,8,0
8,9,96
8,10,1
8,11,63
8,12,88
8,13,6
8,14,88
8,15,2
8,16,23
8,17,0
8,18,2
8,19,2
8,20,22
8,21,0
8,22,1
8,23,9
8,24,0
8,25,0
8,26,5
8,27,6
8,28,12
8,29,2
8,30,124
8,31,1
8,32,6
8,33,66
8,34,203
8,35,1
8,36,0
8,37,5
8,38,74
8,39,75
8,40,17
8,41,48
9,0,205
9,1,292
9,2,93
9,3,269
9,4,5
9,5,25
9,6,169
9,7,98
9,8,96
9,9,0
9,10,0
9,11,31
9,12,2
9,13,70
9,14,93
9,15,75
9,16,34
9,17,1
9,18,11
9,19,19
9,20,82
9,21,4
9,22,2
9,23,13
9,24,0
9,25,0
9,26,20
9,27,0
9,28,5
9,29,43
9,30,45
9,31,56
9,32,53
9,33,1
9,34,312
9,35,0
9,36,0
9,37,16
9,38,69
9,39,88
9,40,37
9,41,50
10,0,16
10,1,8
10,2,25
10,3,0
10,4,1
10,5,0
10,6,2
10,7,1
10,8,1
10,9,0
10,10,0
10,11,4
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,5
10,20,1
10,21,0
10,22,0
10,23,0
10,24,0
10,25,0
10,26,0
10,27,0
10,28,0
10,29,0
10,30,0
10,31,0
10,32,0
10,33,0
10,34,0
10,35,0
10,36,0
10,37,0
10,38,0
10,39,0
10,40,0
10,41,0
11,0,146
11,1,58
11,2,51
11,3,6
11,4,4
11,5,28
11,6,77
11,7,304
11,8,63
11,9,31
11,10,4
11,11,0
11,12,0
11,13,6
11,14,38
11,15,51
11,16,45
11,17,0
11,18,3
11,19,13
11,20,95
11,21,0
11,22,0
11,23,8
11,24,0
11,25,0
11,26,0
11,27,0
11,28,14
11,29,1
11,30,33
11,31,1
11,32,4
11,33,0
11,34,95
11,35,0
11,36,0
11,37,0
11,38,38
11,39,16
11,40,64
11,41,28
12,0,158
12,1,13
12,2,2
12,3,0
12,4,8
12,5,13
12,6,31
12,7,7
12,8,88
12,9,2
12,10,0
12,11,0
12,12,0
12,13,0
12,14,27
12,15,52
12,16,5
12,17,0
12,18,1
12,19,0
12,20,5
12,21,0
12,22,0
12,23,13
12,24,0
12,25,0
12,26,1
12,27,0
12,28,0
12,29,0
12,30,22
12,31,0
12,32,4
12,33,1
12,34,59
12,35,0
12,36,0
12,37,1
12,38,3
12,39,8
12,40,2
12,41,1
13,0,32
13,1,135
13,2,8
13,3,98
13,4,0
13,5,21
13,6,108
13,7,37
13,8,6
13,9,70
13,10,0
13,11,6
13,12,0
13,13,0
13,14,63
13,15,26
13,16,4
13,17,8
13,18,22
13,19,13
13,20,2
13,21,5
13,22,0
13,23,10
13,24,0
13,25,2
13,26,5
13,27,0
13,28,2
13,29,10
13,30,20
13,31,34
13,32,39
13,33,0
13,34,209
13,35,0
13,36,0
13,37,0
13,38,27
13,39,33
13,40,1
13,41,35
14,0,143
14,1,300
14,2,102
14,3,172
14,4,11
14,5,117
14,6,529
14,7,196
14,8,88
14,9,93
14,10,0
14,11,38
14,12,27
14,13,63
14,14,0
14,15,278
14,16,66
14,17,17
14,18,19
14,19,5
14,20,26
14,21,29
14,22,29
14,23,7
14,24,3
14,25,3
14,26,50
14,27,7
14,28,99
14,29,82
14,30,121
14,31,136
14,32,47
14,33,8
14,34,574
14,35,0
14,36,0
14,37,53
14,38,199
14,39,375
14,40,107
14,41,189
15,0,103
15,1,155
15,2,158
15,3,57
15,4,0
15,5,255
15,6,146
15,7,277
15,8,2
15,9,75
15,10,0
15,11,51
15,12,52
15,13,26
15,14,278
15,15,0
15,16,120
15,17,14
15,18,13
15,19,15
15,20,6
15,21,0
15,22,32
15,23,67
15,24,5
15,25,1
15,26,0
15,27,0
15,28,9
15,29,56
15,30,84
15,31,93
15,32,18
15,33,0
15,34,446
15,35,0
15,36,0
15,37,61
15,38,74
15,39,57
15,40,33
15,41,52
16,0,106
16,1,148
16,2,88
16,3,96
16,4,1
16,5,69
16,6,115
16,7,69
16,8,23
16,9,34
16,10,0
16,11,45
16,12,5
16,13,4
16,14,66
16,15,120
16,16,0
16,17,7
16,18,22
16,19,3
16,20,51
16,21,32
16,22,0
16,23,14
16,24,0
16,25,1
16,26,7
16,27,0
16,28,10
16,29,6
16,30,1
16,31,9
16,32,10
16,33,2
16,34,254
16,35,0
16,36,0
16,37,9
16,38,104
16,39,96
16,40,114
16,41,56
17,0,28
17,1,5
17,2,15
17,3,0
17,4,0
17,5,21
17,6,3
17,7,25
17,8,0
17,9,1
17,10,0
17,11,0
17,12,0
17,13,8
17,14,17
17,15,14
17,16,7
17,17,0
17,18,0
17,19,3
17,20,0
17,21,0
17,22,0
17,23,0
17,24,0
17,25,0
17,26,1
17,27,0
17,28,0
17,29,8
17,30,12
17,31,0
17,32,8
17,33,0
17,34,7
17,35,0
17,36,0
17,37,0
17,38,0
17,39,5
17,40,0
17,41,1
18,0,33
18,1,14
18,2,6
18,3,21
18,4,10
18,5,8
18,6,73
18,7,13
18,8,2
18,9,11
18,10,0
18,11,3
18,12,1
18,13,22
18,14,19
18,15,13
18,16,22
18,17,0
18,18,0
18,19,4
18,20,1
18,21,1
18,22,0
18,23,0
18,24,0
18,25,0
18,26,18
18,27,0
18,28,1
18,29,0
18,30,23
18,31,3
18,32,7
18,33,0
18,34,67
18,35,0
18,36,0
18,37,0
18,38,19
18,39,19
18,40,6
18,41,19
19,0,46
19,1,18
19,2,19
19,3,0
19,4,2
19,5,24
19,6,22
19,7,55
19,8,2
19,9,19
19,10,5
19,11,13
19,12,0
19,13,13
19,14,5
19,15,15
19,16,3
19,17,3
19,18,4
19,19,0
19,20,9
19,21,0
19,22,0
19,23,0
19,24,0
19,25,0
19,26,0
19,27,0
19,28,0
19,29,2
19,30,30
19,31,0
19,32,0
19,33,0
19,34,49
19,35,0
19,36,0
19,37,0
19,38,0
19,39,8
19,40,14
19,41,11
20,0,23
20,1,35
20,2,13
20,3,11
20,4,0
20,5,15
20,6,35
20,7,121
20,8,22
20,9,82
20,10,1
20,11,95
20,12,5
20,13,2
20,14,26
20,15,6
20,16,51
20,17,0
20,18,1
20,19,9
20,20,0
20,21,3
20,22,0
20,23,5
20,24,0
20,25,4
20,26,1
20,27,0
20,28,5
20,29,0
20,30,4
20,31,47
20,32,4
20,33,6
20,34,105
20,35,0
20,36,0
20,37,3
20,38,28
20,39,32
20,40,12
20,41,6
21,0,8
21,1,2
21,2,4
21,3,0
21,4,0
21,5,6
21,6,15
21,7,15
21,8,0
21,9,4
21,10,0
21,11,0
21,12,0
21,13,5
21,14,29
21,15,0
21,16,32
21,17,0
21,18,1
21,19,0
21,20,3
21,21,0
21,22,0
21,23,0
21,24,0
21,25,0
21,26,1
21,27,0
21,28,0
21,29,13
21,30,19
21,31,0
21,32,29
21,33,0
21,34,13
21,35,0
21,36,0
21,37,0
21,38,1
21,39,75
21,40,8
21,41,29
22,0,18
22,1,2
22,2,5
22,3,2
22,4,0
22,5,2
22,6,9
22,7,6
22,8,1
22,9,2
22,10,0
22,11,0
22,12,0
22,13,0
22,14,29
22,15,32
22,16,0
22,17,0
22,18,0
22,19,0
22,20,0
22,21,0
22,22,0
22,23,0
22,24,0
22,25,0
22,26,0
22,27,0
22,28,8
22,29,0
22,30,3
22,31,2
22,32,0
22,33,0
22,34,22
22,35,0
22,36,0
22,37,1
22,38,18
22,39,11
22,40,3
22,41,5
23,0,51
23,1,26
23,2,14
23,3,2
23,4,1
23,5,41
23,6,113
23,7,41
23,8,9
23,9,13
23,10,0
23,11,8
23,12,13
23,13,10
23,14,7
23,15,67
23,16,14
23,17,0
23,18,0
23,19,0
23,20,5
23,21,0
23,22,0
23,23,0
23,24,0
23,25,4
23,26,0
23,27,2
23,28,0
23,29,0
23,30,3
23,31,0
23,32,18
23,33,0
23,34,118
23,35,0
23,36,0
23,37,0
23,38,20
23,39,12
23,40,6
23,41,18
24,0,0
24,1,0
24,2,0
24,3,1
24,4,1
24,5,0
24,6,2
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,3
24,15,5
24,16,0
24,17,0
24,18,0
24,19,0
24,20,0
24,21,0
24,22,0
24,23,0
24,24,0
24,25,0
24,26,0
24,27,0
24,28,0
24,29,0
24,30,0
24,31,0
24,32,0
24,33,0
24,34,1
24,35,0
24,36,0
24,37,0
24,38,0
24,39,0
24,40,0
24,41,0
25,0,0
25,1,7
25,2,15
25,3,2
25,4,0
25,5,0
25,6,6
25,7,1
25,8,0
25,9,0
25,10,0
25,11,0
25,12,0
25,13,2
25,14,3
25,15,1
25,16,1
25,17,0
25,18,0
25,19,0
25,20,4
25,21,0
25,22,0
25,23,4
25,24,0
25,25,0
25,26,0
25,27,0
25,28,0
25,29,9
25,30,11
25,31,0
25,32,1
25,33,0
25,34,17
25,35,0
25,36,0
25,37,3
25,38,7
25,39,21
25,40,0
25,41,7
26,0,17
26,1,20
26,2,29
26,3,3
26,4,0
26,5,0
26,6,24
26,7,10
26,8,5
26,9,20
26,10,0
26,11,0
26,12,1
26,13,5
26,14,50
26,15,0
26,16,7
26,17,1
26,18,18
26,19,0
26,20,1
26,21,1
26,22,0
26,23,0
26,24,0
26,25,0
26,26,0
26,27,0
26,28,0
26,29,0
26,30,7
26,31,49
26,32,0
26,33,0
26,34,83
26,35,0
26,36,0
26,37,0
26,38,0
26,39,62
26,40,0
26,41,4
27,0,0
27,1,5
27,2,14
27,3,0
27,4,0
27,5,3
27,6,2
27,7,0
27,8,6
27,9,0
27,10,0
27,11,0
27,12,0
27,13,0
27,14,7
27,15,0
27,16,0
27,17,0
27,18,0
27,19,0
27,20,0
27,21,0
27,22,0
27,23,2
27,24,0
27,25,0
27,26,0
27,27,0
27,28,0
27,29,0
27,30,4
27,31,0
27,32,1
27,33,0
27,34,2
27,35,0
27,36,0
27,37,0
27,38,0
27,39,5
27,40,0
27,41,0
28,0,17
28,1,35
28,2,74
28,3,6
28,4,0
28,5,18
28,6,112
28,7,24
28,8,12
28,9,5
28,10,0
28,11,14
28,12,0
28,13,2
28,14,99
28,15,9
28,16,10
28,17,0
28,18,1
28,19,0
28,20,5
28,21,0
28,22,8
28,23,0
28,24,0
28,25,0
28,26,0
28,27,0
28,28,0
28,29,1
28,30,0
28,31,0
28,32,11
28,33,0
28,34,89
28,35,0
28,36,0
28,37,7
28,38,9
28,39,19
28,40,11
28,41,13
29,0,41
29,1,67
29,2,64
29,3,2
29,4,0
29,5,23
29,6,48
29,7,57
29,8,2
29,9,43
29,10,0
29,11,1
29,12,0
29,13,10
29,14,82
29,15,56
29,16,6
29,17,8
29,18,0
29,19,2
29,20,0
29,21,13
29,22,0
29,23,0
29,24,0
29,25,9
29,26,0
29,27,0
29,28,1
29,29,0
29,30,50
29,31,0
29,32,4
29,33,0
29,34,85
29,35,0
29,36,0
29,37,11
29,38,16
29,39,30
29,40,7
29,41,26
30,0,132
30,1,181
30,2,129
30,3,54
30,4,25
30,5,41
30,6,74
30,7,81
30,8,124
30,9,45
30,10,0
30,11,33
30,12,22
30,13,20
30,14,121
30,15,84
30,16,1
30,17,12
30,18,23
30,19,30
30,20,4
30,21,19
30,22,3
30,23,3
30,24,0
30,25,11
30,26,7
30,27,4
30,28,0
30,29,50
30,30,0
30,31,36
30,32,16
30,33,0
30,34,143
30,35,0
30,36,0
30,37,3
30,38,40
30,39,144
30,40,69
30,41,16
31,0,14
31,1,393
31,2,31
31,3,7
31,4,0
31,5,0
31,6,23
31,7,78
31,8,1
31,9,56
31,10,0
31,11,1
31,12,0
31,13,34
31,14,136
31,15,93
31,16,9
31,17,0
31,18,3
31,19,0
31,20,47
31,21,0
31,22,2
31,23,0
31,24,0
31,25,0
31,26,49
31,27,0
31,28,0
31,29,0
31,30,36
31,31,0
31,32,20
31,33,0
31,34,173
31,35,0
31,36,0
31,37,0
31,38,122
31,39,160
31,40,4
31,41,2
32,0,18
32,1,376
32,2,21
32,3,70
32,4,0
32,5,9
32,6,213
32,7,21
32,8,6
32,9,53
32,10,0
32,11,4
32,12,4
32,13,39
32,14,47
32,15,18
32,16,10
32,17,8
32,18,7
32,19,0
32,20,4
32,21,29
32,22,0
32,23,18
32,24,0
32,25,1
32,26,0
32,27,1
32,28,11
32,29,4
32,30,16
32,31,20
32,32,0
32,33,0
32,34,86
32,35,0
32,36,0
32,37,0
32,38,50
32,39,35
32,40,9
32,41,1
33,0,0
33,1,0
33,2,0
33,3,0
33,4,0
33,5,0
33,6,0
33,7,4
33,8,66
33,9,1
33,10,0
33,11,0
33,12,1
33,13,0
33,14,8
33,15,0
33,16,2
33,17,0
33,18,0
33,19,0
33,20,6
33,21,0
33,22,0
33,23,0
33,24,0
33,25,0
33,26,0
33,27,0
33,28,0
33,29,0
33,30,0
33,31,0
33,32,0
33,33,0
33,34,3
33,35,0
33,36,0
33,37,2
33,38,4
33,39,0
33,40,0
33,41,0
34,0,410
34,1,590
34,2,378
34,3,353
34,4,71
34,5,347
34,6,1383
34,7,529
34,8,203
34,9,312
34,10,0
34,11,95
34,12,59
34,13,209
34,14,574
34,15,446
34,16,254
34,17,7
34,18,67
34,19,49
34,20,105
34,21,13
34,22,22
34,23,118
34,24,1
34,25,17
34,26,83
34,27,2
34,28,89
34,29,85
34,30,143
34,31,173
34,32,86
34,33,3
34,34,0
34,35,1
34,36,20
34,37,44
34,38,467
34,39,454
34,40,327
34,41,363
35,0,0
35,1,0
35,2,0
35,3,6
35,4,0
35,5,0
35,6,1
35,7,2
35,8,1
35,9,0
35,10,0
35,11,0
35,12,0
35,13,0
35,14,0
35,15,0
35,16,0
35,17,0
35,18,0
35,19,0
35,20,0
35,21,0
35,22,0
35,23,0
35,24,0
35,25,0
35,26,0
35,27,0
35,28,0
35,29,0
35,30,0
35,31,0
35,32,0
35,33,0
35,34,1
35,35,0
35,36,0
35,37,0
35,38,0
35,39,0
35,40,0
35,41,0
36,0,0
36,1,3
36,2,2
36,3,0
36,4,0
36,5,0
36,6,35
36,7,0
36,8,0
36,9,0
36,10,0
36,11,0
36,12,0
36,13,0
36,14,0
36,15,0
36,16,0
36,17,0
36,18,0
36,19,0
36,20,0
36,21,0
36,22,0
36,23,0
36,24,0
36,25,0
36,26,0
36,27,0
36,28,0
36,29,0
36,30,0
36,31,0
36,32,0
36,33,0
36,34,20
36,35,0
36,36,0
36,37,50
36,38,0
36,39,0
36,40,1
36,41,25
37,0,22
37,1,59
37,2,35
37,3,20
37,4,9
37,5,1
37,6,71
37,7,59
37,8,5
37,9,16
37,10,0
37,11,0
37,12,1
37,13,0
37,14,53
37,15,61
37,16,9
37,17,0
37,18,0
37,19,0
37,20,3
37,21,0
37,22,1
37,23,0
37,24,0
37,25,3
37,26,0
37,27,0
37,28,7
37,29,11
37,30,3
37,31,0
37,32,0
37,33,2
37,34,44
37,35,0
37,36,50
37,37,0
37,38,5
37,39,10
37,40,4
37,41,55
38,0,59
38,1,199
38,2,35
38,3,28
38,4,0
38,5,15
38,6,321
38,7,23
38,8,74
38,9,69
38,10,0
38,11,38
38,12,3
38,13,27
38,14,199
38,15,74
38,16,104
38,17,0
38,18,19
38,19,0
38,20,28
38,21,1
38,22,18
38,23,20
38,24,0
38,25,7
38,26,0
38,27,0
38,28,9
38,29,16
38,30,40
38,31,122
38,32,50
38,33,4
38,34,467
38,35,0
38,36,0
38,37,5
38,38,0
38,39,98
38,40,262
38,41,79
39,0,121
39,1,181
39,2,104
39,3,58
39,4,9
39,5,63
39,6,240
39,7,108
39,8,75
39,9,88
39,10,0
39,11,16
39,12,8
39,13,33
39,14,375
39,15,57
39,16,96
39,17,5
39,18,19
39,19,8
39,20,32
39,21,75
39,22,11
39,23,12
39,24,0
39,25,21
39,26,62
39,27,5
39,28,19
39,29,30
39,30,144
39,31,160
39,32,35
39,33,0
39,34,454
39,35,0
39,36,0
39,37,10
39,38,98
39,39,0
39,40,134
39,41,61
40,0,39
40,1,210
40,2,29
40,3,53
40,4,2
40,5,24
40,6,386
40,7,88
40,8,17
40,9,37
40,10,0
40,11,64
40,12,2
40,13,1
40,14,107
40,15,33
40,16,114
40,17,0
40,18,6
40,19,14
40,20,12
40,21,8
40,22,3
40,23,6
40,24,0
40,25,0
40,26,0
40,27,0
40,28,11
40,29,7
40,30,69
40,31,4
40,32,9
40,33,0
40,34,327
40,35,0
40,36,1
40,37,4
40,38,262
40,39,134
40,40,0
40,41,34
41,0,88
41,1,113
41,2,99
41,3,46
41,4,3
41,5,18
41,6,190
41,7,63
41,8,48
41,9,50
41,10,0
41,11,28
41,12,1
41,13,35
41,14,189
41,15,52
41,16,56
41,17,1
41,18,19
41,19,11
41,20,6
41,21,29
41,22,5
41,23,18
41,24,0
41,25,7
41,26,4
41,27,0
41,28,13
41,29,26
41,30,16
41,31,2
41,32,1
41,33,0
41,34,363
41,35,0
41,36,25
41,37,55
41,38,79
41,39,61
41,40,34
41,41,0
