source,target,type
13824,14291,incoming
13824,15452,incoming
13824,15843,incoming
8194,13296,incoming
8708,2209,incoming
8708,3011,incoming
8708,4970,incoming
8708,12652,incoming
5128,10438,incoming
5128,12091,incoming
5128,13296,outandin
7693,3066,incoming
7693,1342,incoming
7693,3233,outandin
7693,3994,incoming
7693,5995,incoming
7693,7857,incoming
7693,7877,outandin
7693,8668,outandin
7693,12006,incoming
7693,15669,incoming
7693,13296,incoming
6161,3141,outandin
6161,6692,incoming
6161,6988,incoming
6161,7510,incoming
6161,11152,incoming
6161,11845,incoming
6161,12656,incoming
6161,13505,outandin
6161,14327,outandin
6161,14398,incoming
4122,926,incoming
4122,1681,incoming
4122,2209,incoming
4122,2536,incoming
4122,3614,incoming
4122,4187,incoming
4122,4970,incoming
4122,5784,incoming
4122,7077,incoming
4122,8082,incoming
4122,9440,incoming
4122,10018,incoming
4122,10093,outandin
4122,10112,incoming
4122,10185,incoming
4122,10682,outandin
4122,10875,incoming
4122,11493,incoming
4122,11697,incoming
4122,12006,outandin
4122,12652,incoming
4122,13422,incoming
4122,13678,incoming
4122,13747,incoming
4122,13779,incoming
4122,14309,incoming
4122,14554,incoming
4122,14736,incoming
4122,15219,incoming
4122,15272,incoming
14363,2220,incoming
14363,2536,incoming
14363,10185,incoming
14363,11493,incoming
14363,13422,incoming
14363,14511,incoming
14363,14554,incoming
8220,1293,incoming
8220,10153,incoming
8220,12596,outandin
8220,14253,incoming
11805,14749,outandin
3614,5784,incoming
3614,7077,incoming
3614,10185,
3614,11493,outandin
3614,14155,incoming
2077,2223,outandin
2077,3900,incoming
2077,4125,incoming
2077,7077,outandin
2077,9684,incoming
2077,10185,incoming
2077,11143,incoming
2077,15091,outandin
2077,15669,outandin
2077,9347,incoming
2077,10018,outandin
2077,13296,incoming
2077,14554,incoming
12832,5839,incoming
12832,6988,incoming
4125,3900,incoming
4125,2223,outandin
4125,7077,outandin
4125,10185,
4125,11143,incoming
4125,14554,incoming
4125,15669,incoming
6692,1823,incoming
6692,3141,outandin
6692,5839,incoming
6692,6988,incoming
6692,12656,incoming
6692,14253,incoming
6692,14398,incoming
6692,9634,incoming
6692,10324,incoming
6692,11845,incoming
8231,14749,outandin
4657,8820,outandin
4657,13753,incoming
4657,14410,incoming
14902,3020,incoming
14902,3572,outandin
14902,3900,incoming
14902,5995,incoming
14902,10324,incoming
14902,13296,outandin
14902,13422,incoming
14902,12652,incoming
14902,15272,incoming
5174,14410,outandin
13368,11152,incoming
13368,11845,incoming
14398,1823,incoming
14398,3141,incoming
14398,10324,incoming
14398,11152,incoming
14398,11845,incoming
14398,15272,outandin
15422,2933,incoming
15422,13296,outandin
3647,4970,outandin
3141,5839,incoming
3141,6988,incoming
3141,7510,outandin
3141,11845,outandin
3141,12656,incoming
3141,13505,outandin
3141,14253,incoming
3141,14327,outandin
11845,1823,incoming
11845,11152,incoming
11845,6988,incoming
11845,7510,incoming
11845,12656,incoming
11845,14327,outandin
11845,15057,incoming
14410,13296,outandin
14410,8674,incoming
3151,14253,incoming
3151,14749,outandin
7759,10112,outandin
7759,11878,incoming
7759,14749,outandin
10324,3011,incoming
10324,3020,incoming
10324,7510,incoming
10324,4970,incoming
10324,5988,outandin
10324,12652,incoming
10324,12656,incoming
10324,15272,incoming
3156,12976,incoming
3156,14749,outandin
13396,7042,outandin
13396,14749,outandin
4187,10185,outandin
4187,11493,incoming
4187,13422,outandin
4187,14155,outandin
15452,8820,incoming
15452,14291,incoming
15452,10729,incoming
15452,15843,incoming
12389,1812,incoming
6757,9634,outandin
11878,2370,incoming
11878,10112,incoming
11878,10185,
11878,926,outandin
11878,7077,incoming
11878,9684,incoming
11878,13678,incoming
11878,13422,incoming
11878,14554,incoming
13422,2209,outandin
13422,2220,incoming
13422,2536,incoming
13422,3020,incoming
13422,10018,incoming
13422,10185,
13422,11493,incoming
13422,4970,outandin
13422,5622,incoming
13422,9530,incoming
13422,12652,incoming
13422,13186,incoming
13422,13547,outandin
13422,13678,incoming
13422,14309,outandin
13422,14511,incoming
13422,14554,incoming
13422,14563,incoming
13422,14718,incoming
13422,15195,incoming
8311,2284,incoming
8311,3736,incoming
8311,7356,incoming
8311,8145,incoming
8311,9401,incoming
8311,13060,incoming
8311,14749,outandin
8312,9583,incoming
10362,3900,outandin
10362,10185,
10362,13296,incoming
10362,14554,incoming
10875,10185,
10875,10112,incoming
10875,11493,outandin
12413,14749,outandin
6786,10112,incoming
6786,11493,incoming
6786,12652,incoming
6786,14749,outandin
9347,3900,incoming
9347,4970,incoming
9347,10185,incoming
9347,14554,incoming
