source,target,weight
0,0,408.14136872301503
0,1,136.74887811475966
0,2,232.9760800347345
0,3,254.84215741061988
0,4,5.817111159963204
0,5,452.69525445207086
0,6,434.85947774650134
0,7,74.33179480149771
0,8,144.85081630429374
0,10,262.2193136650881
0,11,416.1918408769384
1,1,380.78015997671827
1,2,509.5230011329729
1,3,472.2782569873301
1,4,13.441730146122602
1,5,285.44629633583224
1,6,135.52315768945732
1,7,214.86064423072293
1,8,318.874949069259
1,10,179.24456259118463
1,11,323.4586965330351
2,2,376.91843430272945
2,3,387.66567263507363
2,4,6.473890696352274
2,5,362.2196866604627
2,6,561.9115307330815
2,7,152.00679609728476
2,8,154.3660513473792
2,10,182.51907155817608
2,11,260.7438579956161
3,3,193.3045179104266
3,4,22.625469836301605
3,5,376.51893335999284
3,6,214.22088815619588
3,7,88.18524500857764
3,8,245.7772684923525
3,10,219.02683853660923
3,11,275.42728079917276
4,4,6.933423025730715
4,5,0.0
4,6,4.564348191467836
4,7,2.0794415416798357
4,8,33.096763389896495
4,10,5.278114659230517
4,11,13.831446897262628
5,5,2930.185460386099
5,6,549.4759800669019
5,7,207.4078865351345
5,8,76.9517829776643
5,10,1080.9002152430753
5,11,195.84253113837215
6,6,1155.7608118391117
6,7,180.39943086886473
6,8,88.62783444292894
6,10,222.31489065787505
6,11,504.87098832421617
7,7,60.64371581668248
7,8,108.7802104673675
7,10,124.70729476572399
7,11,32.117563756570306
8,8,297.7330175489974
8,10,126.01234601311327
8,11,219.57632515840803
10,10,320.4306424421593
10,11,161.74443883631713
11,11,346.6039697117316
