source,target,weight
0,0,0.0
0,1,183.0
0,2,981.0
0,3,1105.0
0,4,610.0
0,5,970.0
0,6,608.0
0,7,1977.0
0,8,1235.0
0,9,342.0
0,10,561.0
0,11,435.0
0,12,863.0
0,13,2408.0
0,14,12377.0
0,15,1334.0
0,16,496.0
0,17,466.0
0,18,935.0
1,0,183.0
1,1,0.0
1,2,92.0
1,3,860.0
1,4,95.0
1,5,29.0
1,6,27.0
1,7,35.0
1,8,23.0
1,9,2521.0
1,10,90.0
1,11,476.0
1,12,3772.0
1,13,96.0
1,14,294.0
1,15,101.0
1,16,141.0
1,17,149.0
1,18,21.0
2,0,981.0
2,1,92.0
2,2,0.0
2,3,705.0
2,4,334.0
2,5,206.0
2,6,2685.0
2,7,200.0
2,8,279.0
2,9,322.0
2,10,250.0
2,11,398.0
2,12,785.0
2,13,754.0
2,14,1007.0
2,15,494.0
2,16,206.0
2,17,627.0
2,18,653.0
3,0,1105.0
3,1,860.0
3,2,705.0
3,3,0.0
3,4,455.0
3,5,240.0
3,6,235.0
3,7,253.0
3,8,312.0
3,9,3137.0
3,10,433.0
3,11,1651.0
3,12,1433.0
3,13,406.0
3,14,9925.0
3,15,290.0
3,16,470.0
3,17,180.0
3,18,105.0
4,0,610.0
4,1,95.0
4,2,334.0
4,3,455.0
4,4,0.0
4,5,884.0
4,6,101.0
4,7,188.0
4,8,294.0
4,9,8941.0
4,10,3406.0
4,11,2038.0
4,12,8370.0
4,13,305.0
4,14,335.0
4,15,1598.0
4,16,888.0
4,17,471.0
4,18,878.0
5,0,970.0
5,1,29.0
5,2,206.0
5,3,240.0
5,4,884.0
5,5,0.0
5,6,90.0
5,7,123.0
5,8,148.0
5,9,1747.0
5,10,182.0
5,11,243.0
5,12,470.0
5,13,368.0
5,14,665.0
5,15,274.0
5,16,437.0
5,17,157.0
5,18,588.0
6,0,608.0
6,1,27.0
6,2,2685.0
6,3,235.0
6,4,101.0
6,5,90.0
6,6,0.0
6,7,322.0
6,8,417.0
6,9,591.0
6,10,264.0
6,11,78.0
6,12,1482.0
6,13,358.0
6,14,3547.0
6,15,536.0
6,16,187.0
6,17,1607.0
6,18,1693.0
7,0,1977.0
7,1,35.0
7,2,200.0
7,3,253.0
7,4,188.0
7,5,123.0
7,6,322.0
7,7,0.0
7,8,175.0
7,9,491.0
7,10,202.0
7,11,514.0
7,12,601.0
7,13,947.0
7,14,7398.0
7,15,102.0
7,16,225.0
7,17,152.0
7,18,32.0
8,0,1235.0
8,1,23.0
8,2,279.0
8,3,312.0
8,4,294.0
8,5,148.0
8,6,417.0
8,7,175.0
8,8,0.0
8,9,713.0
8,10,380.0
8,11,643.0
8,12,469.0
8,13,390.0
8,14,2144.0
8,15,239.0
8,16,122.0
8,17,196.0
8,18,580.0
9,0,342.0
9,1,2521.0
9,2,322.0
9,3,3137.0
9,4,8941.0
9,5,1747.0
9,6,591.0
9,7,491.0
9,8,713.0
9,9,0.0
9,10,18108.0
9,11,12478.0
9,12,19260.0
9,13,563.0
9,14,13808.0
9,15,1102.0
9,16,3759.0
9,17,1250.0
9,18,2675.0
10,0,561.0
10,1,90.0
10,2,250.0
10,3,433.0
10,4,3406.0
10,5,182.0
10,6,264.0
10,7,202.0
10,8,380.0
10,9,18108.0
10,10,0.0
10,11,1944.0
10,12,1470.0
10,13,743.0
10,14,790.0
10,15,557.0
10,16,254.0
10,17,410.0
10,18,683.0
11,0,435.0
11,1,476.0
11,2,398.0
11,3,1651.0
11,4,2038.0
11,5,243.0
11,6,78.0
11,7,514.0
11,8,643.0
11,9,12478.0
11,10,1944.0
11,11,0.0
11,12,3328.0
11,13,168.0
11,14,2665.0
11,15,475.0
11,16,846.0
11,17,254.0
11,18,675.0
12,0,863.0
12,1,3772.0
12,2,785.0
12,3,1433.0
12,4,8370.0
12,5,470.0
12,6,1482.0
12,7,601.0
12,8,469.0
12,9,19260.0
12,10,1470.0
12,11,3328.0
12,12,0.0
12,13,326.0
12,14,7479.0
12,15,169.0
12,16,4963.0
12,17,3951.0
12,18,548.0
13,0,2408.0
13,1,96.0
13,2,754.0
13,3,406.0
13,4,305.0
13,5,368.0
13,6,358.0
13,7,947.0
13,8,390.0
13,9,563.0
13,10,743.0
13,11,168.0
13,12,326.0
13,13,0.0
