source,target,weight
0,4,610
0,10,561
0,2,981
0,6,608
0,17,466
0,18,935
0,5,970
0,7,1977
0,8,1235
0,3,1105
0,14,12377
0,9,342
0,11,435
0,12,863
0,13,2408
0,1,183
0,16,496
0,15,1334
1,4,95
1,2,92
1,6,27
1,15,101
1,17,149
1,5,29
1,7,35
1,8,23
1,10,90
1,3,860
1,18,21
1,9,2521
1,11,476
1,12,3772
1,16,141
1,13,96
1,14,294
2,4,334
2,10,250
2,15,494
2,8,279
2,6,2685
2,18,653
2,5,206
2,3,705
2,9,322
2,14,1007
2,13,754
2,17,627
2,11,398
2,12,785
2,7,200
2,16,206
3,4,455
3,17,180
3,18,105
3,8,312
3,6,235
3,5,240
3,7,253
3,10,433
3,11,1651
3,12,1433
3,15,290
3,16,470
3,9,3137
3,14,9925
3,13,406
4,12,8370
4,11,2038
4,5,884
4,9,8941
4,8,294
4,10,3406
4,18,878
4,13,305
4,14,335
4,7,188
4,17,471
4,16,888
4,15,1598
4,6,101
5,10,182
5,17,157
5,6,90
5,12,470
5,14,665
5,18,588
5,16,437
5,8,148
5,15,274
5,7,123
5,11,243
5,9,1747
5,13,368
6,10,264
6,15,536
6,8,417
6,12,1482
6,17,1607
6,18,1693
6,14,3547
6,13,358
6,11,78
6,7,322
6,16,187
6,9,591
7,10,202
7,18,32
7,17,152
7,14,7398
7,11,514
7,8,175
7,13,947
7,12,601
7,15,102
7,9,491
7,16,225
8,10,380
8,15,239
8,18,580
8,12,469
8,17,196
8,11,643
8,14,2144
8,9,713
8,16,122
8,13,390
9,10,18108
9,17,1250
9,18,2675
9,11,12478
9,12,19260
9,14,13808
9,15,1102
9,13,563
9,16,3759
10,15,557
10,18,683
10,17,410
10,12,1470
10,13,743
10,14,790
10,16,254
10,11,1944
11,18,675
11,17,254
11,12,3328
11,14,2665
11,15,475
11,13,168
11,16,846
12,17,3951
12,14,7479
12,18,548
12,15,169
12,16,4963
12,13,326
13,17,191
13,14,11407
13,18,192
13,16,388
13,15,308
14,18,140
14,17,2248
14,16,12080
14,15,198
15,17,1172
15,18,667
15,16,754
16,17,787
16,18,497
17,18,421
