source,target,type
1098,1100,outandin
1098,1105,outandin
1098,1108,incoming
1098,1109,
1098,1114,outgoing
1098,1115,
1098,1144,
1098,1148,
1098,1149,outandin
1098,1157,
1098,1159,
1098,1164,
1098,1168,outgoing
1098,1179,
1098,1181,
1098,1191,outgoing
1098,1193,
1098,1196,outgoing
1098,1202,outandin
1098,1205,incoming
1098,1207,
1098,1209,
1098,1210,
1098,1221,incoming
1098,1245,outgoing
1098,1260,incoming
1098,1295,
1098,1320,outgoing
1098,1327,
1098,1365,outgoing
1098,1374,outgoing
1098,1393,outgoing
1098,1395,outandin
1098,1658,incoming
1100,1108,
1100,1115,outandin
1100,1144,incoming
1100,1157,incoming
1100,1159,outgoing
1100,1164,
1100,1193,outandin
1100,1207,outgoing
1100,1210,outgoing
1100,1245,outandin
1100,1295,incoming
1100,1362,outandin
1100,1365,outandin
1100,1383,outgoing
1100,1385,outandin
1100,1391,outgoing
1100,1395,outgoing
1100,1658,incoming
1100,1702,outandin
1105,1109,outgoing
1105,1114,outgoing
1105,1144,outandin
1105,1149,outandin
1105,1159,outandin
1105,1164,outgoing
1105,1179,outgoing
1105,1191,outandin
1105,1196,outandin
1105,1202,outandin
1105,1205,outandin
1105,1207,outandin
1105,1210,outandin
1105,1221,outandin
1105,1245,outandin
1105,1295,outgoing
1105,1307,outandin
1105,1320,outandin
1105,1362,outandin
1105,1378,outandin
1105,1383,outandin
1105,1393,outandin
1108,1115,
1108,1144,
1108,1157,
1108,1159,outgoing
1108,1164,
1108,1193,incoming
1108,1207,outgoing
1108,1245,outgoing
1108,1295,outgoing
1108,1352,
1108,1362,incoming
1108,1363,outgoing
1108,1365,outgoing
1108,1383,outgoing
1108,1385,outandin
1108,1393,outandin
1108,1395,outgoing
1108,1658,outandin
1108,1702,outandin
1109,1114,outgoing
1109,1115,
1109,1149,outgoing
1109,1164,
1109,1168,incoming
1109,1179,incoming
1109,1202,outandin
1109,1207,
1109,1210,
1109,1295,
1109,1365,
1114,1115,outgoing
1114,1148,outandin
1114,1149,outandin
1114,1164,outgoing
1114,1179,outgoing
1114,1196,outandin
1114,1202,outandin
1114,1205,outandin
1114,1207,outgoing
1114,1210,outgoing
1114,1245,outgoing
1114,1295,outgoing
1114,1323,outgoing
1115,1130,incoming
1115,1144,
1115,1148,incoming
1115,1149,outandin
1115,1157,
1115,1159,incoming
1115,1164,
1115,1181,
1115,1193,incoming
1115,1207,
1115,1209,outandin
1115,1210,
1115,1221,incoming
1115,1245,outgoing
1115,1260,outgoing
1115,1295,
1115,1307,incoming
1115,1320,outgoing
1115,1327,outgoing
1115,1352,outandin
1115,1363,outgoing
1115,1365,
1115,1374,outgoing
1115,1378,
1115,1385,incoming
1115,1391,
1115,1393,outgoing
1115,1395,outgoing
1115,1658,incoming
1115,1660,outandin
1115,1702,outandin
1144,1130,incoming
1144,1148,
1144,1149,outandin
1144,1157,
1144,1159,
1144,1164,
1144,1168,
1144,1179,
1144,1181,outgoing
1144,1191,outgoing
1144,1193,incoming
1144,1205,incoming
1144,1207,outgoing
1144,1209,incoming
1144,1210,
1144,1221,incoming
1144,1245,outgoing
1144,1260,
1144,1295,
1144,1365,
1144,1374,outandin
1144,1393,outgoing
1144,1395,outandin
1144,1658,incoming
1144,1660,incoming
1144,1702,incoming
1144,1769,incoming
1148,1149,outandin
1148,1157,
1148,1159,
1148,1164,outgoing
1148,1179,outandin
1148,1191,outgoing
1148,1210,
1148,1221,incoming
1148,1245,outandin
1148,1260,
1148,1295,outandin
1148,1365,outandin
1148,1385,outandin
1148,1395,outgoing
1148,1660,outandin
1148,1702,outandin
1149,1159,outandin
1149,1164,outandin
1149,1168,outandin
1149,1179,outandin
1149,1181,outandin
1149,1196,outandin
1149,1202,outandin
1149,1205,outandin
1149,1207,outandin
1149,1210,outandin
1149,1221,outandin
1149,1245,outandin
1149,1295,outandin
1149,1307,outandin
1149,1327,outandin
1149,1352,outandin
1149,1362,outandin
1149,1363,outandin
1149,1365,outandin
1149,1374,outandin
