source,target,type
1098,1109,outandin
1098,1115,
1098,1144,
1098,1157,
1098,1159,outgoing
1098,1164,
1098,1179,outandin
1098,1193,
1098,1205,incoming
1098,1207,outgoing
1098,1210,
1098,1260,
1098,1295,
1098,1327,outgoing
1098,1658,
1098,1701,incoming
1109,1115,outandin
1109,1142,outandin
1109,1144,outandin
1109,1157,outandin
1109,1164,outandin
1109,1168,outandin
1109,1179,outandin
1109,1193,outandin
1109,1205,outandin
1109,1207,outandin
1109,1210,outandin
1109,1221,outandin
1109,1245,outandin
1109,1295,outandin
1109,1307,outandin
1109,1320,outandin
1109,1352,outandin
1109,1362,outandin
1109,1365,outandin
1109,1378,outandin
1109,1383,outandin
1109,1391,outandin
1109,1401,outandin
1109,1416,outandin
1109,1625,outandin
1109,1658,outandin
1109,1701,outandin
1109,1702,outandin
1115,1157,
1115,1159,
1115,1179,outandin
1115,1207,outgoing
1115,1210,
1115,1295,
1115,1383,incoming
1115,1658,
1144,1130,
1144,1142,outandin
1144,1148,
1144,1157,
1144,1159,
1144,1164,
1144,1168,outandin
1144,1179,outandin
1144,1193,
1144,1221,
1144,1260,
1144,1295,
1144,1363,outandin
1144,1660,outgoing
1144,1702,outgoing
1144,1769,outgoing
1157,1130,
1157,1142,outandin
1157,1148,
1157,1159,
1157,1164,
1157,1179,outandin
1157,1181,
1157,1193,
1157,1205,incoming
1157,1207,outandin
1157,1221,
1157,1260,
1157,1295,
1157,1352,
1157,1362,incoming
1157,1365,
1157,1378,incoming
1157,1383,
1157,1625,incoming
1157,1658,incoming
1157,1660,
1157,1702,
1159,1130,
1159,1142,outandin
1159,1148,
1159,1164,
1159,1179,outandin
1159,1205,outandin
1159,1221,incoming
1159,1260,
1159,1362,outandin
1159,1378,incoming
1159,1383,outandin
1159,1625,incoming
1159,1701,incoming
1159,1769,outandin
1164,1168,incoming
1164,1179,outandin
1164,1181,
1164,1193,
1164,1205,incoming
1164,1207,outgoing
1164,1221,
1164,1245,outgoing
1164,1260,
1164,1327,outandin
1164,1365,
1164,1374,outandin
1164,1378,outandin
1164,1395,outandin
1164,1401,outandin
1164,1625,incoming
1164,1658,
1164,1769,outandin
1179,1142,outandin
1179,1181,outandin
1179,1193,outandin
1179,1205,outandin
1179,1207,outgoing
1179,1210,outandin
1179,1295,outandin
1179,1320,outandin
1179,1327,outandin
1179,1352,outandin
1179,1365,outandin
1179,1378,outandin
1179,1385,outandin
1179,1391,outandin
1179,1401,outandin
1179,1625,outandin
1179,1658,outgoing
1179,1701,outandin
1179,1702,outandin
1179,1769,outandin
1193,1142,outandin
1193,1148,incoming
1193,1181,
1193,1205,incoming
1193,1207,outgoing
1193,1210,
1193,1221,outandin
1193,1260,
1193,1295,
1193,1327,outgoing
1193,1363,
1193,1365,
1193,1374,outgoing
1193,1401,incoming
1193,1625,incoming
1193,1658,
1193,1701,outandin
1205,1142,outandin
1205,1181,incoming
1205,1207,outandin
1205,1221,incoming
1205,1245,outandin
1205,1295,incoming
1205,1352,incoming
1205,1363,outandin
1205,1378,outandin
1205,1385,incoming
1205,1391,incoming
1205,1416,incoming
1205,1485,outandin
1205,1613,outandin
1205,1625,incoming
1207,1142,outandin
1207,1181,outgoing
1207,1210,outgoing
1207,1295,outgoing
1207,1658,outgoing
1210,1130,incoming
1210,1142,outandin
1210,1181,
1210,1295,
1210,1365,
1210,1658,
1260,1130,
1260,1148,
1260,1221,
1260,1385,outandin
1260,1401,outandin
1260,1660,outgoing
1295,1130,
1295,1181,
1295,1245,outgoing
1295,1307,
1295,1365,
1295,1378,
1295,1383,
1295,1391,outandin
1295,1658,
1295,1702,
1327,1181,outgoing
1327,1395,outandin
1658,1142,outandin
1658,1221,outandin
1701,1148,outandin
1701,1221,outandin
1701,1613,outandin
1142,1181,outandin
1142,1221,outandin
1142,1307,outandin
1142,1320,outandin
1142,1378,outandin
1142,1385,outandin
1142,1485,outandin
1142,1625,outandin
1142,1702,outandin
1168,1148,outandin
1168,1221,outandin
1168,1660,incoming
1221,1130,
1221,1148,
1221,1416,outandin
1221,1625,incoming
1221,1660,outgoing
1221,1702,outandin
1245,1181,outgoing
1245,1352,outgoing
1307,1485,incoming
1307,1613,incoming
1307,1625,incoming
1320,1625,outandin
1320,1769,outandin
1352,1181,
1352,1485,incoming
1352,1613,incoming
1362,1485,incoming
1362,1613,incoming
1362,1625,incoming
1365,1485,incoming
1365,1613,incoming
1365,1625,incoming
1365,1769,outandin
1378,1613,incoming
1378,1625,incoming
1383,1613,outandin
1383,1625,incoming
1391,1485,incoming
1391,1613,incoming
1401,1485,incoming
1401,1613,incoming
1401,1625,incoming
1416,1613,incoming
1625,1148,outandin
1625,1485,outandin
1625,1613,incoming
1625,1702,incoming
1702,1485,incoming
1702,1613,outandin
1130,1385,outandin
1130,1660,outgoing
1130,1769,
1385,1613,incoming
1485,1613,incoming
