,community,count
0,0,2
42,42,2
36,36,2
43,43,2
34,34,2
45,45,2
31,31,2
29,29,2
28,28,2
46,46,2
25,25,2
48,48,2
20,20,2
41,41,2
16,16,2
19,19,2
50,50,2
1,1,2
58,58,2
57,57,2
52,52,2
4,4,2
56,56,2
11,11,2
10,10,2
15,15,2
33,33,3
55,55,3
59,59,3
27,27,3
8,8,3
23,23,3
22,22,3
21,21,3
51,51,3
17,17,3
54,54,3
40,40,3
53,53,4
49,49,4
60,60,4
14,14,4
35,35,4
3,3,4
7,7,4
9,9,4
37,37,5
6,6,5
5,5,6
38,38,6
47,47,6
39,39,7
12,12,7
24,24,7
30,30,8
13,13,9
26,26,10
44,44,10
2,2,11
32,32,14
18,18,14
