,community,h_degree
0,0,1
1,1,1
2,2,2
3,3,3
4,4,1
5,5,5
6,6,4
7,7,2
8,8,1
9,9,2
10,10,1
11,11,1
12,12,2
13,13,1
14,14,3
15,15,1
16,16,1
17,17,2
18,18,2
19,19,1
20,20,1
21,21,2
22,22,2
23,23,2
24,24,1
25,25,1
26,26,1
27,27,2
28,28,1
29,29,1
30,30,2
31,31,1
32,32,2
33,33,2
34,34,1
35,35,1
36,36,1
37,37,4
38,38,5
39,39,1
40,40,2
41,41,1
42,42,1
43,43,1
44,44,3
45,45,1
46,46,1
47,47,2
48,48,1
49,49,3
50,50,1
51,51,2
52,52,1
53,53,3
54,54,2
55,55,2
56,56,1
57,57,1
58,58,1
59,59,2
60,60,3
