source,target,weight
0,0,0
0,1,20
0,2,8
0,3,20
0,4,19
0,5,12
0,6,15
0,7,15
0,8,14
0,9,10
0,10,0
1,0,20
1,1,0
1,2,18
1,3,13
1,4,15
1,5,19
1,6,10
1,7,13
1,8,17
1,9,19
1,10,0
2,0,8
2,1,18
2,2,0
2,3,13
2,4,14
2,5,11
2,6,13
2,7,11
2,8,11
2,9,13
2,10,0
3,0,20
3,1,13
3,2,13
3,3,0
3,4,13
3,5,13
3,6,11
3,7,16
3,8,10
3,9,12
3,10,0
4,0,19
4,1,15
4,2,14
4,3,13
4,4,0
4,5,12
4,6,8
4,7,20
4,8,12
4,9,18
4,10,0
5,0,12
5,1,19
5,2,11
5,3,13
5,4,12
5,5,0
5,6,6
5,7,21
5,8,12
5,9,11
5,10,0
6,0,15
6,1,10
6,2,13
6,3,11
6,4,8
6,5,6
6,6,0
6,7,18
6,8,12
6,9,12
6,10,0
7,0,15
7,1,13
7,2,11
7,3,16
7,4,20
7,5,21
7,6,18
7,7,0
7,8,11
7,9,11
7,10,0
8,0,14
8,1,17
8,2,11
8,3,10
8,4,12
8,5,12
8,6,12
8,7,11
8,8,0
8,9,9
8,10,0
9,0,10
9,1,19
9,2,13
9,3,12
9,4,18
9,5,11
9,6,12
9,7,11
9,8,9
9,9,0
9,10,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
