source,target,weight
0,0,0
0,1,12
0,2,7
0,3,20
0,4,15
0,5,15
0,6,19
0,7,10
0,8,12
0,9,9
0,10,8
1,0,12
1,1,0
1,2,12
1,3,14
1,4,16
1,5,7
1,6,28
1,7,14
1,8,14
1,9,23
1,10,11
2,0,7
2,1,12
2,2,0
2,3,3
2,4,3
2,5,4
2,6,11
2,7,9
2,8,13
2,9,10
2,10,3
3,0,20
3,1,14
3,2,3
3,3,0
3,4,9
3,5,3
3,6,13
3,7,14
3,8,24
3,9,12
3,10,22
4,0,15
4,1,16
4,2,3
4,3,9
4,4,0
4,5,7
4,6,12
4,7,11
4,8,11
4,9,5
4,10,6
5,0,15
5,1,7
5,2,4
5,3,3
5,4,7
5,5,0
5,6,8
5,7,6
5,8,7
5,9,6
5,10,9
6,0,19
6,1,28
6,2,11
6,3,13
6,4,12
6,5,8
6,6,0
6,7,15
6,8,21
6,9,23
6,10,10
7,0,10
7,1,14
7,2,9
7,3,14
7,4,11
7,5,6
7,6,15
7,7,0
7,8,12
7,9,14
7,10,12
8,0,12
8,1,14
8,2,13
8,3,24
8,4,11
8,5,7
8,6,21
8,7,12
8,8,0
8,9,19
8,10,13
9,0,9
9,1,23
9,2,10
9,3,12
9,4,5
9,5,6
9,6,23
9,7,14
9,8,19
9,9,0
9,10,18
10,0,8
10,1,11
10,2,3
10,3,22
10,4,6
10,5,9
10,6,10
10,7,12
10,8,13
10,9,18
10,10,0
