source,target,weight
0,0,0
0,1,19
0,2,10
0,3,14
0,4,20
0,5,16
0,6,21
0,7,10
0,8,12
0,9,18
0,10,0
1,0,19
1,1,0
1,2,11
1,3,24
1,4,16
1,5,19
1,6,10
1,7,7
1,8,13
1,9,12
1,10,0
2,0,10
2,1,11
2,2,0
2,3,22
2,4,17
2,5,15
2,6,14
2,7,17
2,8,10
2,9,10
2,10,0
3,0,14
3,1,24
3,2,22
3,3,0
3,4,21
3,5,17
3,6,10
3,7,6
3,8,10
3,9,9
3,10,0
4,0,20
4,1,16
4,2,17
4,3,21
4,4,0
4,5,20
4,6,16
4,7,15
4,8,15
4,9,15
4,10,0
5,0,16
5,1,19
5,2,15
5,3,17
5,4,20
5,5,0
5,6,12
5,7,11
5,8,12
5,9,9
5,10,0
6,0,21
6,1,10
6,2,14
6,3,10
6,4,16
6,5,12
6,6,0
6,7,12
6,8,13
6,9,19
6,10,0
7,0,10
7,1,7
7,2,17
7,3,6
7,4,15
7,5,11
7,6,12
7,7,0
7,8,12
7,9,11
7,10,0
8,0,12
8,1,13
8,2,10
8,3,10
8,4,15
8,5,12
8,6,13
8,7,12
8,8,0
8,9,15
8,10,0
9,0,18
9,1,12
9,2,10
9,3,9
9,4,15
9,5,9
9,6,19
9,7,11
9,8,15
9,9,0
9,10,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
