source,target,weight
0,0,0
0,1,15
0,2,3
0,3,11
0,4,17
0,5,9
0,6,16
0,7,20
0,8,23
0,9,12
0,10,12
1,0,15
1,1,0
1,2,6
1,3,18
1,4,19
1,5,14
1,6,9
1,7,18
1,8,8
1,9,18
1,10,12
2,0,3
2,1,6
2,2,0
2,3,5
2,4,6
2,5,1
2,6,6
2,7,3
2,8,5
2,9,4
2,10,5
3,0,11
3,1,18
3,2,5
3,3,0
3,4,13
3,5,8
3,6,3
3,7,14
3,8,13
3,9,13
3,10,11
4,0,17
4,1,19
4,2,6
4,3,13
4,4,0
4,5,6
4,6,16
4,7,6
4,8,13
4,9,11
4,10,13
5,0,9
5,1,14
5,2,1
5,3,8
5,4,6
5,5,0
5,6,6
5,7,6
5,8,3
5,9,6
5,10,6
6,0,16
6,1,9
6,2,6
6,3,3
6,4,16
6,5,6
6,6,0
6,7,12
6,8,11
6,9,15
6,10,14
7,0,20
7,1,18
7,2,3
7,3,14
7,4,6
7,5,6
7,6,12
7,7,0
7,8,18
7,9,16
7,10,13
8,0,23
8,1,8
8,2,5
8,3,13
8,4,13
8,5,3
8,6,11
8,7,18
8,8,0
8,9,15
8,10,21
9,0,12
9,1,18
9,2,4
9,3,13
9,4,11
9,5,6
9,6,15
9,7,16
9,8,15
9,9,0
9,10,14
10,0,12
10,1,12
10,2,5
10,3,11
10,4,13
10,5,6
10,6,14
10,7,13
10,8,21
10,9,14
10,10,0
