source,target,type
0,82,outandin
0,98,outandin
0,99,outandin
0,148,stable
0,194,outandin
0,307,outgoing
0,390,outandin
0,393,outandin
0,406,outandin
0,410,outandin
0,429,incoming
0,453,outandin
0,462,outgoing
0,523,outandin
82,40,outandin
82,98,outgoing
82,373,outandin
82,453,outandin
82,514,outandin
82,558,incoming
98,420,outandin
98,440,incoming
98,471,outandin
98,543,outandin
99,32,outandin
99,71,outandin
99,169,outgoing
99,224,outgoing
99,393,outandin
99,404,outandin
99,547,outandin
99,618,outandin
148,210,outandin
148,361,outandin
148,453,outandin
148,514,outandin
148,596,incoming
148,621,outandin
194,14,outandin
194,226,stable
194,287,outandin
194,291,outandin
194,310,outandin
194,359,outgoing
194,361,outandin
194,406,incoming
194,410,outgoing
194,453,outgoing
194,465,outgoing
194,558,outandin
194,573,incoming
194,596,outandin
307,243,outandin
307,267,outandin
307,334,outandin
307,361,outandin
307,373,outandin
307,655,outandin
390,9,outandin
390,89,incoming
390,116,outandin
390,247,outandin
390,309,outandin
390,396,outandin
390,443,outandin
390,449,outandin
390,480,outandin
390,582,outandin
390,604,outandin
393,210,outandin
393,310,incoming
393,327,incoming
393,361,outandin
393,406,outandin
393,440,outandin
393,453,outandin
393,471,outandin
393,485,outandin
393,500,outandin
393,547,outandin
393,573,outandin
393,658,outandin
406,14,outandin
406,319,outandin
406,373,outandin
406,547,outandin
406,645,outandin
410,78,outandin
410,197,outandin
410,324,outandin
410,420,outandin
410,523,outandin
410,625,outandin
410,643,outandin
429,169,outgoing
429,327,outgoing
429,374,incoming
429,453,outandin
429,492,outandin
429,500,outandin
429,573,outandin
429,625,outandin
453,334,outandin
453,349,outgoing
453,359,outandin
453,361,outandin
453,465,stable
453,512,outandin
453,543,outandin
453,547,outandin
453,558,outandin
462,134,outandin
462,249,outandin
462,327,outandin
462,359,incoming
462,440,outandin
462,500,outandin
462,514,outgoing
462,546,outandin
523,11,outandin
523,32,outandin
523,269,outandin
523,440,outandin
523,511,outandin
523,558,outgoing
523,618,outandin
1,137,outandin
1,184,outgoing
1,197,outandin
1,232,outandin
1,322,outandin
1,472,outandin
1,615,outandin
137,33,outandin
137,186,outandin
137,309,outandin
137,322,outandin
137,456,outandin
137,629,outandin
137,636,outandin
137,644,outandin
184,30,stable
184,103,outandin
184,232,outandin
184,260,outandin
184,345,outandin
184,365,outandin
184,606,outgoing
184,644,outandin
184,646,outandin
197,28,outandin
197,334,outandin
197,339,outandin
197,381,outandin
197,495,outandin
197,505,outandin
197,524,outandin
197,547,outandin
197,558,outandin
197,609,outandin
197,618,outandin
197,645,outandin
197,648,outandin
232,63,outandin
232,101,outandin
232,124,outandin
232,243,outandin
232,252,outandin
232,311,outandin
232,322,incoming
232,345,outandin
232,413,outandin
232,491,stable
232,553,outandin
232,585,outandin
232,636,outandin
232,644,outandin
322,136,outandin
322,156,outandin
322,162,outandin
322,260,outandin
322,304,outandin
322,428,outgoing
322,450,outgoing
322,606,outandin
322,636,outandin
322,654,outandin
322,658,incoming
472,33,stable
472,75,outandin
472,149,outandin
472,203,outandin
472,252,outandin
472,323,outandin
472,326,outandin
472,476,outandin
472,620,outandin
472,626,outandin
472,635,outandin
615,47,outandin
615,73,outandin
615,130,outandin
615,166,outandin
615,346,outandin
615,407,outandin
615,493,stable
615,538,outandin
615,544,outandin
615,617,stable
2,13,outandin
2,43,outandin
2,74,outandin
2,176,outandin
2,302,outandin
2,328,outandin
2,333,outgoing
2,369,incoming
2,423,outandin
2,482,outandin
2,536,outandin
2,545,outandin
2,599,outandin
13,33,outandin
13,96,outandin
13,154,incoming
13,250,outandin
13,302,incoming
13,436,outandin
13,478,outandin
13,512,outandin
13,518,outandin
13,601,incoming
43,31,outandin
43,52,outandin
43,90,outandin
43,167,outandin
43,240,outandin
43,478,outgoing
43,487,outandin
43,505,outandin
43,518,outandin
43,605,outandin
74,23,outandin
74,26,outandin
74,27,outandin
74,140,outandin
74,152,outandin
74,328,outandin
74,368,outandin
74,497,outandin
74,501,outandin
176,93,outandin
176,154,outandin
176,302,incoming
176,369,outandin
176,432,outandin
176,509,stable
176,518,outandin
176,552,outandin
176,605,outandin
176,652,outandin
302,90,outgoing
302,103,outandin
302,117,outandin
302,151,outandin
302,381,outandin
302,463,outandin
302,470,outandin
302,539,outandin
302,595,outandin
302,659,outandin
328,19,outgoing
328,105,stable
328,117,outandin
328,138,outandin
328,157,outandin
328,240,outandin
328,242,outandin
328,463,outandin
328,505,outandin
328,579,outandin
328,595,outandin
328,619,outandin
328,650,outandin
333,103,outandin
333,109,outandin
333,124,outandin
333,178,outandin
333,244,outandin
333,246,outandin
333,288,outandin
333,350,outandin
333,397,outandin
333,430,outandin
333,505,outandin
333,582,outandin
369,93,outgoing
369,154,outandin
369,246,outandin
369,423,outandin
369,445,outandin
369,509,outandin
369,552,outgoing
369,580,outandin
369,604,outandin
369,659,outandin
423,117,outandin
423,246,outandin
423,392,outandin
423,397,outandin
423,436,outandin
423,554,outandin
482,19,outandin
482,105,outandin
482,211,outandin
482,425,outandin
482,430,outandin
482,574,outandin
482,595,outgoing
482,602,outandin
482,650,outandin
536,19,outgoing
536,110,outandin
536,117,outandin
536,220,outandin
536,246,outandin
536,266,outgoing
536,279,outandin
536,381,outandin
536,397,outandin
536,430,outandin
536,436,outandin
536,463,outgoing
536,534,incoming
536,577,outandin
545,85,outandin
545,132,outandin
545,152,outandin
545,177,outandin
545,187,outandin
545,313,outandin
545,455,outandin
