source,target,weight
0,0,0
0,1,11
0,2,4
0,3,16
0,4,24
0,5,12
0,6,19
0,7,16
0,8,22
0,9,20
0,10,15
1,0,11
1,1,0
1,2,4
1,3,14
1,4,17
1,5,5
1,6,10
1,7,18
1,8,15
1,9,12
1,10,15
2,0,4
2,1,4
2,2,0
2,3,5
2,4,8
2,5,1
2,6,4
2,7,5
2,8,4
2,9,5
2,10,7
3,0,16
3,1,14
3,2,5
3,3,0
3,4,14
3,5,8
3,6,3
3,7,14
3,8,14
3,9,12
3,10,14
4,0,24
4,1,17
4,2,8
4,3,14
4,4,0
4,5,2
4,6,19
4,7,19
4,8,14
4,9,18
4,10,20
5,0,12
5,1,5
5,2,1
5,3,8
5,4,2
5,5,0
5,6,8
5,7,6
5,8,5
5,9,5
5,10,4
6,0,19
6,1,10
6,2,4
6,3,3
6,4,19
6,5,8
6,6,0
6,7,19
6,8,22
6,9,11
6,10,22
7,0,16
7,1,18
7,2,5
7,3,14
7,4,19
7,5,6
7,6,19
7,7,0
7,8,17
7,9,15
7,10,22
8,0,22
8,1,15
8,2,4
8,3,14
8,4,14
8,5,5
8,6,22
8,7,17
8,8,0
8,9,12
8,10,18
9,0,20
9,1,12
9,2,5
9,3,12
9,4,18
9,5,5
9,6,11
9,7,15
9,8,12
9,9,0
9,10,21
10,0,15
10,1,15
10,2,7
10,3,14
10,4,20
10,5,4
10,6,22
10,7,22
10,8,18
10,9,21
10,10,0
