source,target,type
1426,1429,
1426,1443,incoming
1426,1471,
1429,1471,incoming
1443,1475,
1443,1480,incoming
1443,1489,incoming
1471,1437,incoming
1471,1592,
1427,1465,
1427,1750,incoming
1750,1441,incoming
1431,1434,
1434,1592,outgoing
1435,1437,incoming
1435,1475,outandin
1435,1578,
1437,1480,outandin
1437,1489,
1437,1563,
1437,1824,
1475,1489,incoming
1475,1578,incoming
1480,1439,
1480,1489,incoming
1480,1585,outandin
1439,1486,
1439,1585,
1486,1585,
1452,1468,
1468,1477,
1468,1520,
1453,1458,incoming
1453,1501,
1453,1522,outandin
1458,1459,incoming
1458,1501,
1501,1516,incoming
1522,1459,
1522,1483,incoming
1522,1520,incoming
1522,1751,outandin
1459,1516,incoming
1516,1483,incoming
1516,1502,outandin
1516,1520,incoming
1516,1751,
1461,1751,
1520,1495,incoming
1500,1533,
1500,1539,incoming
1533,1524,outandin
1533,1532,
1533,1538,incoming
1503,1524,
1503,1528,
1503,1653,incoming
1503,1815,incoming
1524,1618,incoming
1653,1532,
1653,1815,outandin
1653,1837,
1815,1618,
1504,1519,
1504,1545,incoming
1504,1548,incoming
1504,1705,
1504,1837,
1545,1705,
1545,1837,
1548,1525,incoming
1548,1546,incoming
1548,1705,
1548,1797,incoming
1705,1797,incoming
1521,1802,incoming
1521,1831,outandin
1521,1910,incoming
1802,1803,outgoing
1802,1831,incoming
1802,1866,incoming
1831,1803,outandin
1831,1819,incoming
1831,1857,incoming
1831,1880,incoming
1831,1888,
1831,1895,incoming
1831,1910,incoming
1910,1632,incoming
1910,1819,incoming
1910,1835,incoming
1532,1538,
1532,1546,outandin
1551,1560,
1551,1572,
1551,1580,incoming
1560,1572,
1560,1579,incoming
1560,1580,
1560,1594,
1560,1731,
1560,1744,incoming
1572,1580,
1572,1685,outgoing
1580,1555,
1580,1685,
1580,1707,incoming
1555,1558,
1555,1579,
1558,1574,
1558,1579,incoming
1558,1685,
1579,1707,
1574,1707,
1685,1707,
1731,1727,
1731,1744,incoming
1744,1567,incoming
1744,1727,incoming
1562,1707,
1707,1567,
1567,1727,
1603,1922,
1922,1604,incoming
1922,1613,
1922,1913,
1604,1625,incoming
1604,1852,incoming
1604,1902,
1625,1628,
1625,1902,
1606,1649,
1606,1906,
1609,1917,
1613,1907,
1907,1628,incoming
1907,1913,incoming
1617,1641,
1617,1916,
1617,1919,
1641,1919,
1916,1911,incoming
1916,1919,incoming
1919,1913,
1630,1836,
1630,1847,incoming
1847,1857,
1847,1866,incoming
1632,1835,incoming
1835,1803,outandin
1643,1648,
1650,1706,
1650,1715,incoming
1650,1739,
1650,1851,
1650,1872,incoming
1706,1708,
1706,1715,incoming
1706,1739,incoming
1706,1743,incoming
1706,1851,
1706,1858,incoming
1706,1861,
1715,1851,outandin
1715,1861,outandin
1739,1743,incoming
1739,1851,incoming
1739,1872,
1872,1877,
1872,1890,
1872,1898,incoming
1661,1664,
1661,1682,
1664,1673,outandin
1664,1675,
1664,1684,incoming
1664,1688,
1664,1696,outgoing
1682,1675,outandin
1663,1665,
1663,1673,incoming
1663,1698,
1663,1745,
1665,1675,incoming
1665,1687,incoming
1665,1688,outandin
1665,1695,outandin
1665,1745,
1665,1779,incoming
1665,1920,
1673,1687,
1673,1695,
1698,1697,
1698,1745,
