source,target,weight
0,0,0
0,1,96
0,2,7
0,3,0
0,4,83
0,5,25
0,6,0
0,7,0
0,8,9
0,9,0
0,10,41
1,0,96
1,1,0
1,2,233
1,3,0
1,4,27
1,5,97
1,6,0
1,7,0
1,8,114
1,9,1
1,10,218
2,0,7
2,1,233
2,2,0
2,3,0
2,4,0
2,5,29
2,6,0
2,7,0
2,8,51
2,9,0
2,10,251
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,2
3,10,40
4,0,83
4,1,27
4,2,0
4,3,0
4,4,0
4,5,130
4,6,0
4,7,0
4,8,17
4,9,0
4,10,238
5,0,25
5,1,97
5,2,29
5,3,0
5,4,130
5,5,0
5,6,0
5,7,0
5,8,42
5,9,4
5,10,159
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
8,0,9
8,1,114
8,2,51
8,3,0
8,4,17
8,5,42
8,6,0
8,7,0
8,8,0
8,9,15
8,10,114
9,0,0
9,1,1
9,2,0
9,3,2
9,4,0
9,5,4
9,6,0
9,7,0
9,8,15
9,9,0
9,10,62
10,0,41
10,1,218
10,2,251
10,3,40
10,4,238
10,5,159
10,6,0
10,7,0
10,8,114
10,9,62
10,10,0
