source,target,weight
0,0,0
0,1,213
0,2,502
0,3,391
0,4,411
0,5,225
0,6,31
0,7,47
0,8,22
0,9,24
0,10,100
1,0,213
1,1,0
1,2,345
1,3,74
1,4,68
1,5,149
1,6,729
1,7,221
1,8,574
1,9,462
1,10,692
2,0,502
2,1,345
2,2,0
2,3,2046
2,4,528
2,5,572
2,6,65
2,7,7
2,8,67
2,9,14
2,10,699
3,0,391
3,1,74
3,2,2046
3,3,0
3,4,852
3,5,479
3,6,28
3,7,20
3,8,16
3,9,23
3,10,381
4,0,411
4,1,68
4,2,528
4,3,852
4,4,0
4,5,2171
4,6,23
4,7,12
4,8,46
4,9,17
4,10,402
5,0,225
5,1,149
5,2,572
5,3,479
5,4,2171
5,5,0
5,6,26
5,7,19
5,8,57
5,9,17
5,10,241
6,0,31
6,1,729
6,2,65
6,3,28
6,4,23
6,5,26
6,6,0
6,7,661
6,8,291
6,9,544
6,10,172
7,0,47
7,1,221
7,2,7
7,3,20
7,4,12
7,5,19
7,6,661
7,7,0
7,8,36
7,9,253
7,10,106
8,0,22
8,1,574
8,2,67
8,3,16
8,4,46
8,5,57
8,6,291
8,7,36
8,8,0
8,9,957
8,10,376
9,0,24
9,1,462
9,2,14
9,3,23
9,4,17
9,5,17
9,6,544
9,7,253
9,8,957
9,9,0
9,10,99
10,0,100
10,1,692
10,2,699
10,3,381
10,4,402
10,5,241
10,6,172
10,7,106
10,8,376
10,9,99
10,10,0
