source,target,weight
0,1,4
0,2,32
0,3,14
0,4,28
0,5,18
0,7,6
0,11,6
0,9,4
0,12,10
0,8,6
0,14,20
0,13,10
0,10,4
1,10,400
1,3,246
1,4,504
1,2,362
1,5,646
1,11,400
1,12,106
1,13,236
1,9,74
1,14,490
1,8,478
1,7,162
1,6,22
2,14,1024
2,8,984
2,3,540
2,12,326
2,4,1034
2,5,806
2,7,426
2,13,394
2,11,760
2,9,150
2,10,738
2,6,158
3,10,554
3,7,148
3,11,594
3,13,224
3,14,642
3,5,470
3,4,748
3,8,512
3,12,160
3,9,48
3,6,20
4,10,1014
4,8,1624
4,7,440
4,13,472
4,5,1650
4,9,186
4,14,1832
4,11,764
4,12,436
4,6,238
5,10,782
5,7,514
5,8,3406
5,14,1292
5,12,608
5,11,1502
5,13,602
5,9,462
5,6,164
7,10,306
7,13,190
7,8,712
7,11,300
7,9,68
7,12,124
7,14,272
7,6,80
11,10,588
11,13,272
11,8,1478
11,9,164
11,14,1134
11,12,230
11,6,62
9,10,148
9,8,502
9,13,56
9,12,38
9,14,146
9,6,2
10,12,214
10,8,1292
10,13,272
10,14,972
10,6,132
12,13,138
12,14,310
12,8,724
12,6,82
13,8,642
13,14,352
13,6,20
14,8,1490
14,6,156
8,6,212
