source,target,weight
0,0,0
0,1,40
0,2,120
0,3,0
0,4,60
0,5,74
0,6,42
0,7,84
0,8,20
0,9,110
0,10,58
0,11,126
0,12,16
0,13,32
0,14,18
0,15,12
0,16,36
0,17,28
0,18,14
0,19,14
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
1,0,40
1,1,0
1,2,98
1,3,0
1,4,22
1,5,26
1,6,56
1,7,56
1,8,10
1,9,66
1,10,62
1,11,30
1,12,28
1,13,34
1,14,6
1,15,22
1,16,34
1,17,40
1,18,14
1,19,2
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
2,0,120
2,1,98
2,2,0
2,3,0
2,4,168
2,5,102
2,6,120
2,7,122
2,8,58
2,9,114
2,10,72
2,11,226
2,12,26
2,13,84
2,14,26
2,15,52
2,16,110
2,17,100
2,18,12
2,19,32
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
4,0,60
4,1,22
4,2,168
4,3,0
4,4,0
4,5,18
4,6,40
4,7,80
4,8,10
4,9,78
4,10,46
4,11,112
4,12,22
4,13,64
4,14,10
4,15,48
4,16,46
4,17,48
4,18,14
4,19,22
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
5,0,74
5,1,26
5,2,102
5,3,0
5,4,18
5,5,0
5,6,74
5,7,48
5,8,44
5,9,114
5,10,36
5,11,84
5,12,48
5,13,26
5,14,10
5,15,32
5,16,32
5,17,46
5,18,4
5,19,2
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
6,0,42
6,1,56
6,2,120
6,3,0
6,4,40
6,5,74
6,6,0
6,7,8
6,8,32
6,9,160
6,10,60
6,11,68
6,12,68
6,13,12
6,14,30
6,15,32
6,16,38
6,17,18
6,18,18
6,19,24
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
7,0,84
7,1,56
7,2,122
7,3,0
7,4,80
7,5,48
7,6,8
7,7,0
7,8,14
7,9,158
7,10,78
7,11,128
7,12,32
7,13,84
7,14,8
7,15,26
7,16,78
7,17,100
7,18,30
7,19,26
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0
8,0,20
8,1,10
8,2,58
8,3,0
8,4,10
8,5,44
8,6,32
8,7,14
8,8,0
8,9,14
8,10,16
8,11,40
8,12,14
8,13,12
8,14,0
8,15,10
8,16,6
8,17,18
8,18,4
8,19,2
8,20,0
8,21,0
8,22,0
8,23,0
8,24,0
9,0,110
9,1,66
9,2,114
9,3,0
9,4,78
9,5,114
9,6,160
9,7,158
9,8,14
9,9,0
9,10,96
9,11,172
9,12,64
9,13,64
9,14,42
9,15,16
9,16,134
9,17,94
9,18,18
9,19,52
9,20,0
9,21,0
9,22,0
9,23,0
9,24,0
10,0,58
10,1,62
10,2,72
10,3,0
10,4,46
10,5,36
10,6,60
10,7,78
10,8,16
10,9,96
10,10,0
10,11,142
10,12,48
10,13,24
10,14,6
10,15,44
10,16,56
10,17,52
10,18,4
10,19,4
10,20,0
10,21,0
10,22,0
10,23,0
10,24,0
11,0,126
11,1,30
11,2,226
11,3,0
11,4,112
11,5,84
11,6,68
11,7,128
11,8,40
11,9,172
11,10,142
11,11,0
11,12,72
11,13,120
11,14,34
11,15,62
11,16,90
11,17,124
11,18,18
11,19,4
11,20,0
11,21,0
11,22,2
11,23,0
11,24,0
12,0,16
12,1,28
12,2,26
12,3,0
12,4,22
12,5,48
12,6,68
12,7,32
12,8,14
12,9,64
12,10,48
12,11,72
12,12,0
12,13,10
12,14,2
12,15,4
12,16,24
12,17,36
12,18,2
12,19,12
12,20,0
12,21,0
12,22,0
12,23,0
12,24,0
13,0,32
13,1,34
13,2,84
13,3,0
13,4,64
13,5,26
13,6,12
13,7,84
13,8,12
13,9,64
13,10,24
13,11,120
13,12,10
13,13,0
13,14,2
13,15,32
13,16,44
13,17,66
13,18,10
13,19,14
13,20,0
13,21,0
13,22,0
13,23,0
13,24,0
14,0,18
14,1,6
14,2,26
14,3,0
14,4,10
14,5,10
14,6,30
14,7,8
14,8,0
14,9,42
14,10,6
14,11,34
14,12,2
14,13,2
14,14,0
14,15,8
14,16,2
14,17,2
14,18,2
14,19,0
14,20,0
14,21,0
14,22,0
14,23,0
14,24,0
15,0,12
15,1,22
15,2,52
15,3,0
15,4,48
15,5,32
15,6,32
15,7,26
15,8,10
15,9,16
15,10,44
15,11,62
15,12,4
15,13,32
15,14,8
15,15,0
15,16,48
15,17,38
15,18,12
15,19,12
15,20,0
15,21,0
15,22,0
15,23,0
15,24,0
16,0,36
16,1,34
16,2,110
16,3,0
16,4,46
16,5,32
16,6,38
16,7,78
16,8,6
16,9,134
16,10,56
16,11,90
16,12,24
16,13,44
16,14,2
16,15,48
16,16,0
16,17,42
16,18,12
16,19,18
16,20,0
16,21,0
16,22,0
16,23,0
16,24,0
17,0,28
17,1,40
17,2,100
17,3,0
17,4,48
17,5,46
17,6,18
17,7,100
17,8,18
17,9,94
17,10,52
17,11,124
17,12,36
17,13,66
17,14,2
17,15,38
17,16,42
17,17,0
17,18,8
17,19,16
17,20,0
17,21,0
17,22,0
17,23,0
17,24,0
18,0,14
18,1,14
18,2,12
18,3,0
18,4,14
18,5,4
18,6,18
18,7,30
18,8,4
18,9,18
18,10,4
18,11,18
18,12,2
18,13,10
18,14,2
18,15,12
18,16,12
18,17,8
18,18,0
18,19,0
18,20,0
18,21,0
18,22,0
18,23,0
18,24,0
19,0,14
19,1,2
19,2,32
19,3,0
19,4,22
19,5,2
19,6,24
19,7,26
19,8,2
19,9,52
19,10,4
19,11,4
19,12,12
19,13,14
19,14,0
19,15,12
19,16,18
19,17,16
19,18,0
19,19,0
19,20,0
19,21,0
19,22,0
19,23,0
19,24,0
20,0,0
20,1,0
20,2,0
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,0
20,12,0
20,13,0
20,14,0
20,15,0
20,16,0
20,17,0
20,18,0
20,19,0
20,20,0
20,21,0
20,22,0
20,23,0
20,24,0
21,0,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
21,11,0
21,12,0
21,13,0
21,14,0
21,15,0
21,16,0
21,17,0
21,18,0
21,19,0
21,20,0
21,21,0
21,22,0
21,23,0
21,24,0
22,0,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
22,11,2
22,12,0
22,13,0
22,14,0
22,15,0
22,16,0
22,17,0
22,18,0
22,19,0
22,20,0
22,21,0
22,22,0
22,23,0
22,24,0
23,0,0
23,1,0
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,0
23,12,0
23,13,0
23,14,0
23,15,0
23,16,0
23,17,0
23,18,0
23,19,0
23,20,0
23,21,0
23,22,0
23,23,0
23,24,0
24,0,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,0
24,17,0
24,18,0
24,19,0
24,20,0
24,21,0
24,22,0
24,23,0
24,24,0
