source,target,type
1,3,
1,36,
1,42,outgoing
1,44,
1,135,outgoing
1,161,outandin
1,281,outandin
1,312,
1,856,outgoing
1,1626,incoming
3,2,incoming
3,26,outandin
3,27,outandin
3,32,
3,36,
3,41,outandin
3,42,outgoing
3,44,incoming
3,60,outandin
3,62,outandin
3,67,outandin
3,68,outgoing
3,72,outgoing
3,105,outandin
3,135,outandin
3,144,outandin
3,155,outgoing
3,172,outandin
3,173,outandin
3,176,outgoing
3,199,outandin
3,224,outandin
3,234,incoming
3,242,outandin
3,243,outandin
3,249,outandin
3,252,outandin
3,288,outandin
3,302,outandin
3,308,outgoing
3,312,incoming
3,374,outandin
3,394,outandin
3,408,outandin
3,475,outandin
3,477,outgoing
3,482,outgoing
3,498,outgoing
3,504,outandin
3,509,outandin
3,545,outandin
3,569,outandin
3,611,outandin
3,640,outandin
3,641,outandin
3,645,outandin
3,652,outandin
3,681,outandin
3,687,
3,697,outandin
3,700,outandin
3,711,outandin
3,731,outandin
3,740,outandin
3,752,outandin
3,754,incoming
3,778,outandin
3,781,outandin
3,782,outandin
3,790,outandin
3,794,outandin
3,800,outandin
3,810,outandin
3,823,outandin
3,824,outandin
3,840,outandin
3,846,outandin
3,865,outandin
3,881,outandin
3,933,outandin
3,970,outandin
3,1103,outandin
3,1110,outgoing
3,1117,outandin
3,1127,outandin
3,1154,outandin
3,1167,outandin
3,1183,outandin
3,1185,outandin
3,1189,outandin
3,1190,outandin
3,1208,outandin
3,1231,outandin
3,1237,outandin
3,1270,outandin
3,1281,outandin
3,1285,outandin
3,1288,outandin
3,1315,outandin
3,1317,outandin
3,1335,outandin
3,1340,outandin
3,1344,outandin
3,1349,outandin
3,1352,outandin
3,1371,outandin
3,1373,outandin
3,1412,outandin
3,1415,outandin
3,1440,outandin
3,1501,outandin
3,1510,outandin
3,1565,outandin
3,1577,outandin
3,1578,outandin
3,1609,outandin
3,1620,outandin
3,1662,outandin
3,1711,outandin
3,1713,incoming
3,1728,outandin
3,1738,outandin
3,1751,outandin
36,93,outgoing
36,189,outgoing
36,211,outgoing
36,1539,outandin
36,1713,outandin
42,72,
42,135,outgoing
42,249,outandin
42,257,outgoing
42,344,incoming
42,443,incoming
42,474,outgoing
42,919,outgoing
42,950,outgoing
42,964,outgoing
42,995,outgoing
42,1031,outgoing
42,1161,outandin
42,1255,
42,1313,outandin
42,1355,outgoing
42,1365,outandin
42,1415,outgoing
42,1440,
42,1487,outandin
42,1507,outgoing
42,1509,outgoing
42,1521,outandin
42,1561,outandin
42,1579,outandin
42,1582,outandin
42,1597,outandin
42,1621,outandin
42,1622,outandin
42,1689,outandin
42,1690,outandin
42,1691,outandin
42,1744,outandin
44,103,outandin
44,189,
44,211,outgoing
44,249,
44,430,outandin
44,525,outandin
44,1598,outandin
44,1713,outandin
135,257,outandin
135,357,outandin
135,1113,outandin
135,1356,outgoing
135,1486,outgoing
135,1713,outandin
161,162,outgoing
161,1487,outandin
161,1673,incoming
281,252,outandin
281,254,outgoing
281,317,outgoing
281,332,outgoing
281,708,outandin
281,1281,outandin
281,1312,outandin
281,1343,outandin
281,1580,outandin
281,1624,outandin
281,1648,outandin
312,32,outandin
312,132,incoming
312,194,outgoing
312,644,outandin
312,851,outandin
312,1728,outandin
856,1176,outgoing
856,1540,outandin
1626,1624,incoming
27,234,outandin
27,430,outandin
27,620,
27,652,
27,995,outandin
27,1009,incoming
27,1031,outandin
27,1079,outandin
27,1158,outandin
27,1285,incoming
27,1332,outandin
27,1598,outandin
27,1713,outandin
32,8,
32,9,
32,12,
32,67,
32,72,outandin
32,219,outandin
32,249,outandin
32,311,outandin
32,378,outgoing
32,393,outgoing
32,430,outgoing
32,443,incoming
32,474,outgoing
32,518,outandin
32,525,outandin
32,547,outandin
32,697,outandin
32,815,outandin
32,1021,outandin
32,1042,
32,1053,outandin
32,1072,outandin
32,1081,outgoing
32,1132,outgoing
32,1196,outgoing
32,1231,outgoing
32,1312,outandin
32,1338,outgoing
32,1488,outandin
32,1546,
32,1573,outandin
32,1577,outandin
32,1580,outandin
32,1598,outandin
32,1642,outandin
32,1645,outandin
32,1647,outandin
32,1655,outandin
32,1657,outandin
32,1665,outandin
32,1675,incoming
32,1682,outandin
32,1683,outandin
32,1689,outandin
32,1692,outandin
32,1710,outandin
32,1731,incoming
41,176,
41,439,outandin
41,523,outgoing
41,541,outandin
41,610,outgoing
41,616,outandin
41,713,outgoing
41,919,outgoing
41,1029,outandin
41,1136,outgoing
41,1142,outandin
41,1253,outandin
41,1339,outandin
41,1423,outandin
41,1463,outandin
41,1485,outandin
41,1497,outandin
41,1554,outgoing
41,1580,outandin
41,1585,outandin
41,1589,outandin
41,1652,outandin
41,1665,outandin
41,1681,outandin
41,1745,outandin
60,308,outgoing
60,1130,outandin
62,1190,outgoing
67,12,incoming
67,69,outgoing
67,97,outgoing
67,249,outandin
67,277,outandin
67,318,outandin
67,366,outandin
67,430,outgoing
67,495,outandin
67,523,outgoing
67,679,outgoing
67,697,
67,713,outgoing
67,788,outandin
67,822,outandin
67,1042,
67,1072,outgoing
67,1217,outandin
67,1231,outgoing
67,1255,outgoing
67,1313,outandin
67,1338,outgoing
67,1387,outandin
67,1426,outandin
67,1546,outandin
67,1565,incoming
67,1573,outandin
67,1603,outandin
67,1637,outandin
67,1644,outandin
67,1657,outandin
67,1665,outandin
67,1675,incoming
67,1748,outandin
68,323,outgoing
72,103,outgoing
72,392,outgoing
72,430,incoming
72,679,outgoing
72,768,outgoing
72,1316,outandin
72,1713,outandin
105,585,outandin
105,1281,outandin
105,1387,outandin
105,1444,outgoing
105,1573,outandin
105,1648,outandin
105,1727,outandin
144,9,outgoing
144,12,incoming
144,142,
144,193,outgoing
144,249,outandin
144,430,incoming
144,1500,outandin
144,1527,outgoing
144,1556,outandin
144,1557,outandin
144,1657,outandin
144,1667,outandin
144,1758,incoming
144,1761,outandin
155,525,outgoing
155,1196,outgoing
155,1489,outandin
155,1580,outandin
155,1598,outandin
172,495,outgoing
172,639,outandin
172,840,outgoing
172,969,outandin
172,1603,outandin
172,1647,outandin
173,1543,outandin
176,101,outgoing
176,475,outgoing
176,523,outgoing
176,898,outandin
176,969,outandin
176,1285,outandin
176,1436,outandin
176,1493,outandin
176,1565,outandin
176,1585,outandin
176,1603,outandin
176,1665,outandin
176,1745,outandin
176,1747,outandin
199,63,outgoing
199,544,outandin
199,799,outandin
199,1060,outgoing
199,1255,outandin
199,1346,outandin
199,1413,outandin
199,1582,outandin
199,1624,outandin
199,1717,outandin
199,1739,outandin
224,175,outgoing
224,1624,incoming
234,53,outandin
234,220,outandin
234,309,outandin
234,708,outandin
234,815,outandin
234,969,outandin
234,1136,outandin
234,1231,outandin
234,1244,outandin
234,1248,outgoing
234,1255,outandin
234,1312,outandin
234,1412,outandin
234,1616,outandin
234,1624,outandin
242,429,
242,474,outandin
242,783,outandin
242,787,outandin
242,823,
242,1178,outgoing
242,1292,outandin
242,1313,outandin
242,1647,outandin
249,52,outandin
249,61,outandin
249,63,outgoing
249,85,outandin
249,96,outandin
249,97,outandin
249,152,outandin
249,175,outandin
249,194,outandin
249,212,outandin
249,282,outgoing
249,299,outandin
249,302,outgoing
249,318,outgoing
249,378,outandin
249,389,outandin
249,393,outandin
