node,centrality,community,density,name,type,betwness,closeness,eign,volatility
2,1,0,0.044326241134751775,User_2,outgoing,0.0,0.2169337894389553,2.6424853287362044e-06,0
26,1,0,0.044326241134751775,User_26,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
41,1,0,0.044326241134751775,User_41,outgoing,0.0,0.2169337894389553,2.6424853287362044e-06,0
83,1,0,0.044326241134751775,User_83,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
176,1,0,0.044326241134751775,User_176,outgoing,0.0,0.2169337894389553,1.3212426643681022e-06,0
242,1,0,0.044326241134751775,User_242,outgoing,0.0,0.2169337894389553,1.3212426643681022e-06,0
249,1,0,0.044326241134751775,User_249,outgoing,0.0,0.2169337894389553,5.284970657472409e-06,0
283,1,0,0.044326241134751775,User_283,outgoing,0.0,0.2169337894389553,1.3212426643681022e-06,0
285,1,0,0.044326241134751775,User_285,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
333,1,0,0.044326241134751775,User_333,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
338,1,0,0.044326241134751775,User_338,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
482,1,0,0.044326241134751775,User_482,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
545,1,0,0.044326241134751775,User_545,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
610,1,0,0.044326241134751775,User_610,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
640,1,0,0.044326241134751775,User_640,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
740,1,0,0.044326241134751775,User_740,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
741,1,0,0.044326241134751775,User_741,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
752,1,0,0.044326241134751775,User_752,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
800,1,0,0.044326241134751775,User_800,outandin,0.0,0.2169337894389553,3.963727993104307e-06,2
824,1,0,0.044326241134751775,User_824,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
893,1,0,0.044326241134751775,User_893,outgoing,0.0,0.2169337894389553,1.3212426643681022e-06,0
1180,1,0,0.044326241134751775,User_1180,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
1187,1,0,0.044326241134751775,User_1187,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
1189,1,0,0.044326241134751775,User_1189,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
1196,1,0,0.044326241134751775,User_1196,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
1262,1,0,0.044326241134751775,User_1262,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
1419,1,0,0.044326241134751775,User_1419,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
1463,1,0,0.044326241134751775,User_1463,outandin,0.0,0.2169337894389553,1.3212426643681022e-06,2
19,1,0,0.044326241134751775,User_19,outgoing,0.0,0.1484283822477063,6.564659195195337e-11,0
1038,1,0,0.044326241134751775,User_1038,outandin,0.0,0.1811973535941805,5.598114536559753e-08,2
415,1,0,0.044326241134751775,User_415,outgoing,0.0,0.1901056877546648,2.653103665045433e-07,0
540,1,0,0.044326241134751775,User_540,outandin,0.0,0.1761759144856523,1.6129802887054125e-08,2
146,2,0,0.044326241134751775,User_146,outandin,0.0,0.2295462190574992,1.4122757797748886e-05,2
312,2,0,0.044326241134751775,User_312,outgoing,0.0,0.2356020866456996,0.0005319735968903,0
281,2,0,0.044326241134751775,User_281,outandin,0.0,0.2759959690507386,0.0085633999444562,2
372,2,0,0.044326241134751775,User_372,outgoing,0.0069575803120837,0.2289856666300084,5.841976940913897e-06,0
582,2,0,0.044326241134751775,User_582,outgoing,0.0085749722008382,0.2174368243130167,1.3212645465654196e-06,0
615,2,0,0.044326241134751775,User_615,outgoing,0.0042981780857069,0.2171850155992784,1.3214396008823288e-06,0
1882,2,0,0.044326241134751775,User_1882,outandin,0.0042981780857069,0.1765075397364488,5.376690008443317e-09,1
479,2,0,0.044326241134751775,User_479,outgoing,0.0003059689789866,0.2100103706270738,2.870930825158176e-06,2
