source,target,weight
0,11,194
0,2,169
0,10,171
0,4,126
0,5,251
0,6,58
0,3,263
1,2,137
2,3,265
2,6,106
2,11,232
2,10,80
2,4,136
2,8,84
2,5,190
0,7,98
5,11,314
4,11,220
7,11,95
10,14,28
3,10,376
8,10,94
1,10,109
6,10,119
5,10,164
4,10,247
7,10,204
10,12,131
10,11,130
4,5,264
3,4,358
4,14,53
1,4,147
1,5,95
3,5,204
5,12,274
5,14,42
5,6,211
5,8,151
5,7,134
1,6,99
6,8,109
6,11,162
6,7,72
6,12,142
4,6,141
3,6,137
0,12,172
3,11,250
11,12,284
1,11,173
11,14,45
8,11,116
0,8,46
2,12,237
2,7,78
2,14,44
0,1,101
7,8,71
3,7,320
4,7,146
7,12,124
3,8,165
8,12,95
4,8,110
3,12,266
1,3,258
3,14,42
4,12,206
1,12,83
1,8,71
1,14,17
7,14,13
12,14,27
6,14,15
1,7,94
0,14,13
8,14,11
