source,target,weight
0,0,0
0,1,64
0,2,83
0,3,74
0,4,24
0,5,87
0,6,0
0,7,0
0,8,0
0,9,31
0,10,14
0,11,9
0,12,76
0,13,25
0,14,0
0,15,21
0,16,86
0,17,16
0,18,14
0,19,19
0,20,0
0,21,0
1,0,64
1,1,0
1,2,39
1,3,60
1,4,34
1,5,33
1,6,0
1,7,0
1,8,0
1,9,32
1,10,5
1,11,5
1,12,35
1,13,3
1,14,0
1,15,3
1,16,40
1,17,13
1,18,7
1,19,15
1,20,0
1,21,0
2,0,83
2,1,39
2,2,0
2,3,77
2,4,19
2,5,53
2,6,0
2,7,0
2,8,0
2,9,33
2,10,8
2,11,31
2,12,44
2,13,25
2,14,0
2,15,17
2,16,47
2,17,34
2,18,21
2,19,53
2,20,0
2,21,0
3,0,74
3,1,60
3,2,77
3,3,0
3,4,19
3,5,65
3,6,0
3,7,0
3,8,0
3,9,60
3,10,10
3,11,24
3,12,48
3,13,22
3,14,0
3,15,8
3,16,59
3,17,40
3,18,10
3,19,38
3,20,0
3,21,0
4,0,24
4,1,34
4,2,19
4,3,19
4,4,0
4,5,26
4,6,0
4,7,0
4,8,0
4,9,30
4,10,2
4,11,6
4,12,12
4,13,13
4,14,0
4,15,9
4,16,37
4,17,3
4,18,0
4,19,9
4,20,0
4,21,0
5,0,87
5,1,33
5,2,53
5,3,65
5,4,26
5,5,0
5,6,0
5,7,0
5,8,0
5,9,21
5,10,5
5,11,39
5,12,52
5,13,26
5,14,0
5,15,31
5,16,45
5,17,28
5,18,3
5,19,46
5,20,0
5,21,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,0
6,18,0
6,19,0
6,20,0
6,21,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,0
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
8,21,0
9,0,31
9,1,32
9,2,33
9,3,60
9,4,30
9,5,21
9,6,0
9,7,0
9,8,0
9,9,0
9,10,13
9,11,10
9,12,31
9,13,10
9,14,0
9,15,13
9,16,37
9,17,20
9,18,9
9,19,38
9,20,0
9,21,0
10,0,14
10,1,5
10,2,8
10,3,10
10,4,2
10,5,5
10,6,0
10,7,0
10,8,0
10,9,13
10,10,0
10,11,0
10,12,10
10,13,0
10,14,0
10,15,0
10,16,12
10,17,5
10,18,0
10,19,5
10,20,0
10,21,0
11,0,9
11,1,5
11,2,31
11,3,24
11,4,6
11,5,39
11,6,0
11,7,0
11,8,0
11,9,10
11,10,0
11,11,0
11,12,10
11,13,6
11,14,0
11,15,9
11,16,15
11,17,5
11,18,8
11,19,16
11,20,0
11,21,0
12,0,76
12,1,35
12,2,44
12,3,48
12,4,12
12,5,52
12,6,0
12,7,0
12,8,0
12,9,31
12,10,10
12,11,10
12,12,0
12,13,12
12,14,0
12,15,12
12,16,57
12,17,19
12,18,21
12,19,21
12,20,0
12,21,0
13,0,25
13,1,3
13,2,25
13,3,22
13,4,13
13,5,26
13,6,0
13,7,0
13,8,0
13,9,10
13,10,0
13,11,6
13,12,12
13,13,0
13,14,0
13,15,7
13,16,12
13,17,15
13,18,0
13,19,19
13,20,0
13,21,0
14,0,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
14,14,0
14,15,0
14,16,0
14,17,0
14,18,0
14,19,0
14,20,0
14,21,0
15,0,21
15,1,3
15,2,17
15,3,8
15,4,9
15,5,31
15,6,0
15,7,0
15,8,0
15,9,13
15,10,0
15,11,9
15,12,12
15,13,7
15,14,0
15,15,0
15,16,14
15,17,11
15,18,10
15,19,5
15,20,0
15,21,0
16,0,86
16,1,40
16,2,47
16,3,59
16,4,37
16,5,45
16,6,0
16,7,0
16,8,0
16,9,37
16,10,12
16,11,15
16,12,57
16,13,12
16,14,0
16,15,14
16,16,0
16,17,25
16,18,1
16,19,23
16,20,0
16,21,0
17,0,16
17,1,13
17,2,34
17,3,40
17,4,3
17,5,28
17,6,0
17,7,0
17,8,0
17,9,20
17,10,5
17,11,5
17,12,19
17,13,15
17,14,0
17,15,11
17,16,25
17,17,0
17,18,8
17,19,33
17,20,0
17,21,0
18,0,14
18,1,7
18,2,21
18,3,10
18,4,0
18,5,3
18,6,0
18,7,0
18,8,0
18,9,9
18,10,0
18,11,8
18,12,21
18,13,0
18,14,0
18,15,10
18,16,1
18,17,8
18,18,0
18,19,17
18,20,0
18,21,0
19,0,19
19,1,15
19,2,53
19,3,38
19,4,9
19,5,46
19,6,0
19,7,0
19,8,0
19,9,38
19,10,5
19,11,16
19,12,21
19,13,19
19,14,0
19,15,5
19,16,23
19,17,33
19,18,17
19,19,0
19,20,0
19,21,0
20,0,0
20,1,0
20,2,0
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,0
20,12,0
20,13,0
20,14,0
20,15,0
20,16,0
20,17,0
20,18,0
20,19,0
20,20,0
20,21,0
21,0,0
21,1,0
21,2,0
21,3,0
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,0
21,11,0
21,12,0
21,13,0
21,14,0
21,15,0
21,16,0
21,17,0
21,18,0
21,19,0
21,20,0
21,21,0
