community,density
0,1.0
1,0.03798076923076923
2,0.046464646464646465
3,1.0
4,0.047058823529411764
5,0.03443169196593854
6,1.0
7,0.03949579831932773
8,0.03500522466039707
9,0.02967121090617482
10,0.05807200929152149
11,0.24444444444444444
12,0.04324956165984804
13,0.055051421657592255
14,0.04511784511784512
15,0.09788359788359788
16,0.07126436781609195
17,0.6666666666666666
18,1.0
19,0.3333333333333333
20,0.046365914786967416
21,1.0
22,1.0
23,0.07130124777183601
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
