source,target,weight
0,1,5
0,28,12
1,8,6
1,5,5
1,23,9
1,16,2
1,12,4
2,28,1
23,28,15
3,28,14
24,28,7
25,28,4
20,28,1
17,28,3
11,28,3
12,28,18
22,28,13
19,28,5
15,28,6
26,28,6
28,32,4
14,28,7
8,28,9
5,28,4
0,13,5
0,25,4
0,12,4
8,14,24
8,24,13
4,8,32
5,8,11
8,12,8
8,23,12
8,26,7
8,20,7
8,25,11
8,22,16
0,8,1
5,24,9
5,12,16
5,26,9
5,20,10
5,14,12
5,22,14
0,5,4
5,16,4
5,23,9
5,32,4
3,5,8
14,16,7
16,28,2
1,26,2
12,32,9
11,12,3
12,20,6
7,12,4
0,24,6
0,32,5
2,15,1
2,23,8
2,7,2
2,4,6
8,13,10
8,15,11
7,8,13
4,28,11
3,4,5
4,5,22
4,14,18
12,17,8
12,13,4
4,12,8
12,25,3
12,24,6
12,23,11
2,12,3
12,16,2
12,15,12
5,13,18
5,15,15
5,10,2
5,19,1
2,13,3
13,17,9
3,13,6
13,32,8
13,24,9
4,13,11
13,16,4
11,13,2
4,20,8
14,23,16
14,15,2
14,24,12
14,17,3
14,20,2
14,19,4
1,14,6
20,23,3
23,25,5
19,23,2
7,23,8
15,23,8
23,26,2
8,17,6
8,16,2
14,26,5
17,24,4
20,25,3
20,32,4
0,20,1
5,25,5
15,19,2
7,19,2
4,25,17
4,22,8
1,4,6
14,22,4
3,14,6
2,14,3
14,32,4
7,14,4
4,17,4
4,11,2
4,26,5
1,28,2
1,22,1
4,7,3
16,22,4
8,19,7
24,32,6
4,24,8
7,24,4
23,24,6
20,24,1
7,28,4
7,13,1
22,23,4
4,23,9
13,23,9
22,25,11
11,14,7
0,14,2
12,14,2
3,24,4
15,24,14
2,24,3
4,15,9
0,4,5
15,26,4
17,26,2
8,32,10
3,8,2
16,25,5
5,11,1
13,20,3
13,22,4
22,24,7
12,26,3
6,12,4
12,22,11
3,12,4
7,26,2
0,2,1
2,8,3
6,23,1
23,32,7
1,3,1
3,15,6
24,25,3
3,25,3
11,22,3
2,22,2
22,32,8
7,15,3
15,16,4
24,26,1
4,32,15
15,32,10
12,19,3
6,28,1
3,7,4
3,22,3
2,3,1
20,22,7
15,22,3
0,22,10
6,22,2
7,22,3
19,22,1
1,13,1
13,15,4
13,25,1
14,25,4
7,25,9
7,16,3
7,20,3
7,17,1
6,8,2
15,20,5
8,11,4
25,26,3
11,19,1
7,11,1
6,13,2
15,25,2
0,26,5
0,7,1
0,17,1
0,15,4
0,6,1
16,24,6
6,24,1
0,23,2
16,32,2
6,25,1
16,26,3
0,16,1
3,16,3
11,24,7
17,23,1
3,23,4
4,16,6
15,17,1
6,32,1
17,32,3
2,32,2
19,32,4
3,20,2
5,7,4
22,26,1
25,32,6
2,25,2
1,25,2
1,20,1
13,28,5
13,14,2
1,15,1
11,15,4
17,22,3
6,15,3
3,26,3
19,25,1
19,24,1
16,19,1
17,19,2
1,6,1
3,17,2
16,20,1
17,20,1
11,26,2
6,16,1
0,11,4
1,2,2
2,19,1
6,19,1
3,11,1
