source,target,weight
0,0,0
0,1,0
0,2,13
0,3,6
0,4,26
0,5,47
0,6,41
0,7,21
0,8,19
0,9,8
0,10,34
0,11,24
0,12,16
0,13,35
0,14,0
0,15,28
0,16,0
0,17,14
0,18,0
0,19,28
0,20,45
0,21,2
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
2,0,13
2,1,0
2,2,0
2,3,12
2,4,53
2,5,124
2,6,91
2,7,103
2,8,13
2,9,54
2,10,41
2,11,28
2,12,99
2,13,33
2,14,0
2,15,57
2,16,0
2,17,41
2,18,0
2,19,48
2,20,129
2,21,2
3,0,6
3,1,0
3,2,12
3,3,0
3,4,59
3,5,65
3,6,120
3,7,28
3,8,39
3,9,43
3,10,27
3,11,59
3,12,31
3,13,53
3,14,0
3,15,49
3,16,0
3,17,38
3,18,0
3,19,42
3,20,74
3,21,0
4,0,26
4,1,0
4,2,53
4,3,59
4,4,0
4,5,129
4,6,361
4,7,111
4,8,112
4,9,148
4,10,167
4,11,146
4,12,113
4,13,173
4,14,0
4,15,110
4,16,0
4,17,97
4,18,0
4,19,171
4,20,227
4,21,7
5,0,47
5,1,0
5,2,124
5,3,65
5,4,129
5,5,0
5,6,202
5,7,220
5,8,73
5,9,94
5,10,197
5,11,121
5,12,235
5,13,136
5,14,0
5,15,151
5,16,0
5,17,75
5,18,0
5,19,125
5,20,383
5,21,6
6,0,41
6,1,0
6,2,91
6,3,120
6,4,361
6,5,202
6,6,0
6,7,115
6,8,158
6,9,125
6,10,182
6,11,165
6,12,118
6,13,208
6,14,0
6,15,142
6,16,0
6,17,121
6,18,0
6,19,129
6,20,235
6,21,5
7,0,21
7,1,0
7,2,103
7,3,28
7,4,111
7,5,220
7,6,115
7,7,0
7,8,105
7,9,81
7,10,138
7,11,155
7,12,214
7,13,120
7,14,0
7,15,124
7,16,0
7,17,54
7,18,0
7,19,113
7,20,344
7,21,5
8,0,19
8,1,0
8,2,13
8,3,39
8,4,112
8,5,73
8,6,158
8,7,105
8,8,0
8,9,48
8,10,65
8,11,79
8,12,72
8,13,86
8,14,0
8,15,72
8,16,0
8,17,29
8,18,0
8,19,60
8,20,59
8,21,0
9,0,8
9,1,0
9,2,54
9,3,43
9,4,148
9,5,94
9,6,125
9,7,81
9,8,48
9,9,0
9,10,31
9,11,89
9,12,58
9,13,56
9,14,0
9,15,66
9,16,0
9,17,32
9,18,0
9,19,81
9,20,176
9,21,0
10,0,34
10,1,0
10,2,41
10,3,27
10,4,167
10,5,197
10,6,182
10,7,138
10,8,65
10,9,31
10,10,0
10,11,90
10,12,141
10,13,99
10,14,0
10,15,102
10,16,0
10,17,58
10,18,0
10,19,158
10,20,270
10,21,6
11,0,24
11,1,0
11,2,28
11,3,59
11,4,146
11,5,121
11,6,165
11,7,155
11,8,79
11,9,89
11,10,90
11,11,0
11,12,48
11,13,130
11,14,0
11,15,66
11,16,0
11,17,43
11,18,0
11,19,66
11,20,172
11,21,0
12,0,16
12,1,0
12,2,99
12,3,31
12,4,113
12,5,235
12,6,118
12,7,214
12,8,72
12,9,58
12,10,141
12,11,48
12,12,0
12,13,98
12,14,0
12,15,139
12,16,0
12,17,90
12,18,0
12,19,78
12,20,222
12,21,2
13,0,35
13,1,0
13,2,33
13,3,53
13,4,173
13,5,136
13,6,208
13,7,120
13,8,86
13,9,56
13,10,99
13,11,130
13,12,98
13,13,0
13,14,0
13,15,85
13,16,0
13,17,55
13,18,0
13,19,66
13,20,158
13,21,0
14,0,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
14,14,0
14,15,0
14,16,0
14,17,0
14,18,0
14,19,0
14,20,0
14,21,0
15,0,28
15,1,0
15,2,57
15,3,49
15,4,110
15,5,151
15,6,142
15,7,124
15,8,72
15,9,66
15,10,102
15,11,66
15,12,139
15,13,85
15,14,0
15,15,0
15,16,0
15,17,62
15,18,0
15,19,50
15,20,263
15,21,12
16,0,0
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,0
16,17,0
16,18,0
16,19,0
16,20,1
16,21,0
17,0,14
17,1,0
17,2,41
17,3,38
17,4,97
17,5,75
17,6,121
17,7,54
17,8,29
17,9,32
17,10,58
17,11,43
17,12,90
17,13,55
17,14,0
17,15,62
17,16,0
17,17,0
17,18,0
17,19,46
17,20,103
17,21,6
18,0,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
18,11,0
18,12,0
18,13,0
18,14,0
18,15,0
18,16,0
18,17,0
18,18,0
18,19,0
18,20,0
18,21,0
19,0,28
19,1,0
19,2,48
19,3,42
19,4,171
19,5,125
19,6,129
19,7,113
19,8,60
19,9,81
19,10,158
19,11,66
19,12,78
19,13,66
19,14,0
19,15,50
19,16,0
19,17,46
19,18,0
19,19,0
19,20,166
19,21,0
20,0,45
20,1,0
20,2,129
20,3,74
20,4,227
20,5,383
20,6,235
20,7,344
20,8,59
20,9,176
20,10,270
20,11,172
20,12,222
20,13,158
20,14,0
20,15,263
20,16,1
20,17,103
20,18,0
20,19,166
20,20,0
20,21,14
21,0,2
21,1,0
21,2,2
21,3,0
21,4,7
21,5,6
21,6,5
21,7,5
21,8,0
21,9,0
21,10,6
21,11,0
21,12,2
21,13,0
21,14,0
21,15,12
21,16,0
21,17,6
21,18,0
21,19,0
21,20,14
21,21,0
