source,target,type
1,3,outgoing
1,36,outandin
1,161,outgoing
1,281,outandin
3,36,outgoing
3,44,outgoing
3,1285,outandin
161,162,outandin
161,1487,outgoing
161,1673,outandin
281,252,outandin
281,708,outandin
281,1281,outandin
281,1343,outgoing
281,1580,outandin
44,249,outgoing
1285,27,outandin
1285,52,outandin
1285,176,outandin
1285,318,outandin
1285,389,outandin
1285,447,outandin
1285,544,outandin
1285,617,outandin
1285,1021,outgoing
1285,1217,outandin
1285,1313,outandin
1285,1342,outandin
1285,1365,outandin
1285,1413,outandin
1285,1565,outgoing
9,617,outgoing
9,1196,outgoing
9,1313,outgoing
9,1545,outgoing
9,1580,outandin
9,1647,outgoing
9,1682,outandin
9,1701,outandin
9,1706,outandin
617,431,outgoing
617,605,outandin
617,644,outandin
617,970,outgoing
617,1332,outgoing
617,1667,outandin
1313,507,outgoing
1313,1387,outandin
1313,1403,outgoing
1545,1580,outgoing
1580,32,outandin
1580,155,outgoing
1580,249,outandin
1580,372,outandin
1580,518,outandin
1580,1283,outandin
1580,1508,outandin
1580,1522,outandin
1580,1554,outandin
1580,1577,outandin
1580,1586,outandin
1580,1676,outandin
1647,32,outandin
1647,84,outandin
1647,193,outgoing
1647,249,outandin
1647,498,outandin
1647,621,outandin
1647,821,outgoing
1647,878,outgoing
1647,1113,outandin
1647,1440,outandin
1647,1516,outandin
1647,1608,outgoing
1647,1657,outandin
1682,32,outandin
1701,52,outandin
1701,209,outandin
1701,357,outandin
1706,249,outandin
12,1121,outandin
12,1312,outandin
12,1387,outgoing
1121,142,outandin
1121,797,outandin
1312,32,outandin
1312,234,outandin
1312,1013,outgoing
1312,1344,outgoing
1387,1344,outgoing
19,1130,outgoing
19,1645,outandin
1130,34,outgoing
1130,60,outandin
1130,249,outandin
1130,667,outandin
1130,1526,outgoing
27,620,outgoing
27,1158,outgoing
27,1598,outgoing
620,605,outandin
620,654,outandin
620,679,outandin
620,701,outandin
620,1189,outandin
1158,542,outandin
1158,713,outgoing
1158,1072,outgoing
1158,1255,outgoing
1158,1423,outgoing
1598,52,outandin
1598,214,outgoing
1598,249,outandin
1598,337,outgoing
1598,357,outandin
1598,400,outandin
1598,429,outandin
1598,632,outgoing
1598,768,outgoing
1598,919,outgoing
1598,1039,outgoing
1598,1344,outgoing
1598,1487,outgoing
1598,1522,outgoing
1598,1548,outgoing
1598,1582,outandin
1598,1655,
1598,1704,outandin
32,815,outandin
32,1021,outandin
32,1642,outgoing
32,1665,outandin
32,1683,outandin
32,1689,outandin
32,1692,outandin
815,1113,outandin
1021,249,outandin
1021,322,outgoing
1642,822,outgoing
1665,67,outandin
1665,250,outandin
1665,509,outgoing
1665,950,outgoing
1665,1189,outgoing
1689,42,outandin
1692,249,outandin
41,713,outandin
41,919,outandin
41,1029,outgoing
41,1136,outandin
41,1423,outandin
41,1554,outandin
41,1681,outandin
713,104,outandin
713,250,outandin
713,372,outandin
713,462,outandin
713,884,outgoing
713,1326,outgoing
713,1373,outandin
919,249,outandin
919,1514,outandin
919,1520,outandin
1029,778,outandin
1029,1237,outandin
1029,1489,outandin
1136,234,outandin
1136,781,outandin
1136,1052,outgoing
1554,357,outandin
1554,1189,outandin
1554,1468,outandin
1681,400,outandin
1681,687,outandin
1681,1402,outandin
42,72,outandin
42,474,outandin
42,950,outandin
42,995,outandin
42,1031,outandin
42,1161,outandin
42,1255,outandin
42,1355,outandin
42,1487,outandin
42,1561,outandin
42,1622,outandin
42,1690,outandin
42,1691,outandin
72,392,outandin
72,679,outgoing
72,768,outandin
72,1316,outgoing
474,242,outandin
474,249,outandin
474,400,outandin
474,520,outandin
474,1339,outgoing
474,1644,outandin
474,1679,outandin
1255,199,outandin
1255,234,outgoing
1255,249,outandin
1255,250,outandin
1255,400,outandin
1255,447,outandin
1255,509,outandin
1255,1231,outandin
1255,1359,outandin
1255,1568,outandin
1255,1694,outandin
1355,1033,outandin
1355,1183,outandin
1487,679,outandin
1487,1226,outandin
1487,1673,outandin
1561,249,outandin
1690,1344,outandin
1690,1601,outandin
249,96,outandin
249,194,outandin
249,318,outandin
249,389,outandin
249,447,outandin
249,502,outandin
249,547,outandin
249,598,outandin
249,621,outandin
249,654,outandin
249,734,outgoing
249,928,outandin
249,1074,outandin
249,1118,outandin
249,1181,outandin
249,1304,outandin
249,1343,outandin
249,1359,outandin
249,1402,outandin
249,1426,outandin
249,1504,outandin
249,1540,outandin
249,1568,outandin
249,1619,outandin
249,1629,outgoing
249,1648,outandin
47,1540,outandin
1540,50,outandin
1540,193,outandin
1540,367,outandin
1540,372,outgoing
1540,376,outandin
1540,440,outandin
1540,518,outandin
1540,714,outandin
1540,810,outandin
1540,856,outandin
1540,1168,outandin
1540,1283,outandin
1540,1373,outandin
1540,1695,outandin
48,1248,outandin
