source,target,type
1,3,
1,36,incoming
1,44,incoming
1,211,incoming
1,312,
1,652,outandin
1,1626,incoming
1,1675,outandin
1,1790,outandin
3,180,outandin
3,1713,outgoing
3,1793,outandin
3,1795,outandin
3,1807,outandin
36,44,outgoing
36,523,outandin
36,642,outgoing
36,1789,incoming
44,95,outgoing
44,105,outgoing
44,523,outandin
44,1542,outandin
44,1800,incoming
211,93,
312,132,outandin
312,1626,incoming
652,27,incoming
652,105,outandin
652,1565,incoming
1626,1487,outandin
1675,32,
1675,67,
1675,105,outandin
1675,847,outandin
1675,1543,incoming
1675,1783,outandin
180,67,outandin
180,105,outandin
1713,495,
1713,503,outandin
1713,561,
1713,617,
1713,868,outandin
1713,1246,outandin
1793,1474,outandin
1807,32,incoming
1807,41,incoming
8,32,outandin
8,847,outandin
8,1799,outandin
8,1814,outandin
32,12,outgoing
32,105,outandin
32,125,outandin
32,443,outgoing
32,523,outandin
32,818,outandin
32,938,outgoing
32,1255,outandin
32,1285,outandin
32,1403,outandin
32,1749,outandin
32,1785,outandin
32,1789,incoming
32,1791,incoming
32,1809,outandin
32,1829,outandin
847,152,outandin
847,818,outandin
847,843,outandin
847,1021,outandin
847,1255,outandin
847,1280,outandin
847,1434,outandin
847,1472,outandin
847,1488,incoming
847,1509,outandin
1799,1750,outandin
1814,175,outandin
1814,523,outandin
1814,1811,outandin
9,12,outgoing
9,1190,incoming
9,1313,outgoing
9,1731,outgoing
12,143,outgoing
12,144,outgoing
12,398,outandin
12,868,incoming
12,997,outandin
12,1246,outandin
12,1312,
12,1343,outgoing
12,1624,incoming
12,1644,
12,1808,outandin
1190,95,outandin
1190,1111,outandin
1190,1285,outgoing
1313,19,outgoing
1313,456,outandin
1313,1312,outgoing
1313,1332,outgoing
1313,1434,outgoing
1731,105,outandin
143,201,
143,456,outandin
144,42,outandin
144,1436,outandin
144,1472,outgoing
144,1756,outandin
144,1758,outgoing
398,27,outgoing
398,105,outgoing
398,697,incoming
398,1013,
398,1136,outandin
398,1397,incoming
398,1624,incoming
868,95,outgoing
997,415,outgoing
997,1127,outgoing
997,1425,outandin
1246,19,outandin
1246,95,outandin
1246,547,incoming
1246,1332,outandin
1246,1542,outandin
1246,1750,outandin
1246,1783,outandin
1312,1344,
1312,1387,incoming
1312,1543,incoming
1343,415,incoming
1343,523,outandin
1343,1517,outandin
1343,1543,outandin
1343,1796,incoming
1624,19,outandin
1624,95,incoming
1624,105,
1624,224,outandin
1624,456,incoming
1624,474,incoming
1624,697,outandin
1624,719,incoming
1624,1042,incoming
1624,1168,incoming
1624,1332,outandin
1624,1340,outandin
1624,1398,incoming
1624,1543,outandin
1624,1716,outandin
1624,1756,incoming
1624,1783,incoming
1624,1786,outandin
1624,1810,outandin
1624,1811,incoming
1644,140,outandin
1644,271,outgoing
1644,1756,outgoing
1644,1792,outandin
1808,95,incoming
1808,1543,outandin
15,523,outandin
523,64,outandin
523,70,outandin
523,89,outandin
523,111,outandin
523,118,outandin
523,122,outandin
523,137,outandin
523,141,outandin
523,172,outandin
523,182,outandin
523,298,outandin
523,328,outandin
523,334,incoming
523,418,outandin
523,585,outandin
523,591,outandin
523,612,outandin
523,629,outandin
523,708,outandin
523,799,incoming
523,812,incoming
523,846,outandin
523,875,outandin
523,899,outandin
523,920,outandin
523,1022,outandin
523,1032,outandin
523,1041,outandin
523,1114,outandin
523,1137,outandin
523,1149,outandin
523,1182,outandin
523,1332,outandin
523,1380,outandin
523,1394,outandin
523,1541,outandin
523,1543,outandin
523,1566,outandin
523,1592,outandin
523,1635,outandin
523,1741,outandin
523,1783,outandin
523,1806,outandin
523,1817,outandin
523,1818,outandin
523,1819,outandin
523,1820,outandin
523,1821,outandin
523,1822,outandin
523,1823,outandin
523,1824,outandin
523,1825,outandin
523,1826,outandin
523,1827,outandin
19,434,outandin
19,443,outandin
19,1046,outandin
19,1645,outandin
19,1749,outandin
19,1803,outandin
19,1806,outandin
443,1543,incoming
1046,1543,outandin
1749,189,outgoing
1749,361,outandin
1749,1127,outandin
27,105,outandin
27,271,outgoing
27,582,outgoing
27,620,
27,967,outandin
27,1285,
27,1686,outgoing
105,72,outandin
105,97,outandin
105,140,outandin
105,175,outandin
105,308,outgoing
105,353,outandin
105,367,incoming
105,415,outandin
105,474,
105,561,outandin
105,595,outandin
105,615,outandin
105,639,outgoing
105,697,outandin
105,713,outgoing
105,783,outandin
105,874,outandin
105,927,outandin
105,995,outandin
105,1027,outgoing
105,1132,outandin
105,1168,outgoing
105,1308,outandin
105,1349,outandin
105,1373,outandin
105,1395,outandin
105,1543,outandin
105,1585,outgoing
105,1625,outandin
105,1724,outandin
105,1730,outandin
105,1743,outandin
105,1756,outandin
105,1771,outandin
105,1781,outandin
105,1783,outandin
105,1789,outandin
105,1792,outandin
582,1436,incoming
620,1487,outgoing
620,1792,outandin
967,308,incoming
1285,318,outandin
1285,393,outandin
1285,1600,outandin
1285,1771,outandin
1285,1792,outandin
1686,697,outandin
1686,783,outandin
1686,831,outandin
1686,1132,outandin
1686,1789,outandin
1686,1796,outandin
125,131,outandin
125,1796,outandin
818,1127,outandin
818,1542,outandin
1255,1543,outandin
1255,1756,outandin
1255,1786,outandin
1403,95,incoming
1785,67,outandin
1789,95,outandin
1789,456,incoming
1789,674,outandin
1789,681,incoming
1789,1052,incoming
1789,1472,outandin
1789,1771,outandin
1791,574,outandin
1791,1724,incoming
39,1543,outandin
1543,52,incoming
1543,70,outandin
1543,109,incoming
1543,190,outandin
1543,256,incoming
1543,302,outandin
1543,318,outandin
1543,335,outandin
1543,375,outandin
1543,405,outandin
1543,483,outandin
1543,553,outandin
1543,561,incoming
1543,588,outandin
1543,595,outandin
1543,600,outandin
1543,617,incoming
1543,639,outandin
1543,657,outandin
1543,697,outandin
1543,735,outandin
1543,798,outandin
1543,835,outandin
1543,840,outandin
1543,852,outandin
1543,874,outandin
1543,893,outandin
1543,943,outandin
1543,952,outandin
1543,974,outandin
1543,1029,outandin
1543,1214,outandin
1543,1215,outandin
1543,1260,outandin
1543,1282,incoming
1543,1316,outandin
1543,1376,outandin
1543,1385,outandin
1543,1395,outandin
1543,1553,outandin
1543,1565,outandin
1543,1582,outandin
1543,1618,outandin
1543,1768,outandin
1543,1788,outandin
1543,1796,outandin
1543,1804,outandin
41,176,outandin
41,1828,outandin
42,72,outgoing
42,1280,outandin
72,1792,outandin
1280,768,
1280,1287,outandin
1280,1585,outandin
1280,1786,incoming
95,175,outgoing
95,561,
95,626,outgoing
95,1322,outandin
95,1788,outandin
95,1796,incoming
1542,456,outandin
1542,583,outandin
1542,1750,outandin
1800,1801,incoming
48,1540,outgoing
1540,249,outandin
