source,target,weight
0,0,0
0,1,4200
0,2,1500
0,3,100
0,4,2097
0,5,998
0,6,595
0,7,0
1,0,4200
1,1,0
1,2,3398
1,3,2297
1,4,2999
1,5,1297
1,6,494
1,7,0
2,0,1500
2,1,3398
2,2,0
2,3,1200
2,4,1800
2,5,0
2,6,100
2,7,0
3,0,100
3,1,2297
3,2,1200
3,3,0
3,4,694
3,5,98
3,6,0
3,7,900
4,0,2097
4,1,2999
4,2,1800
4,3,694
4,4,0
4,5,1194
4,6,298
4,7,0
5,0,998
5,1,1297
5,2,0
5,3,98
5,4,1194
5,5,0
5,6,91
5,7,0
6,0,595
6,1,494
6,2,100
6,3,0
6,4,298
6,5,91
6,6,0
6,7,0
7,0,0
7,1,0
7,2,0
7,3,900
7,4,0
7,5,0
7,6,0
7,7,0
