Unnamed: 0,node,volatility,eign,closeness,betwness,centrality,community,density,name,type,period,type_ord,is_stable,type_cat
146,512,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,0,1.0,"Holmquist, L.E.",stable,1995-1999,2,1,stable
147,103,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,0,1.0,"Bjork, S.",stable,1995-1999,2,1,stable
148,938,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,0,1.0,"Redstrom, J.",stable,1995-1999,2,1,stable
2,392,1,2.7586802655792605e-08,0.0292397660818713,0.0,5,1,1.0,"Gershon, N.",outgoing,1995-1999,1,0,outgoing
3,675,1,2.7586802655792605e-08,0.0292397660818713,0.0,5,1,1.0,"LeVasseur, J.",outgoing,1995-1999,1,0,outgoing
4,1256,1,2.7586802655792605e-08,0.0292397660818713,0.0,5,1,1.0,"Winstead, J.",outgoing,1995-1999,1,0,outgoing
5,230,1,2.7586802655792605e-08,0.0292397660818713,0.0,5,1,1.0,"Croall, J.",outgoing,1995-1999,1,0,outgoing
6,891,1,2.7586802655792605e-08,0.0292397660818713,0.0,5,1,1.0,"Pernicks, A.",outgoing,1995-1999,1,0,outgoing
7,984,1,2.7586802655792605e-08,0.0292397660818713,0.0,5,1,1.0,"Ruh, W.",outgoing,1995-1999,1,0,outgoing
8,152,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,2,1.0,"Burton, C.A.",outgoing,1995-1999,1,0,outgoing
9,574,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,2,1.0,"Johnston, L.J.",outgoing,1995-1999,1,0,outgoing
10,1078,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,2,1.0,"Sonenberg, E.A.",outgoing,1995-1999,1,0,outgoing
11,793,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,3,1.0,"Mitchell, R.",outgoing,1995-1999,1,0,outgoing
12,248,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,3,1.0,"Day, D.",outgoing,1995-1999,1,0,outgoing
13,502,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,3,1.0,"Hirschman, L.",outgoing,1995-1999,1,0,outgoing
